"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2211}]","2211","instructions","0","2213","0.0-0.0","A29RCIFHRAZ797","1641409743845","","","",""
"[{""page_index"":0,""viewing_time"":2617},{""page_index"":1,""viewing_time"":1722}]","4340","instructions","1","6553","0.0-1.0","A29RCIFHRAZ797","1641409743845","","","",""
"[{""page_index"":0,""viewing_time"":1283}]","1284","instructions","2","7838","0.0-2.0","A29RCIFHRAZ797","1641409743845","","","",""
"","6527","singlestim-multichoice-slider","3","14371","0.0-3.0-0.0","A29RCIFHRAZ797","1641409743845","img/14.png","1","10","27"
"","4321","singlestim-multichoice-slider","4","18695","0.0-3.0-0.1","A29RCIFHRAZ797","1641409743845","img/05.png","2","10","78"
"","3933","singlestim-multichoice-slider","5","22630","0.0-3.0-0.2","A29RCIFHRAZ797","1641409743845","img/08.png","1","10","55"
"","2788","singlestim-multichoice-slider","6","25420","0.0-3.0-0.3","A29RCIFHRAZ797","1641409743845","img/11.png","2","10","51"
"","2251","singlestim-multichoice-slider","7","27673","0.0-3.0-0.4","A29RCIFHRAZ797","1641409743845","img/18.png","3","10","61"
"","7584","singlestim-multichoice-slider","8","35258","0.0-3.0-0.5","A29RCIFHRAZ797","1641409743845","img/04.png","2","10","68"
"","3163","singlestim-multichoice-slider","9","38424","0.0-3.0-0.6","A29RCIFHRAZ797","1641409743845","img/10.png","1","10","55"
"","4338","singlestim-multichoice-slider","10","42763","0.0-3.0-0.7","A29RCIFHRAZ797","1641409743845","img/13.png","1","10","58"
"","3708","singlestim-multichoice-slider","11","46474","0.0-3.0-0.8","A29RCIFHRAZ797","1641409743845","img/09.png","2","10","67"
"","5303","singlestim-multichoice-slider","12","51779","0.0-3.0-0.9","A29RCIFHRAZ797","1641409743845","img/15.png","1","10","51"
"","2952","singlestim-multichoice-slider","13","54733","0.0-3.0-0.10","A29RCIFHRAZ797","1641409743845","img/03.png","2","10","55"
"","7733","singlestim-multichoice-slider","14","62468","0.0-3.0-0.11","A29RCIFHRAZ797","1641409743845","img/01.png","2","10","60"
"","4219","singlestim-multichoice-slider","15","66689","0.0-3.0-0.12","A29RCIFHRAZ797","1641409743845","img/02.png","1","10","43"
"","3678","singlestim-multichoice-slider","16","70370","0.0-3.0-0.13","A29RCIFHRAZ797","1641409743845","img/17.png","2","10","56"
"","3502","singlestim-multichoice-slider","17","73876","0.0-3.0-0.14","A29RCIFHRAZ797","1641409743845","img/12.png","1","10","44"
"","3076","singlestim-multichoice-slider","18","76957","0.0-3.0-0.15","A29RCIFHRAZ797","1641409743845","img/16.png","2","10","55"
"","3166","singlestim-multichoice-slider","19","80125","0.0-3.0-0.16","A29RCIFHRAZ797","1641409743845","img/07.png","1","10","44"
"","4036","singlestim-multichoice-slider","20","84162","0.0-3.0-0.17","A29RCIFHRAZ797","1641409743845","img/06.png","2","10","53"
"[{""page_index"":0,""viewing_time"":6844}]","6844","instructions","21","91007","0.0-4.0","A29RCIFHRAZ797","1641409743845","","","",""
