"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4021}]","4022","instructions","0","4024","0.0-0.0","A2LNRZP6LTIAUF","1641415153715","","","",""
"[{""page_index"":0,""viewing_time"":11479},{""page_index"":1,""viewing_time"":9440}]","20919","instructions","1","24944","0.0-1.0","A2LNRZP6LTIAUF","1641415153715","","","",""
"[{""page_index"":0,""viewing_time"":3509}]","3509","instructions","2","28453","0.0-2.0","A2LNRZP6LTIAUF","1641415153715","","","",""
"","139592","singlestim-multichoice-slider","3","168050","0.0-3.0-0.0","A2LNRZP6LTIAUF","1641415153715","img/18.png","3","10","96"
"","75993","singlestim-multichoice-slider","4","244045","0.0-3.0-0.1","A2LNRZP6LTIAUF","1641415153715","img/13.png","2","10","71"
"","10986","singlestim-multichoice-slider","5","255033","0.0-3.0-0.2","A2LNRZP6LTIAUF","1641415153715","img/01.png","2","10","84"
"","11966","singlestim-multichoice-slider","6","267001","0.0-3.0-0.3","A2LNRZP6LTIAUF","1641415153715","img/09.png","3","10","78"
"","20960","singlestim-multichoice-slider","7","287964","0.0-3.0-0.4","A2LNRZP6LTIAUF","1641415153715","img/07.png","1","10","100"
"","13227","singlestim-multichoice-slider","8","301193","0.0-3.0-0.5","A2LNRZP6LTIAUF","1641415153715","img/10.png","3","10","100"
"","8447","singlestim-multichoice-slider","9","309643","0.0-3.0-0.6","A2LNRZP6LTIAUF","1641415153715","img/14.png","2","10","100"
"","18754","singlestim-multichoice-slider","10","328401","0.0-3.0-0.7","A2LNRZP6LTIAUF","1641415153715","img/15.png","1","10","97"
"","20597","singlestim-multichoice-slider","11","349001","0.0-3.0-0.8","A2LNRZP6LTIAUF","1641415153715","img/12.png","3","10","75"
"","87646","singlestim-multichoice-slider","12","436651","0.0-3.0-0.9","A2LNRZP6LTIAUF","1641415153715","img/03.png","3","10","100"
"","11398","singlestim-multichoice-slider","13","448050","0.0-3.0-0.10","A2LNRZP6LTIAUF","1641415153715","img/16.png","1","10","99"
"","13351","singlestim-multichoice-slider","14","461403","0.0-3.0-0.11","A2LNRZP6LTIAUF","1641415153715","img/11.png","1","10","100"
"","16485","singlestim-multichoice-slider","15","477890","0.0-3.0-0.12","A2LNRZP6LTIAUF","1641415153715","img/08.png","1","10","100"
"","13100","singlestim-multichoice-slider","16","490992","0.0-3.0-0.13","A2LNRZP6LTIAUF","1641415153715","img/05.png","1","10","95"
"","23541","singlestim-multichoice-slider","17","514537","0.0-3.0-0.14","A2LNRZP6LTIAUF","1641415153715","img/17.png","2","10","91"
"","28719","singlestim-multichoice-slider","18","543257","0.0-3.0-0.15","A2LNRZP6LTIAUF","1641415153715","img/02.png","3","10","76"
"","7006","singlestim-multichoice-slider","19","550266","0.0-3.0-0.16","A2LNRZP6LTIAUF","1641415153715","img/04.png","1","10","99"
"","8035","singlestim-multichoice-slider","20","558302","0.0-3.0-0.17","A2LNRZP6LTIAUF","1641415153715","img/06.png","3","10","99"
"[{""page_index"":0,""viewing_time"":3039}]","3040","instructions","21","561342","0.0-4.0","A2LNRZP6LTIAUF","1641415153715","","","",""
