"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1674}]","1674","instructions","0","1676","0.0-0.0","A2PSR3CMNR1R9X","1641416648196","","","",""
"[{""page_index"":0,""viewing_time"":6005},{""page_index"":1,""viewing_time"":1564}]","7569","instructions","1","9245","0.0-1.0","A2PSR3CMNR1R9X","1641416648196","","","",""
"[{""page_index"":0,""viewing_time"":22074}]","22074","instructions","2","31319","0.0-2.0","A2PSR3CMNR1R9X","1641416648196","","","",""
"","25405","singlestim-multichoice-slider","3","56728","0.0-3.0-0.0","A2PSR3CMNR1R9X","1641416648196","img/09.png","2","10","32"
"","7936","singlestim-multichoice-slider","4","64666","0.0-3.0-0.1","A2PSR3CMNR1R9X","1641416648196","img/17.png","1","10","27"
"","6197","singlestim-multichoice-slider","5","70864","0.0-3.0-0.2","A2PSR3CMNR1R9X","1641416648196","img/01.png","2","10","30"
"","9620","singlestim-multichoice-slider","6","80486","0.0-3.0-0.3","A2PSR3CMNR1R9X","1641416648196","img/15.png","1","10","32"
"","7887","singlestim-multichoice-slider","7","88374","0.0-3.0-0.4","A2PSR3CMNR1R9X","1641416648196","img/04.png","1","10","31"
"","8526","singlestim-multichoice-slider","8","96902","0.0-3.0-0.5","A2PSR3CMNR1R9X","1641416648196","img/08.png","1","10","32"
"","11776","singlestim-multichoice-slider","9","108680","0.0-3.0-0.6","A2PSR3CMNR1R9X","1641416648196","img/12.png","3","10","36"
"","11007","singlestim-multichoice-slider","10","119690","0.0-3.0-0.7","A2PSR3CMNR1R9X","1641416648196","img/05.png","1","10","32"
"","6092","singlestim-multichoice-slider","11","125786","0.0-3.0-0.8","A2PSR3CMNR1R9X","1641416648196","img/13.png","2","10","33"
"","10673","singlestim-multichoice-slider","12","136460","0.0-3.0-0.9","A2PSR3CMNR1R9X","1641416648196","img/16.png","1","10","32"
"","7092","singlestim-multichoice-slider","13","143554","0.0-3.0-0.10","A2PSR3CMNR1R9X","1641416648196","img/06.png","3","10","35"
"","5994","singlestim-multichoice-slider","14","149550","0.0-3.0-0.11","A2PSR3CMNR1R9X","1641416648196","img/03.png","1","10","28"
"","7337","singlestim-multichoice-slider","15","156890","0.0-3.0-0.12","A2PSR3CMNR1R9X","1641416648196","img/10.png","3","10","33"
"","7519","singlestim-multichoice-slider","16","164412","0.0-3.0-0.13","A2PSR3CMNR1R9X","1641416648196","img/18.png","1","10","35"
"","5625","singlestim-multichoice-slider","17","170040","0.0-3.0-0.14","A2PSR3CMNR1R9X","1641416648196","img/14.png","2","10","32"
"","5115","singlestim-multichoice-slider","18","175156","0.0-3.0-0.15","A2PSR3CMNR1R9X","1641416648196","img/02.png","3","10","31"
"","7129","singlestim-multichoice-slider","19","182286","0.0-3.0-0.16","A2PSR3CMNR1R9X","1641416648196","img/11.png","2","10","29"
"","5128","singlestim-multichoice-slider","20","187416","0.0-3.0-0.17","A2PSR3CMNR1R9X","1641416648196","img/07.png","1","10","22"
"[{""page_index"":0,""viewing_time"":2642}]","2642","instructions","21","190058","0.0-4.0","A2PSR3CMNR1R9X","1641416648196","","","",""
