"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":9187}]","9199","instructions","0","9203","0.0-0.0","A2UHD7XD4KXG99","1641411404465","","","",""
"[{""page_index"":0,""viewing_time"":12863},{""page_index"":1,""viewing_time"":11158}]","24021","instructions","1","33229","0.0-1.0","A2UHD7XD4KXG99","1641411404465","","","",""
"[{""page_index"":0,""viewing_time"":28638}]","28641","instructions","2","61871","0.0-2.0","A2UHD7XD4KXG99","1641411404465","","","",""
"","234164","singlestim-multichoice-slider","3","296125","0.0-3.0-0.0","A2UHD7XD4KXG99","1641411404465","img/07.png","1","10","100"
"","49382","singlestim-multichoice-slider","4","345519","0.0-3.0-0.1","A2UHD7XD4KXG99","1641411404465","img/10.png","3","10","99"
"","97636","singlestim-multichoice-slider","5","443160","0.0-3.0-0.2","A2UHD7XD4KXG99","1641411404465","img/14.png","2","10","95"
"","14423","singlestim-multichoice-slider","6","457598","0.0-3.0-0.3","A2UHD7XD4KXG99","1641411404465","img/04.png","1","10","100"
"","54328","singlestim-multichoice-slider","7","511940","0.0-3.0-0.4","A2UHD7XD4KXG99","1641411404465","img/17.png","2","10","87"
"","114598","singlestim-multichoice-slider","8","626537","0.0-3.0-0.5","A2UHD7XD4KXG99","1641411404465","img/12.png","2","10","100"
"","25877","singlestim-multichoice-slider","9","652416","0.0-3.0-0.6","A2UHD7XD4KXG99","1641411404465","img/05.png","2","10","97"
"","9452","singlestim-multichoice-slider","10","661874","0.0-3.0-0.7","A2UHD7XD4KXG99","1641411404465","img/08.png","1","10","100"
"","18117","singlestim-multichoice-slider","11","680004","0.0-3.0-0.8","A2UHD7XD4KXG99","1641411404465","img/13.png","2","10","92"
"","25260","singlestim-multichoice-slider","12","705272","0.0-3.0-0.9","A2UHD7XD4KXG99","1641411404465","img/09.png","1","10","95"
"","26530","singlestim-multichoice-slider","13","731806","0.0-3.0-0.10","A2UHD7XD4KXG99","1641411404465","img/02.png","3","10","99"
"","116913","singlestim-multichoice-slider","14","848721","0.0-3.0-0.11","A2UHD7XD4KXG99","1641411404465","img/16.png","1","10","100"
"","18892","singlestim-multichoice-slider","15","867617","0.0-3.0-0.12","A2UHD7XD4KXG99","1641411404465","img/03.png","3","10","100"
"","14803","singlestim-multichoice-slider","16","882423","0.0-3.0-0.13","A2UHD7XD4KXG99","1641411404465","img/15.png","1","10","94"
"","41775","singlestim-multichoice-slider","17","924258","0.0-3.0-0.14","A2UHD7XD4KXG99","1641411404465","img/11.png","1","10","92"
"","9829","singlestim-multichoice-slider","18","934088","0.0-3.0-0.15","A2UHD7XD4KXG99","1641411404465","img/01.png","2","10","100"
"","44013","singlestim-multichoice-slider","19","978103","0.0-3.0-0.16","A2UHD7XD4KXG99","1641411404465","img/06.png","3","10","89"
"","48395","singlestim-multichoice-slider","20","1026509","0.0-3.0-0.17","A2UHD7XD4KXG99","1641411404465","img/18.png","1","10","100"
"[{""page_index"":0,""viewing_time"":18314}]","18320","instructions","21","1044831","0.0-4.0","A2UHD7XD4KXG99","1641411404465","","","",""
