"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7185}]","7189","instructions","0","7191","0.0-0.0","A2Y37OF9LTG4IN","1641409736098","","","",""
"[{""page_index"":0,""viewing_time"":6283},{""page_index"":1,""viewing_time"":2346}]","8630","instructions","1","15821","0.0-1.0","A2Y37OF9LTG4IN","1641409736098","","","",""
"[{""page_index"":0,""viewing_time"":2366}]","2366","instructions","2","18188","0.0-2.0","A2Y37OF9LTG4IN","1641409736098","","","",""
"","19517","singlestim-multichoice-slider","3","37709","0.0-3.0-0.0","A2Y37OF9LTG4IN","1641409736098","img/17.png","2","10","53"
"","17093","singlestim-multichoice-slider","4","54805","0.0-3.0-0.1","A2Y37OF9LTG4IN","1641409736098","img/06.png","2","10","43"
"","9100","singlestim-multichoice-slider","5","63908","0.0-3.0-0.2","A2Y37OF9LTG4IN","1641409736098","img/12.png","1","10","67"
"","12867","singlestim-multichoice-slider","6","76780","0.0-3.0-0.3","A2Y37OF9LTG4IN","1641409736098","img/02.png","2","10","69"
"","5490","singlestim-multichoice-slider","7","82275","0.0-3.0-0.4","A2Y37OF9LTG4IN","1641409736098","img/07.png","2","10","56"
"","7408","singlestim-multichoice-slider","8","89688","0.0-3.0-0.5","A2Y37OF9LTG4IN","1641409736098","img/04.png","2","10","84"
"","5439","singlestim-multichoice-slider","9","95130","0.0-3.0-0.6","A2Y37OF9LTG4IN","1641409736098","img/01.png","2","10","36"
"","10730","singlestim-multichoice-slider","10","105861","0.0-3.0-0.7","A2Y37OF9LTG4IN","1641409736098","img/15.png","1","10","44"
"","4918","singlestim-multichoice-slider","11","110781","0.0-3.0-0.8","A2Y37OF9LTG4IN","1641409736098","img/09.png","3","10","53"
"","3494","singlestim-multichoice-slider","12","114279","0.0-3.0-0.9","A2Y37OF9LTG4IN","1641409736098","img/18.png","3","10","68"
"","6237","singlestim-multichoice-slider","13","120519","0.0-3.0-0.10","A2Y37OF9LTG4IN","1641409736098","img/14.png","1","10","39"
"","11937","singlestim-multichoice-slider","14","132458","0.0-3.0-0.11","A2Y37OF9LTG4IN","1641409736098","img/10.png","2","10","42"
"","5108","singlestim-multichoice-slider","15","137570","0.0-3.0-0.12","A2Y37OF9LTG4IN","1641409736098","img/13.png","2","10","66"
"","3919","singlestim-multichoice-slider","16","141493","0.0-3.0-0.13","A2Y37OF9LTG4IN","1641409736098","img/11.png","2","10","39"
"","4275","singlestim-multichoice-slider","17","145772","0.0-3.0-0.14","A2Y37OF9LTG4IN","1641409736098","img/03.png","1","10","49"
"","3242","singlestim-multichoice-slider","18","149015","0.0-3.0-0.15","A2Y37OF9LTG4IN","1641409736098","img/05.png","2","10","57"
"","2890","singlestim-multichoice-slider","19","151907","0.0-3.0-0.16","A2Y37OF9LTG4IN","1641409736098","img/08.png","1","10","84"
"","3662","singlestim-multichoice-slider","20","155571","0.0-3.0-0.17","A2Y37OF9LTG4IN","1641409736098","img/16.png","3","10","65"
"[{""page_index"":0,""viewing_time"":4884}]","4884","instructions","21","160455","0.0-4.0","A2Y37OF9LTG4IN","1641409736098","","","",""
