"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1625}]","1625","instructions","0","1626","0.0-0.0","A38OPVI04AH4JG","1641409752534","","","",""
"[{""page_index"":0,""viewing_time"":1955},{""page_index"":1,""viewing_time"":5534}]","7490","instructions","1","9116","0.0-1.0","A38OPVI04AH4JG","1641409752534","","","",""
"[{""page_index"":0,""viewing_time"":25273}]","25273","instructions","2","34389","0.0-2.0","A38OPVI04AH4JG","1641409752534","","","",""
"","26780","singlestim-multichoice-slider","3","61172","0.0-3.0-0.0","A38OPVI04AH4JG","1641409752534","img/09.png","3","10","100"
"","10337","singlestim-multichoice-slider","4","71510","0.0-3.0-0.1","A38OPVI04AH4JG","1641409752534","img/08.png","1","10","100"
"","11847","singlestim-multichoice-slider","5","83357","0.0-3.0-0.2","A38OPVI04AH4JG","1641409752534","img/18.png","1","10","100"
"","6307","singlestim-multichoice-slider","6","89665","0.0-3.0-0.3","A38OPVI04AH4JG","1641409752534","img/04.png","1","10","100"
"","6337","singlestim-multichoice-slider","7","96003","0.0-3.0-0.4","A38OPVI04AH4JG","1641409752534","img/14.png","2","10","100"
"","11571","singlestim-multichoice-slider","8","107576","0.0-3.0-0.5","A38OPVI04AH4JG","1641409752534","img/01.png","2","10","100"
"","12369","singlestim-multichoice-slider","9","119946","0.0-3.0-0.6","A38OPVI04AH4JG","1641409752534","img/17.png","1","10","100"
"","13845","singlestim-multichoice-slider","10","133792","0.0-3.0-0.7","A38OPVI04AH4JG","1641409752534","img/11.png","2","10","54"
"","8434","singlestim-multichoice-slider","11","142228","0.0-3.0-0.8","A38OPVI04AH4JG","1641409752534","img/13.png","2","10","64"
"","3652","singlestim-multichoice-slider","12","145882","0.0-3.0-0.9","A38OPVI04AH4JG","1641409752534","img/07.png","2","10","49"
"","10558","singlestim-multichoice-slider","13","156442","0.0-3.0-0.10","A38OPVI04AH4JG","1641409752534","img/06.png","3","10","55"
"","4284","singlestim-multichoice-slider","14","160728","0.0-3.0-0.11","A38OPVI04AH4JG","1641409752534","img/15.png","2","10","54"
"","3149","singlestim-multichoice-slider","15","163878","0.0-3.0-0.12","A38OPVI04AH4JG","1641409752534","img/03.png","2","10","60"
"","2481","singlestim-multichoice-slider","16","166360","0.0-3.0-0.13","A38OPVI04AH4JG","1641409752534","img/12.png","3","10","61"
"","2851","singlestim-multichoice-slider","17","169212","0.0-3.0-0.14","A38OPVI04AH4JG","1641409752534","img/02.png","3","10","60"
"","2467","singlestim-multichoice-slider","18","171680","0.0-3.0-0.15","A38OPVI04AH4JG","1641409752534","img/16.png","1","10","57"
"","2240","singlestim-multichoice-slider","19","173922","0.0-3.0-0.16","A38OPVI04AH4JG","1641409752534","img/10.png","2","10","59"
"","2139","singlestim-multichoice-slider","20","176062","0.0-3.0-0.17","A38OPVI04AH4JG","1641409752534","img/05.png","3","10","57"
"[{""page_index"":0,""viewing_time"":3766}]","3766","instructions","21","179829","0.0-4.0","A38OPVI04AH4JG","1641409752534","","","",""
