"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3283}]","3284","instructions","0","3285","0.0-0.0","A3UPVZRVZBK5JB","1641410329302","","","",""
"[{""page_index"":0,""viewing_time"":7913},{""page_index"":1,""viewing_time"":2218}]","10132","instructions","1","13418","0.0-1.0","A3UPVZRVZBK5JB","1641410329302","","","",""
"[{""page_index"":0,""viewing_time"":1659}]","1659","instructions","2","15078","0.0-2.0","A3UPVZRVZBK5JB","1641410329302","","","",""
"","4435","singlestim-multichoice-slider","3","19516","0.0-3.0-0.0","A3UPVZRVZBK5JB","1641410329302","img/17.png","3","10","23"
"","3970","singlestim-multichoice-slider","4","23488","0.0-3.0-0.1","A3UPVZRVZBK5JB","1641410329302","img/11.png","2","10","27"
"","11162","singlestim-multichoice-slider","5","34652","0.0-3.0-0.2","A3UPVZRVZBK5JB","1641410329302","img/13.png","1","10","10"
"","3791","singlestim-multichoice-slider","6","38444","0.0-3.0-0.3","A3UPVZRVZBK5JB","1641410329302","img/05.png","3","10","4"
"","4737","singlestim-multichoice-slider","7","43183","0.0-3.0-0.4","A3UPVZRVZBK5JB","1641410329302","img/07.png","2","10","10"
"","3722","singlestim-multichoice-slider","8","46907","0.0-3.0-0.5","A3UPVZRVZBK5JB","1641410329302","img/02.png","1","10","11"
"","4954","singlestim-multichoice-slider","9","51862","0.0-3.0-0.6","A3UPVZRVZBK5JB","1641410329302","img/18.png","3","10","10"
"","5087","singlestim-multichoice-slider","10","56951","0.0-3.0-0.7","A3UPVZRVZBK5JB","1641410329302","img/08.png","1","10","2"
"","5578","singlestim-multichoice-slider","11","62533","0.0-3.0-0.8","A3UPVZRVZBK5JB","1641410329302","img/04.png","1","10","0"
"","3819","singlestim-multichoice-slider","12","66355","0.0-3.0-0.9","A3UPVZRVZBK5JB","1641410329302","img/15.png","3","10","7"
"","4630","singlestim-multichoice-slider","13","70987","0.0-3.0-0.10","A3UPVZRVZBK5JB","1641410329302","img/10.png","1","10","4"
"","3496","singlestim-multichoice-slider","14","74484","0.0-3.0-0.11","A3UPVZRVZBK5JB","1641410329302","img/12.png","3","10","0"
"","3945","singlestim-multichoice-slider","15","78430","0.0-3.0-0.12","A3UPVZRVZBK5JB","1641410329302","img/03.png","3","10","6"
"","7751","singlestim-multichoice-slider","16","86183","0.0-3.0-0.13","A3UPVZRVZBK5JB","1641410329302","img/06.png","1","10","10"
"","4028","singlestim-multichoice-slider","17","90213","0.0-3.0-0.14","A3UPVZRVZBK5JB","1641410329302","img/01.png","3","10","0"
"","5094","singlestim-multichoice-slider","18","95309","0.0-3.0-0.15","A3UPVZRVZBK5JB","1641410329302","img/14.png","1","10","7"
"","3439","singlestim-multichoice-slider","19","98751","0.0-3.0-0.16","A3UPVZRVZBK5JB","1641410329302","img/16.png","3","10","4"
"","8091","singlestim-multichoice-slider","20","106845","0.0-3.0-0.17","A3UPVZRVZBK5JB","1641410329302","img/09.png","3","10","9"
"[{""page_index"":0,""viewing_time"":2692}]","2692","instructions","21","109537","0.0-4.0","A3UPVZRVZBK5JB","1641410329302","","","",""
