"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":9196}]","9197","instructions","0","9199","0.0-0.0","ADXHWQLUQBK77","1641413296532","","","",""
"[{""page_index"":0,""viewing_time"":6880},{""page_index"":1,""viewing_time"":31324}]","38204","instructions","1","47403","0.0-1.0","ADXHWQLUQBK77","1641413296532","","","",""
"[{""page_index"":0,""viewing_time"":30245}]","30246","instructions","2","77649","0.0-2.0","ADXHWQLUQBK77","1641413296532","","","",""
"","53725","singlestim-multichoice-slider","3","131378","0.0-3.0-0.0","ADXHWQLUQBK77","1641413296532","img/15.png","3","10","37"
"","50382","singlestim-multichoice-slider","4","181761","0.0-3.0-0.1","ADXHWQLUQBK77","1641413296532","img/12.png","2","10","35"
"","45226","singlestim-multichoice-slider","5","226989","0.0-3.0-0.2","ADXHWQLUQBK77","1641413296532","img/03.png","3","10","68"
"","51568","singlestim-multichoice-slider","6","278559","0.0-3.0-0.3","ADXHWQLUQBK77","1641413296532","img/05.png","1","10","35"
"","36480","singlestim-multichoice-slider","7","315041","0.0-3.0-0.4","ADXHWQLUQBK77","1641413296532","img/11.png","2","10","56"
"","20131","singlestim-multichoice-slider","8","335173","0.0-3.0-0.5","ADXHWQLUQBK77","1641413296532","img/02.png","3","10","72"
"","10492","singlestim-multichoice-slider","9","345667","0.0-3.0-0.6","ADXHWQLUQBK77","1641413296532","img/16.png","3","10","73"
"","16885","singlestim-multichoice-slider","10","362553","0.0-3.0-0.7","ADXHWQLUQBK77","1641413296532","img/10.png","3","10","78"
"","20239","singlestim-multichoice-slider","11","382793","0.0-3.0-0.8","ADXHWQLUQBK77","1641413296532","img/09.png","3","10","86"
"","13731","singlestim-multichoice-slider","12","396525","0.0-3.0-0.9","ADXHWQLUQBK77","1641413296532","img/07.png","1","10","76"
"","44695","singlestim-multichoice-slider","13","441220","0.0-3.0-0.10","ADXHWQLUQBK77","1641413296532","img/17.png","2","10","54"
"","21776","singlestim-multichoice-slider","14","462998","0.0-3.0-0.11","ADXHWQLUQBK77","1641413296532","img/08.png","1","10","84"
"","16587","singlestim-multichoice-slider","15","479586","0.0-3.0-0.12","ADXHWQLUQBK77","1641413296532","img/06.png","3","10","38"
"","14842","singlestim-multichoice-slider","16","494431","0.0-3.0-0.13","ADXHWQLUQBK77","1641413296532","img/14.png","2","10","59"
"","14172","singlestim-multichoice-slider","17","508606","0.0-3.0-0.14","ADXHWQLUQBK77","1641413296532","img/01.png","2","10","71"
"","23156","singlestim-multichoice-slider","18","531764","0.0-3.0-0.15","ADXHWQLUQBK77","1641413296532","img/13.png","1","10","51"
"","25175","singlestim-multichoice-slider","19","556942","0.0-3.0-0.16","ADXHWQLUQBK77","1641413296532","img/18.png","1","10","38"
"","12663","singlestim-multichoice-slider","20","569607","0.0-3.0-0.17","ADXHWQLUQBK77","1641413296532","img/04.png","1","10","77"
"[{""page_index"":0,""viewing_time"":16852}]","16853","instructions","21","586461","0.0-4.0","ADXHWQLUQBK77","1641413296532","","","",""
