"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3060}]","3061","instructions","0","3067","0.0-0.0","AEFM0SQWZE98Y","1641410096622","","","",""
"[{""page_index"":0,""viewing_time"":4088},{""page_index"":1,""viewing_time"":2253}]","6342","instructions","1","9411","0.0-1.0","AEFM0SQWZE98Y","1641410096622","","","",""
"[{""page_index"":0,""viewing_time"":1906}]","1907","instructions","2","11319","0.0-2.0","AEFM0SQWZE98Y","1641410096622","","","",""
"","15770","singlestim-multichoice-slider","3","27101","0.0-3.0-0.0","AEFM0SQWZE98Y","1641410096622","img/10.png","2","10","85"
"","3386","singlestim-multichoice-slider","4","30495","0.0-3.0-0.1","AEFM0SQWZE98Y","1641410096622","img/01.png","1","10","100"
"","4112","singlestim-multichoice-slider","5","34612","0.0-3.0-0.2","AEFM0SQWZE98Y","1641410096622","img/16.png","2","10","100"
"","6009","singlestim-multichoice-slider","6","40626","0.0-3.0-0.3","AEFM0SQWZE98Y","1641410096622","img/06.png","2","10","67"
"","5522","singlestim-multichoice-slider","7","46156","0.0-3.0-0.4","AEFM0SQWZE98Y","1641410096622","img/18.png","1","10","96"
"","5713","singlestim-multichoice-slider","8","51876","0.0-3.0-0.5","AEFM0SQWZE98Y","1641410096622","img/07.png","2","10","81"
"","4156","singlestim-multichoice-slider","9","56036","0.0-3.0-0.6","AEFM0SQWZE98Y","1641410096622","img/05.png","3","10","91"
"","2979","singlestim-multichoice-slider","10","59028","0.0-3.0-0.7","AEFM0SQWZE98Y","1641410096622","img/02.png","1","10","94"
"","2799","singlestim-multichoice-slider","11","61832","0.0-3.0-0.8","AEFM0SQWZE98Y","1641410096622","img/08.png","2","10","53"
"","3417","singlestim-multichoice-slider","12","65255","0.0-3.0-0.9","AEFM0SQWZE98Y","1641410096622","img/12.png","1","10","91"
"","2991","singlestim-multichoice-slider","13","68255","0.0-3.0-0.10","AEFM0SQWZE98Y","1641410096622","img/17.png","1","10","81"
"","6392","singlestim-multichoice-slider","14","74655","0.0-3.0-0.11","AEFM0SQWZE98Y","1641410096622","img/09.png","2","10","84"
"","5324","singlestim-multichoice-slider","15","79985","0.0-3.0-0.12","AEFM0SQWZE98Y","1641410096622","img/13.png","2","10","78"
"","3041","singlestim-multichoice-slider","16","83031","0.0-3.0-0.13","AEFM0SQWZE98Y","1641410096622","img/11.png","3","10","95"
"","5161","singlestim-multichoice-slider","17","88197","0.0-3.0-0.14","AEFM0SQWZE98Y","1641410096622","img/04.png","2","10","61"
"","3209","singlestim-multichoice-slider","18","91411","0.0-3.0-0.15","AEFM0SQWZE98Y","1641410096622","img/15.png","1","10","80"
"","2858","singlestim-multichoice-slider","19","94273","0.0-3.0-0.16","AEFM0SQWZE98Y","1641410096622","img/14.png","2","10","63"
"","2840","singlestim-multichoice-slider","20","97116","0.0-3.0-0.17","AEFM0SQWZE98Y","1641410096622","img/03.png","3","10","78"
"[{""page_index"":0,""viewing_time"":1706}]","1706","instructions","21","98823","0.0-4.0","AEFM0SQWZE98Y","1641410096622","","","",""
