"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":184405}]","184406","instructions","0","184409","0.0-0.0","A13FS7JL08T1B8","1641413427724","","","",""
"[{""page_index"":0,""viewing_time"":3165},{""page_index"":1,""viewing_time"":1426}]","4592","instructions","1","189006","0.0-1.0","A13FS7JL08T1B8","1641413427724","","","",""
"[{""page_index"":0,""viewing_time"":1671}]","1671","instructions","2","190678","0.0-2.0","A13FS7JL08T1B8","1641413427724","","","",""
"","5435","singlestim-multichoice-slider","3","196157","0.0-3.0-0.0","A13FS7JL08T1B8","1641413427724","img/17.png","2","10","100"
"","4296","singlestim-multichoice-slider","4","200466","0.0-3.0-0.1","A13FS7JL08T1B8","1641413427724","img/08.png","2","10","100"
"","3763","singlestim-multichoice-slider","5","204237","0.0-3.0-0.2","A13FS7JL08T1B8","1641413427724","img/05.png","2","10","100"
"","3351","singlestim-multichoice-slider","6","207597","0.0-3.0-0.3","A13FS7JL08T1B8","1641413427724","img/10.png","2","10","100"
"","3836","singlestim-multichoice-slider","7","211442","0.0-3.0-0.4","A13FS7JL08T1B8","1641413427724","img/09.png","2","10","100"
"","6039","singlestim-multichoice-slider","8","217490","0.0-3.0-0.5","A13FS7JL08T1B8","1641413427724","img/11.png","3","10","46"
"","5224","singlestim-multichoice-slider","9","222722","0.0-3.0-0.6","A13FS7JL08T1B8","1641413427724","img/14.png","1","10","67"
"","5996","singlestim-multichoice-slider","10","228739","0.0-3.0-0.7","A13FS7JL08T1B8","1641413427724","img/01.png","2","10","59"
"","6526","singlestim-multichoice-slider","11","235274","0.0-3.0-0.8","A13FS7JL08T1B8","1641413427724","img/15.png","2","10","49"
"","5065","singlestim-multichoice-slider","12","240348","0.0-3.0-0.9","A13FS7JL08T1B8","1641413427724","img/16.png","2","10","67"
"","4345","singlestim-multichoice-slider","13","244701","0.0-3.0-0.10","A13FS7JL08T1B8","1641413427724","img/04.png","2","10","83"
"","4559","singlestim-multichoice-slider","14","249269","0.0-3.0-0.11","A13FS7JL08T1B8","1641413427724","img/07.png","2","10","62"
"","3752","singlestim-multichoice-slider","15","253038","0.0-3.0-0.12","A13FS7JL08T1B8","1641413427724","img/06.png","2","10","83"
"","4038","singlestim-multichoice-slider","16","257091","0.0-3.0-0.13","A13FS7JL08T1B8","1641413427724","img/12.png","2","10","82"
"","6160","singlestim-multichoice-slider","17","263258","0.0-3.0-0.14","A13FS7JL08T1B8","1641413427724","img/13.png","2","10","52"
"","6381","singlestim-multichoice-slider","18","269655","0.0-3.0-0.15","A13FS7JL08T1B8","1641413427724","img/03.png","2","10","62"
"","3801","singlestim-multichoice-slider","19","273466","0.0-3.0-0.16","A13FS7JL08T1B8","1641413427724","img/02.png","3","10","70"
"","6039","singlestim-multichoice-slider","20","279515","0.0-3.0-0.17","A13FS7JL08T1B8","1641413427724","img/18.png","3","10","59"
"[{""page_index"":0,""viewing_time"":6359}]","6359","instructions","21","285875","0.0-4.0","A13FS7JL08T1B8","1641413427724","","","",""
