"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6779}]","6783","instructions","0","6787","0.0-0.0","A1JJYY622DGE5L","1641412570965","","","",""
"[{""page_index"":0,""viewing_time"":4062},{""page_index"":1,""viewing_time"":3707}]","7772","instructions","1","14563","0.0-1.0","A1JJYY622DGE5L","1641412570965","","","",""
"[{""page_index"":0,""viewing_time"":1921}]","1922","instructions","2","16487","0.0-2.0","A1JJYY622DGE5L","1641412570965","","","",""
"","22345","singlestim-multichoice-slider","3","38843","0.0-3.0-0.0","A1JJYY622DGE5L","1641412570965","img/06.png","3","10","70"
"","22809","singlestim-multichoice-slider","4","61667","0.0-3.0-0.1","A1JJYY622DGE5L","1641412570965","img/01.png","3","10","45"
"","24570","singlestim-multichoice-slider","5","86251","0.0-3.0-0.2","A1JJYY622DGE5L","1641412570965","img/09.png","1","10","39"
"","15537","singlestim-multichoice-slider","6","101801","0.0-3.0-0.3","A1JJYY622DGE5L","1641412570965","img/05.png","2","10","64"
"","74499","singlestim-multichoice-slider","7","176314","0.0-3.0-0.4","A1JJYY622DGE5L","1641412570965","img/16.png","1","10","0"
"","27829","singlestim-multichoice-slider","8","204157","0.0-3.0-0.5","A1JJYY622DGE5L","1641412570965","img/17.png","1","10","34"
"","45147","singlestim-multichoice-slider","9","249317","0.0-3.0-0.6","A1JJYY622DGE5L","1641412570965","img/15.png","1","10","64"
"","12485","singlestim-multichoice-slider","10","261815","0.0-3.0-0.7","A1JJYY622DGE5L","1641412570965","img/14.png","2","10","80"
"","19403","singlestim-multichoice-slider","11","281232","0.0-3.0-0.8","A1JJYY622DGE5L","1641412570965","img/13.png","2","10","39"
"","29243","singlestim-multichoice-slider","12","310490","0.0-3.0-0.9","A1JJYY622DGE5L","1641412570965","img/07.png","1","10","71"
"","12382","singlestim-multichoice-slider","13","322883","0.0-3.0-0.10","A1JJYY622DGE5L","1641412570965","img/11.png","1","10","77"
"","14845","singlestim-multichoice-slider","14","337745","0.0-3.0-0.11","A1JJYY622DGE5L","1641412570965","img/12.png","3","10","76"
"","16868","singlestim-multichoice-slider","15","354628","0.0-3.0-0.12","A1JJYY622DGE5L","1641412570965","img/10.png","3","10","73"
"","25192","singlestim-multichoice-slider","16","379833","0.0-3.0-0.13","A1JJYY622DGE5L","1641412570965","img/04.png","1","10","0"
"","30080","singlestim-multichoice-slider","17","409927","0.0-3.0-0.14","A1JJYY622DGE5L","1641412570965","img/03.png","1","10","37"
"","10688","singlestim-multichoice-slider","18","420628","0.0-3.0-0.15","A1JJYY622DGE5L","1641412570965","img/02.png","3","10","82"
"","21401","singlestim-multichoice-slider","19","442043","0.0-3.0-0.16","A1JJYY622DGE5L","1641412570965","img/08.png","1","10","83"
"","50854","singlestim-multichoice-slider","20","492909","0.0-3.0-0.17","A1JJYY622DGE5L","1641412570965","img/18.png","1","10","0"
"[{""page_index"":0,""viewing_time"":3033}]","3035","instructions","21","495946","0.0-4.0","A1JJYY622DGE5L","1641412570965","","","",""
