"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2059}]","2060","instructions","0","2062","0.0-0.0","A1SMVF4MXT0RIH","1641411998442","","","",""
"[{""page_index"":0,""viewing_time"":1698},{""page_index"":1,""viewing_time"":1501}]","3200","instructions","1","5262","0.0-1.0","A1SMVF4MXT0RIH","1641411998442","","","",""
"[{""page_index"":0,""viewing_time"":1359}]","1359","instructions","2","6622","0.0-2.0","A1SMVF4MXT0RIH","1641411998442","","","",""
"","2822","singlestim-multichoice-slider","3","9450","0.0-3.0-0.0","A1SMVF4MXT0RIH","1641411998442","img/09.png","2","10","61"
"","2521","singlestim-multichoice-slider","4","11975","0.0-3.0-0.1","A1SMVF4MXT0RIH","1641411998442","img/07.png","3","10","54"
"","2508","singlestim-multichoice-slider","5","14485","0.0-3.0-0.2","A1SMVF4MXT0RIH","1641411998442","img/02.png","2","10","66"
"","2222","singlestim-multichoice-slider","6","16710","0.0-3.0-0.3","A1SMVF4MXT0RIH","1641411998442","img/11.png","3","10","32"
"","2266","singlestim-multichoice-slider","7","18981","0.0-3.0-0.4","A1SMVF4MXT0RIH","1641411998442","img/04.png","2","10","54"
"","2990","singlestim-multichoice-slider","8","21974","0.0-3.0-0.5","A1SMVF4MXT0RIH","1641411998442","img/14.png","1","10","80"
"","3604","singlestim-multichoice-slider","9","25582","0.0-3.0-0.6","A1SMVF4MXT0RIH","1641411998442","img/05.png","2","10","24"
"","16916","singlestim-multichoice-slider","10","42501","0.0-3.0-0.7","A1SMVF4MXT0RIH","1641411998442","img/06.png","3","10","66"
"","3250","singlestim-multichoice-slider","11","45756","0.0-3.0-0.8","A1SMVF4MXT0RIH","1641411998442","img/16.png","2","10","81"
"","5438","singlestim-multichoice-slider","12","51197","0.0-3.0-0.9","A1SMVF4MXT0RIH","1641411998442","img/12.png","2","10","35"
"","3040","singlestim-multichoice-slider","13","54240","0.0-3.0-0.10","A1SMVF4MXT0RIH","1641411998442","img/15.png","1","10","76"
"","3499","singlestim-multichoice-slider","14","57745","0.0-3.0-0.11","A1SMVF4MXT0RIH","1641411998442","img/10.png","2","10","31"
"","4739","singlestim-multichoice-slider","15","62488","0.0-3.0-0.12","A1SMVF4MXT0RIH","1641411998442","img/18.png","1","10","70"
"","3969","singlestim-multichoice-slider","16","66461","0.0-3.0-0.13","A1SMVF4MXT0RIH","1641411998442","img/17.png","2","10","50"
"","9970","singlestim-multichoice-slider","17","76435","0.0-3.0-0.14","A1SMVF4MXT0RIH","1641411998442","img/08.png","2","10","61"
"","4669","singlestim-multichoice-slider","18","81107","0.0-3.0-0.15","A1SMVF4MXT0RIH","1641411998442","img/01.png","1","10","54"
"","3248","singlestim-multichoice-slider","19","84367","0.0-3.0-0.16","A1SMVF4MXT0RIH","1641411998442","img/03.png","2","10","81"
"","7120","singlestim-multichoice-slider","20","91491","0.0-3.0-0.17","A1SMVF4MXT0RIH","1641411998442","img/13.png","1","10","43"
"[{""page_index"":0,""viewing_time"":1389}]","1389","instructions","21","92881","0.0-4.0","A1SMVF4MXT0RIH","1641411998442","","","",""
