"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":53229}]","53230","instructions","0","53233","0.0-0.0","A1SUOD2BWJY2VB","1641411238320","","","",""
"[{""page_index"":0,""viewing_time"":3690},{""page_index"":1,""viewing_time"":1504}]","5194","instructions","1","58428","0.0-1.0","A1SUOD2BWJY2VB","1641411238320","","","",""
"[{""page_index"":0,""viewing_time"":1503}]","1505","instructions","2","59934","0.0-2.0","A1SUOD2BWJY2VB","1641411238320","","","",""
"","53074","singlestim-multichoice-slider","3","113014","0.0-3.0-0.0","A1SUOD2BWJY2VB","1641411238320","img/06.png","3","10","44"
"","59035","singlestim-multichoice-slider","4","172053","0.0-3.0-0.1","A1SUOD2BWJY2VB","1641411238320","img/05.png","2","10","54"
"","12437","singlestim-multichoice-slider","5","184494","0.0-3.0-0.2","A1SUOD2BWJY2VB","1641411238320","img/11.png","2","10","63"
"","13572","singlestim-multichoice-slider","6","198069","0.0-3.0-0.3","A1SUOD2BWJY2VB","1641411238320","img/15.png","1","10","47"
"","7869","singlestim-multichoice-slider","7","205942","0.0-3.0-0.4","A1SUOD2BWJY2VB","1641411238320","img/18.png","3","10","60"
"","4395","singlestim-multichoice-slider","8","210341","0.0-3.0-0.5","A1SUOD2BWJY2VB","1641411238320","img/17.png","1","10","60"
"","7726","singlestim-multichoice-slider","9","218070","0.0-3.0-0.6","A1SUOD2BWJY2VB","1641411238320","img/09.png","2","10","59"
"","14835","singlestim-multichoice-slider","10","232910","0.0-3.0-0.7","A1SUOD2BWJY2VB","1641411238320","img/12.png","3","10","44"
"","12164","singlestim-multichoice-slider","11","245078","0.0-3.0-0.8","A1SUOD2BWJY2VB","1641411238320","img/14.png","3","10","58"
"","12518","singlestim-multichoice-slider","12","257599","0.0-3.0-0.9","A1SUOD2BWJY2VB","1641411238320","img/10.png","3","10","58"
"","12719","singlestim-multichoice-slider","13","270326","0.0-3.0-0.10","A1SUOD2BWJY2VB","1641411238320","img/04.png","1","10","83"
"","8270","singlestim-multichoice-slider","14","278600","0.0-3.0-0.11","A1SUOD2BWJY2VB","1641411238320","img/08.png","1","10","62"
"","27613","singlestim-multichoice-slider","15","306231","0.0-3.0-0.12","A1SUOD2BWJY2VB","1641411238320","img/02.png","3","10","48"
"","14827","singlestim-multichoice-slider","16","321063","0.0-3.0-0.13","A1SUOD2BWJY2VB","1641411238320","img/16.png","2","10","51"
"","6728","singlestim-multichoice-slider","17","327798","0.0-3.0-0.14","A1SUOD2BWJY2VB","1641411238320","img/03.png","3","10","84"
"","25866","singlestim-multichoice-slider","18","353671","0.0-3.0-0.15","A1SUOD2BWJY2VB","1641411238320","img/01.png","2","10","62"
"","16159","singlestim-multichoice-slider","19","369839","0.0-3.0-0.16","A1SUOD2BWJY2VB","1641411238320","img/07.png","3","10","69"
"","14111","singlestim-multichoice-slider","20","383958","0.0-3.0-0.17","A1SUOD2BWJY2VB","1641411238320","img/13.png","3","10","58"
"[{""page_index"":0,""viewing_time"":8001}]","8001","instructions","21","391959","0.0-4.0","A1SUOD2BWJY2VB","1641411238320","","","",""
