"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2555}]","2557","instructions","0","2560","0.0-0.0","A20KLNCJK6M7DV","1641413281789","","","",""
"[{""page_index"":0,""viewing_time"":3043},{""page_index"":1,""viewing_time"":1328}]","4372","instructions","1","6934","0.0-1.0","A20KLNCJK6M7DV","1641413281789","","","",""
"[{""page_index"":0,""viewing_time"":1093}]","1094","instructions","2","8029","0.0-2.0","A20KLNCJK6M7DV","1641413281789","","","",""
"","3362","singlestim-multichoice-slider","3","11402","0.0-3.0-0.0","A20KLNCJK6M7DV","1641413281789","img/15.png","2","10","66"
"","2545","singlestim-multichoice-slider","4","13956","0.0-3.0-0.1","A20KLNCJK6M7DV","1641413281789","img/07.png","3","10","67"
"","3620","singlestim-multichoice-slider","5","17585","0.0-3.0-0.2","A20KLNCJK6M7DV","1641413281789","img/12.png","2","10","72"
"","4239","singlestim-multichoice-slider","6","21833","0.0-3.0-0.3","A20KLNCJK6M7DV","1641413281789","img/18.png","1","10","54"
"","2465","singlestim-multichoice-slider","7","24305","0.0-3.0-0.4","A20KLNCJK6M7DV","1641413281789","img/09.png","2","10","55"
"","2167","singlestim-multichoice-slider","8","26481","0.0-3.0-0.5","A20KLNCJK6M7DV","1641413281789","img/08.png","3","10","63"
"","2142","singlestim-multichoice-slider","9","28631","0.0-3.0-0.6","A20KLNCJK6M7DV","1641413281789","img/14.png","2","10","68"
"","2720","singlestim-multichoice-slider","10","31362","0.0-3.0-0.7","A20KLNCJK6M7DV","1641413281789","img/06.png","1","10","88"
"","2302","singlestim-multichoice-slider","11","33674","0.0-3.0-0.8","A20KLNCJK6M7DV","1641413281789","img/05.png","2","10","50"
"","2167","singlestim-multichoice-slider","12","35851","0.0-3.0-0.9","A20KLNCJK6M7DV","1641413281789","img/02.png","3","10","63"
"","2484","singlestim-multichoice-slider","13","38349","0.0-3.0-0.10","A20KLNCJK6M7DV","1641413281789","img/04.png","2","10","67"
"","3117","singlestim-multichoice-slider","14","41477","0.0-3.0-0.11","A20KLNCJK6M7DV","1641413281789","img/01.png","1","10","72"
"","2365","singlestim-multichoice-slider","15","43851","0.0-3.0-0.12","A20KLNCJK6M7DV","1641413281789","img/17.png","2","10","34"
"","3109","singlestim-multichoice-slider","16","46971","0.0-3.0-0.13","A20KLNCJK6M7DV","1641413281789","img/13.png","2","10","43"
"","2605","singlestim-multichoice-slider","17","49589","0.0-3.0-0.14","A20KLNCJK6M7DV","1641413281789","img/10.png","1","10","55"
"","2285","singlestim-multichoice-slider","18","51885","0.0-3.0-0.15","A20KLNCJK6M7DV","1641413281789","img/11.png","3","10","63"
"","4575","singlestim-multichoice-slider","19","56473","0.0-3.0-0.16","A20KLNCJK6M7DV","1641413281789","img/03.png","3","10","37"
"","5764","singlestim-multichoice-slider","20","62254","0.0-3.0-0.17","A20KLNCJK6M7DV","1641413281789","img/16.png","2","10","62"
"[{""page_index"":0,""viewing_time"":1710}]","1712","instructions","21","63966","0.0-4.0","A20KLNCJK6M7DV","1641413281789","","","",""
