"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2507}]","2507","instructions","0","2510","0.0-0.0","A282QO2IKVG0FW","1641411348459","","","",""
"[{""page_index"":0,""viewing_time"":5009},{""page_index"":1,""viewing_time"":1427}]","6437","instructions","1","8947","0.0-1.0","A282QO2IKVG0FW","1641411348459","","","",""
"[{""page_index"":0,""viewing_time"":1390}]","1391","instructions","2","10339","0.0-2.0","A282QO2IKVG0FW","1641411348459","","","",""
"","10389","singlestim-multichoice-slider","3","20734","0.0-3.0-0.0","A282QO2IKVG0FW","1641411348459","img/07.png","3","10","90"
"","8730","singlestim-multichoice-slider","4","29469","0.0-3.0-0.1","A282QO2IKVG0FW","1641411348459","img/11.png","1","10","89"
"","41318","singlestim-multichoice-slider","5","70792","0.0-3.0-0.2","A282QO2IKVG0FW","1641411348459","img/10.png","2","10","91"
"","5052","singlestim-multichoice-slider","6","75851","0.0-3.0-0.3","A282QO2IKVG0FW","1641411348459","img/09.png","2","10","99"
"","4501","singlestim-multichoice-slider","7","80359","0.0-3.0-0.4","A282QO2IKVG0FW","1641411348459","img/12.png","1","10","95"
"","5138","singlestim-multichoice-slider","8","85502","0.0-3.0-0.5","A282QO2IKVG0FW","1641411348459","img/15.png","3","10","91"
"","7053","singlestim-multichoice-slider","9","92562","0.0-3.0-0.6","A282QO2IKVG0FW","1641411348459","img/16.png","3","10","92"
"","6340","singlestim-multichoice-slider","10","98906","0.0-3.0-0.7","A282QO2IKVG0FW","1641411348459","img/05.png","2","10","90"
"","7543","singlestim-multichoice-slider","11","106462","0.0-3.0-0.8","A282QO2IKVG0FW","1641411348459","img/06.png","3","10","92"
"","5918","singlestim-multichoice-slider","12","112387","0.0-3.0-0.9","A282QO2IKVG0FW","1641411348459","img/17.png","1","10","94"
"","5967","singlestim-multichoice-slider","13","118359","0.0-3.0-0.10","A282QO2IKVG0FW","1641411348459","img/08.png","1","10","97"
"","7045","singlestim-multichoice-slider","14","125410","0.0-3.0-0.11","A282QO2IKVG0FW","1641411348459","img/04.png","1","10","95"
"","51508","singlestim-multichoice-slider","15","176922","0.0-3.0-0.12","A282QO2IKVG0FW","1641411348459","img/01.png","3","10","92"
"","12234","singlestim-multichoice-slider","16","189162","0.0-3.0-0.13","A282QO2IKVG0FW","1641411348459","img/14.png","3","10","100"
"","6832","singlestim-multichoice-slider","17","196002","0.0-3.0-0.14","A282QO2IKVG0FW","1641411348459","img/03.png","1","10","93"
"","6836","singlestim-multichoice-slider","18","202845","0.0-3.0-0.15","A282QO2IKVG0FW","1641411348459","img/02.png","3","10","91"
"","5651","singlestim-multichoice-slider","19","208507","0.0-3.0-0.16","A282QO2IKVG0FW","1641411348459","img/13.png","2","10","93"
"","5572","singlestim-multichoice-slider","20","214084","0.0-3.0-0.17","A282QO2IKVG0FW","1641411348459","img/18.png","3","10","84"
"[{""page_index"":0,""viewing_time"":1358}]","1359","instructions","21","215443","0.0-4.0","A282QO2IKVG0FW","1641411348459","","","",""
