"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6121}]","6121","instructions","0","6124","0.0-0.0","A2AGS81MDXHIYS","1641411769702","","","",""
"[{""page_index"":0,""viewing_time"":3966},{""page_index"":1,""viewing_time"":3585}]","7551","instructions","1","13675","0.0-1.0","A2AGS81MDXHIYS","1641411769702","","","",""
"[{""page_index"":0,""viewing_time"":168489}]","168491","instructions","2","182167","0.0-2.0","A2AGS81MDXHIYS","1641411769702","","","",""
"","51396","singlestim-multichoice-slider","3","233597","0.0-3.0-0.0","A2AGS81MDXHIYS","1641411769702","img/06.png","1","10","50"
"","12643","singlestim-multichoice-slider","4","246242","0.0-3.0-0.1","A2AGS81MDXHIYS","1641411769702","img/14.png","3","10","50"
"","10819","singlestim-multichoice-slider","5","257065","0.0-3.0-0.2","A2AGS81MDXHIYS","1641411769702","img/12.png","3","10","50"
"","10220","singlestim-multichoice-slider","6","267287","0.0-3.0-0.3","A2AGS81MDXHIYS","1641411769702","img/03.png","3","10","50"
"","15922","singlestim-multichoice-slider","7","283211","0.0-3.0-0.4","A2AGS81MDXHIYS","1641411769702","img/11.png","2","10","58"
"","9838","singlestim-multichoice-slider","8","293052","0.0-3.0-0.5","A2AGS81MDXHIYS","1641411769702","img/07.png","1","10","68"
"","51079","singlestim-multichoice-slider","9","344135","0.0-3.0-0.6","A2AGS81MDXHIYS","1641411769702","img/13.png","3","10","22"
"","9131","singlestim-multichoice-slider","10","353270","0.0-3.0-0.7","A2AGS81MDXHIYS","1641411769702","img/15.png","2","10","57"
"","10295","singlestim-multichoice-slider","11","363567","0.0-3.0-0.8","A2AGS81MDXHIYS","1641411769702","img/05.png","1","10","50"
"","6028","singlestim-multichoice-slider","12","369598","0.0-3.0-0.9","A2AGS81MDXHIYS","1641411769702","img/17.png","2","10","72"
"","20442","singlestim-multichoice-slider","13","390043","0.0-3.0-0.10","A2AGS81MDXHIYS","1641411769702","img/10.png","3","10","62"
"","12700","singlestim-multichoice-slider","14","402748","0.0-3.0-0.11","A2AGS81MDXHIYS","1641411769702","img/09.png","2","10","57"
"","47062","singlestim-multichoice-slider","15","449827","0.0-3.0-0.12","A2AGS81MDXHIYS","1641411769702","img/18.png","2","10","73"
"","5137","singlestim-multichoice-slider","16","455056","0.0-3.0-0.13","A2AGS81MDXHIYS","1641411769702","img/08.png","1","10","50"
"","10528","singlestim-multichoice-slider","17","465590","0.0-3.0-0.14","A2AGS81MDXHIYS","1641411769702","img/02.png","3","10","52"
"","9374","singlestim-multichoice-slider","18","474975","0.0-3.0-0.15","A2AGS81MDXHIYS","1641411769702","img/04.png","3","10","51"
"","9187","singlestim-multichoice-slider","19","484165","0.0-3.0-0.16","A2AGS81MDXHIYS","1641411769702","img/16.png","3","10","56"
"","7142","singlestim-multichoice-slider","20","491311","0.0-3.0-0.17","A2AGS81MDXHIYS","1641411769702","img/01.png","2","10","57"
"[{""page_index"":0,""viewing_time"":5543}]","5543","instructions","21","496855","0.0-4.0","A2AGS81MDXHIYS","1641411769702","","","",""
