"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6459}]","6459","instructions","0","6461","0.0-0.0","A2B5Z0P760IMDC","1641410832069","","","",""
"[{""page_index"":0,""viewing_time"":2891},{""page_index"":1,""viewing_time"":1218}]","4110","instructions","1","10572","0.0-1.0","A2B5Z0P760IMDC","1641410832069","","","",""
"[{""page_index"":0,""viewing_time"":1508}]","1508","instructions","2","12081","0.0-2.0","A2B5Z0P760IMDC","1641410832069","","","",""
"","9288","singlestim-multichoice-slider","3","21374","0.0-3.0-0.0","A2B5Z0P760IMDC","1641410832069","img/03.png","1","10","10"
"","9343","singlestim-multichoice-slider","4","30721","0.0-3.0-0.1","A2B5Z0P760IMDC","1641410832069","img/07.png","2","10","10"
"","4546","singlestim-multichoice-slider","5","35271","0.0-3.0-0.2","A2B5Z0P760IMDC","1641410832069","img/02.png","3","10","7"
"","4884","singlestim-multichoice-slider","6","40158","0.0-3.0-0.3","A2B5Z0P760IMDC","1641410832069","img/11.png","1","10","6"
"","6258","singlestim-multichoice-slider","7","46424","0.0-3.0-0.4","A2B5Z0P760IMDC","1641410832069","img/01.png","3","10","10"
"","6303","singlestim-multichoice-slider","8","52731","0.0-3.0-0.5","A2B5Z0P760IMDC","1641410832069","img/16.png","1","10","4"
"","4345","singlestim-multichoice-slider","9","57079","0.0-3.0-0.6","A2B5Z0P760IMDC","1641410832069","img/15.png","3","10","4"
"","5979","singlestim-multichoice-slider","10","63061","0.0-3.0-0.7","A2B5Z0P760IMDC","1641410832069","img/17.png","1","10","7"
"","4254","singlestim-multichoice-slider","11","67318","0.0-3.0-0.8","A2B5Z0P760IMDC","1641410832069","img/14.png","2","10","2"
"","4211","singlestim-multichoice-slider","12","71533","0.0-3.0-0.9","A2B5Z0P760IMDC","1641410832069","img/13.png","1","10","11"
"","4651","singlestim-multichoice-slider","13","76188","0.0-3.0-0.10","A2B5Z0P760IMDC","1641410832069","img/18.png","3","10","8"
"","4571","singlestim-multichoice-slider","14","80766","0.0-3.0-0.11","A2B5Z0P760IMDC","1641410832069","img/08.png","2","10","6"
"","4296","singlestim-multichoice-slider","15","85068","0.0-3.0-0.12","A2B5Z0P760IMDC","1641410832069","img/04.png","1","10","10"
"","5532","singlestim-multichoice-slider","16","90604","0.0-3.0-0.13","A2B5Z0P760IMDC","1641410832069","img/12.png","3","10","6"
"","5408","singlestim-multichoice-slider","17","96018","0.0-3.0-0.14","A2B5Z0P760IMDC","1641410832069","img/06.png","1","10","10"
"","13248","singlestim-multichoice-slider","18","109272","0.0-3.0-0.15","A2B5Z0P760IMDC","1641410832069","img/05.png","3","10","6"
"","5049","singlestim-multichoice-slider","19","114326","0.0-3.0-0.16","A2B5Z0P760IMDC","1641410832069","img/09.png","1","10","6"
"","4284","singlestim-multichoice-slider","20","118615","0.0-3.0-0.17","A2B5Z0P760IMDC","1641410832069","img/10.png","3","10","6"
"[{""page_index"":0,""viewing_time"":2951}]","2952","instructions","21","121567","0.0-4.0","A2B5Z0P760IMDC","1641410832069","","","",""
