"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1614}]","1614","instructions","0","1616","0.0-0.0","A2C0LCV1ZPKXHD","1641414503241","","","",""
"[{""page_index"":0,""viewing_time"":3041},{""page_index"":1,""viewing_time"":1799}]","4840","instructions","1","6457","0.0-1.0","A2C0LCV1ZPKXHD","1641414503241","","","",""
"[{""page_index"":0,""viewing_time"":2200}]","2200","instructions","2","8658","0.0-2.0","A2C0LCV1ZPKXHD","1641414503241","","","",""
"","17921","singlestim-multichoice-slider","3","26585","0.0-3.0-0.0","A2C0LCV1ZPKXHD","1641414503241","img/10.png","3","10","81"
"","7597","singlestim-multichoice-slider","4","34186","0.0-3.0-0.1","A2C0LCV1ZPKXHD","1641414503241","img/14.png","2","10","75"
"","8143","singlestim-multichoice-slider","5","42335","0.0-3.0-0.2","A2C0LCV1ZPKXHD","1641414503241","img/18.png","1","10","95"
"","9224","singlestim-multichoice-slider","6","51563","0.0-3.0-0.3","A2C0LCV1ZPKXHD","1641414503241","img/17.png","1","10","41"
"","16551","singlestim-multichoice-slider","7","68117","0.0-3.0-0.4","A2C0LCV1ZPKXHD","1641414503241","img/11.png","2","10","51"
"","6122","singlestim-multichoice-slider","8","74242","0.0-3.0-0.5","A2C0LCV1ZPKXHD","1641414503241","img/06.png","2","10","47"
"","8972","singlestim-multichoice-slider","9","83218","0.0-3.0-0.6","A2C0LCV1ZPKXHD","1641414503241","img/13.png","3","10","44"
"","7481","singlestim-multichoice-slider","10","90703","0.0-3.0-0.7","A2C0LCV1ZPKXHD","1641414503241","img/04.png","1","10","72"
"","6496","singlestim-multichoice-slider","11","97203","0.0-3.0-0.8","A2C0LCV1ZPKXHD","1641414503241","img/08.png","1","10","91"
"","10963","singlestim-multichoice-slider","12","108170","0.0-3.0-0.9","A2C0LCV1ZPKXHD","1641414503241","img/12.png","2","10","58"
"","6309","singlestim-multichoice-slider","13","114482","0.0-3.0-0.10","A2C0LCV1ZPKXHD","1641414503241","img/01.png","1","10","45"
"","5485","singlestim-multichoice-slider","14","119972","0.0-3.0-0.11","A2C0LCV1ZPKXHD","1641414503241","img/07.png","3","10","55"
"","11891","singlestim-multichoice-slider","15","131867","0.0-3.0-0.12","A2C0LCV1ZPKXHD","1641414503241","img/15.png","1","10","85"
"","9456","singlestim-multichoice-slider","16","141330","0.0-3.0-0.13","A2C0LCV1ZPKXHD","1641414503241","img/02.png","3","10","61"
"","9138","singlestim-multichoice-slider","17","150472","0.0-3.0-0.14","A2C0LCV1ZPKXHD","1641414503241","img/03.png","3","10","59"
"","6110","singlestim-multichoice-slider","18","156586","0.0-3.0-0.15","A2C0LCV1ZPKXHD","1641414503241","img/09.png","3","10","44"
"","20027","singlestim-multichoice-slider","19","176617","0.0-3.0-0.16","A2C0LCV1ZPKXHD","1641414503241","img/05.png","1","10","59"
"","7784","singlestim-multichoice-slider","20","184407","0.0-3.0-0.17","A2C0LCV1ZPKXHD","1641414503241","img/16.png","2","10","37"
"[{""page_index"":0,""viewing_time"":1999}]","2000","instructions","21","186407","0.0-4.0","A2C0LCV1ZPKXHD","1641414503241","","","",""
