"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2576}]","2577","instructions","0","2581","0.0-0.0","A2L8BI5CRPR5WP","1641411852497","","","",""
"[{""page_index"":0,""viewing_time"":2621},{""page_index"":1,""viewing_time"":1587}]","4208","instructions","1","6791","0.0-1.0","A2L8BI5CRPR5WP","1641411852497","","","",""
"[{""page_index"":0,""viewing_time"":1601}]","1601","instructions","2","8392","0.0-2.0","A2L8BI5CRPR5WP","1641411852497","","","",""
"","3319","singlestim-multichoice-slider","3","11718","0.0-3.0-0.0","A2L8BI5CRPR5WP","1641411852497","img/01.png","2","10","57"
"","3757","singlestim-multichoice-slider","4","15479","0.0-3.0-0.1","A2L8BI5CRPR5WP","1641411852497","img/02.png","1","10","68"
"","3638","singlestim-multichoice-slider","5","19120","0.0-3.0-0.2","A2L8BI5CRPR5WP","1641411852497","img/07.png","2","10","78"
"","3051","singlestim-multichoice-slider","6","22177","0.0-3.0-0.3","A2L8BI5CRPR5WP","1641411852497","img/11.png","3","10","71"
"","3432","singlestim-multichoice-slider","7","25612","0.0-3.0-0.4","A2L8BI5CRPR5WP","1641411852497","img/18.png","2","10","55"
"","3125","singlestim-multichoice-slider","8","28741","0.0-3.0-0.5","A2L8BI5CRPR5WP","1641411852497","img/12.png","1","10","71"
"","3581","singlestim-multichoice-slider","9","32326","0.0-3.0-0.6","A2L8BI5CRPR5WP","1641411852497","img/05.png","2","10","53"
"","2721","singlestim-multichoice-slider","10","35049","0.0-3.0-0.7","A2L8BI5CRPR5WP","1641411852497","img/17.png","3","10","50"
"","3136","singlestim-multichoice-slider","11","38188","0.0-3.0-0.8","A2L8BI5CRPR5WP","1641411852497","img/13.png","2","10","78"
"","4215","singlestim-multichoice-slider","12","42406","0.0-3.0-0.9","A2L8BI5CRPR5WP","1641411852497","img/09.png","3","10","81"
"","3879","singlestim-multichoice-slider","13","46294","0.0-3.0-0.10","A2L8BI5CRPR5WP","1641411852497","img/06.png","1","10","80"
"","2960","singlestim-multichoice-slider","14","49257","0.0-3.0-0.11","A2L8BI5CRPR5WP","1641411852497","img/08.png","2","10","52"
"","3374","singlestim-multichoice-slider","15","52634","0.0-3.0-0.12","A2L8BI5CRPR5WP","1641411852497","img/04.png","3","10","53"
"","3326","singlestim-multichoice-slider","16","55962","0.0-3.0-0.13","A2L8BI5CRPR5WP","1641411852497","img/14.png","2","10","55"
"","3639","singlestim-multichoice-slider","17","59605","0.0-3.0-0.14","A2L8BI5CRPR5WP","1641411852497","img/16.png","2","10","86"
"","3713","singlestim-multichoice-slider","18","63321","0.0-3.0-0.15","A2L8BI5CRPR5WP","1641411852497","img/15.png","1","10","59"
"","12659","singlestim-multichoice-slider","19","75983","0.0-3.0-0.16","A2L8BI5CRPR5WP","1641411852497","img/03.png","2","10","59"
"","3326","singlestim-multichoice-slider","20","79313","0.0-3.0-0.17","A2L8BI5CRPR5WP","1641411852497","img/10.png","3","10","62"
"[{""page_index"":0,""viewing_time"":1940}]","1940","instructions","21","81253","0.0-4.0","A2L8BI5CRPR5WP","1641411852497","","","",""
