"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1994}]","1995","instructions","0","1996","0.0-0.0","A2RREI7Z5EVR2X","1641413033803","","","",""
"[{""page_index"":0,""viewing_time"":5990},{""page_index"":1,""viewing_time"":5063}]","11053","instructions","1","13050","0.0-1.0","A2RREI7Z5EVR2X","1641413033803","","","",""
"[{""page_index"":0,""viewing_time"":23772}]","23774","instructions","2","36824","0.0-2.0","A2RREI7Z5EVR2X","1641413033803","","","",""
"","18748","singlestim-multichoice-slider","3","55578","0.0-3.0-0.0","A2RREI7Z5EVR2X","1641413033803","img/12.png","3","10","80"
"","11588","singlestim-multichoice-slider","4","67169","0.0-3.0-0.1","A2RREI7Z5EVR2X","1641413033803","img/18.png","3","10","63"
"","13604","singlestim-multichoice-slider","5","80776","0.0-3.0-0.2","A2RREI7Z5EVR2X","1641413033803","img/17.png","2","10","73"
"","7130","singlestim-multichoice-slider","6","87908","0.0-3.0-0.3","A2RREI7Z5EVR2X","1641413033803","img/04.png","3","10","86"
"","5768","singlestim-multichoice-slider","7","93678","0.0-3.0-0.4","A2RREI7Z5EVR2X","1641413033803","img/08.png","3","10","52"
"","14813","singlestim-multichoice-slider","8","108493","0.0-3.0-0.5","A2RREI7Z5EVR2X","1641413033803","img/03.png","2","10","29"
"","11401","singlestim-multichoice-slider","9","119896","0.0-3.0-0.6","A2RREI7Z5EVR2X","1641413033803","img/05.png","1","10","59"
"","13922","singlestim-multichoice-slider","10","133820","0.0-3.0-0.7","A2RREI7Z5EVR2X","1641413033803","img/11.png","3","10","41"
"","22138","singlestim-multichoice-slider","11","155960","0.0-3.0-0.8","A2RREI7Z5EVR2X","1641413033803","img/13.png","2","10","42"
"","10463","singlestim-multichoice-slider","12","166426","0.0-3.0-0.9","A2RREI7Z5EVR2X","1641413033803","img/15.png","1","10","45"
"","13880","singlestim-multichoice-slider","13","180308","0.0-3.0-0.10","A2RREI7Z5EVR2X","1641413033803","img/02.png","3","10","78"
"","28688","singlestim-multichoice-slider","14","208999","0.0-3.0-0.11","A2RREI7Z5EVR2X","1641413033803","img/07.png","3","10","49"
"","6805","singlestim-multichoice-slider","15","215808","0.0-3.0-0.12","A2RREI7Z5EVR2X","1641413033803","img/16.png","3","10","66"
"","6051","singlestim-multichoice-slider","16","221862","0.0-3.0-0.13","A2RREI7Z5EVR2X","1641413033803","img/01.png","3","10","59"
"","10524","singlestim-multichoice-slider","17","232388","0.0-3.0-0.14","A2RREI7Z5EVR2X","1641413033803","img/09.png","2","10","38"
"","8156","singlestim-multichoice-slider","18","240546","0.0-3.0-0.15","A2RREI7Z5EVR2X","1641413033803","img/10.png","3","10","64"
"","9263","singlestim-multichoice-slider","19","249812","0.0-3.0-0.16","A2RREI7Z5EVR2X","1641413033803","img/14.png","2","10","100"
"","17446","singlestim-multichoice-slider","20","267262","0.0-3.0-0.17","A2RREI7Z5EVR2X","1641413033803","img/06.png","2","10","24"
"[{""page_index"":0,""viewing_time"":2679}]","2680","instructions","21","269943","0.0-4.0","A2RREI7Z5EVR2X","1641413033803","","","",""
