"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6244}]","6244","instructions","0","6248","0.0-0.0","A32D778QPHXZE3","1641412495918","","","",""
"[{""page_index"":0,""viewing_time"":139219},{""page_index"":1,""viewing_time"":1597}]","140817","instructions","1","147069","0.0-1.0","A32D778QPHXZE3","1641412495918","","","",""
"[{""page_index"":0,""viewing_time"":3763}]","3763","instructions","2","150833","0.0-2.0","A32D778QPHXZE3","1641412495918","","","",""
"","74960","singlestim-multichoice-slider","3","225802","0.0-3.0-0.0","A32D778QPHXZE3","1641412495918","img/06.png","1","10","70"
"","143680","singlestim-multichoice-slider","4","369490","0.0-3.0-0.1","A32D778QPHXZE3","1641412495918","img/17.png","2","10","89"
"","143307","singlestim-multichoice-slider","5","512804","0.0-3.0-0.2","A32D778QPHXZE3","1641412495918","img/18.png","3","10","84"
"","32276","singlestim-multichoice-slider","6","545084","0.0-3.0-0.3","A32D778QPHXZE3","1641412495918","img/10.png","1","10","78"
"","56172","singlestim-multichoice-slider","7","601262","0.0-3.0-0.4","A32D778QPHXZE3","1641412495918","img/09.png","1","10","83"
"","6940","singlestim-multichoice-slider","8","608205","0.0-3.0-0.5","A32D778QPHXZE3","1641412495918","img/02.png","3","10","74"
"","214553","singlestim-multichoice-slider","9","822767","0.0-3.0-0.6","A32D778QPHXZE3","1641412495918","img/03.png","2","10","85"
"","28028","singlestim-multichoice-slider","10","850799","0.0-3.0-0.7","A32D778QPHXZE3","1641412495918","img/12.png","1","10","76"
"","6932","singlestim-multichoice-slider","11","857735","0.0-3.0-0.8","A32D778QPHXZE3","1641412495918","img/01.png","2","10","71"
"","38389","singlestim-multichoice-slider","12","896130","0.0-3.0-0.9","A32D778QPHXZE3","1641412495918","img/16.png","1","10","86"
"","5075","singlestim-multichoice-slider","13","901208","0.0-3.0-0.10","A32D778QPHXZE3","1641412495918","img/11.png","2","10","91"
"","4997","singlestim-multichoice-slider","14","906209","0.0-3.0-0.11","A32D778QPHXZE3","1641412495918","img/08.png","1","10","87"
"","6859","singlestim-multichoice-slider","15","913072","0.0-3.0-0.12","A32D778QPHXZE3","1641412495918","img/13.png","3","10","69"
"","9467","singlestim-multichoice-slider","16","922543","0.0-3.0-0.13","A32D778QPHXZE3","1641412495918","img/07.png","1","10","83"
"","67153","singlestim-multichoice-slider","17","989704","0.0-3.0-0.14","A32D778QPHXZE3","1641412495918","img/05.png","1","10","74"
"","34491","singlestim-multichoice-slider","18","1024200","0.0-3.0-0.15","A32D778QPHXZE3","1641412495918","img/15.png","1","10","83"
"","32260","singlestim-multichoice-slider","19","1056465","0.0-3.0-0.16","A32D778QPHXZE3","1641412495918","img/04.png","1","10","94"
"","11196","singlestim-multichoice-slider","20","1067665","0.0-3.0-0.17","A32D778QPHXZE3","1641412495918","img/14.png","1","10","76"
"[{""page_index"":0,""viewing_time"":1784}]","1784","instructions","21","1069450","0.0-4.0","A32D778QPHXZE3","1641412495918","","","",""
