"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3998}]","3999","instructions","0","4001","0.0-0.0","A39LVL4A92K88X","1641413182431","","","",""
"[{""page_index"":0,""viewing_time"":2197},{""page_index"":1,""viewing_time"":1475}]","3673","instructions","1","7676","0.0-1.0","A39LVL4A92K88X","1641413182431","","","",""
"[{""page_index"":0,""viewing_time"":1242}]","1243","instructions","2","8920","0.0-2.0","A39LVL4A92K88X","1641413182431","","","",""
"","4329","singlestim-multichoice-slider","3","13260","0.0-3.0-0.0","A39LVL4A92K88X","1641413182431","img/10.png","1","10","53"
"","2529","singlestim-multichoice-slider","4","15798","0.0-3.0-0.1","A39LVL4A92K88X","1641413182431","img/08.png","2","10","60"
"","2922","singlestim-multichoice-slider","5","18729","0.0-3.0-0.2","A39LVL4A92K88X","1641413182431","img/12.png","2","10","62"
"","2074","singlestim-multichoice-slider","6","20811","0.0-3.0-0.3","A39LVL4A92K88X","1641413182431","img/01.png","1","10","69"
"","2637","singlestim-multichoice-slider","7","23457","0.0-3.0-0.4","A39LVL4A92K88X","1641413182431","img/18.png","3","10","80"
"","3202","singlestim-multichoice-slider","8","26668","0.0-3.0-0.5","A39LVL4A92K88X","1641413182431","img/16.png","2","10","58"
"","2396","singlestim-multichoice-slider","9","29075","0.0-3.0-0.6","A39LVL4A92K88X","1641413182431","img/05.png","1","10","63"
"","1966","singlestim-multichoice-slider","10","31053","0.0-3.0-0.7","A39LVL4A92K88X","1641413182431","img/13.png","2","10","56"
"","2354","singlestim-multichoice-slider","11","33419","0.0-3.0-0.8","A39LVL4A92K88X","1641413182431","img/17.png","3","10","56"
"","2124","singlestim-multichoice-slider","12","35554","0.0-3.0-0.9","A39LVL4A92K88X","1641413182431","img/15.png","2","10","50"
"","2359","singlestim-multichoice-slider","13","37922","0.0-3.0-0.10","A39LVL4A92K88X","1641413182431","img/09.png","2","10","68"
"","2431","singlestim-multichoice-slider","14","40367","0.0-3.0-0.11","A39LVL4A92K88X","1641413182431","img/07.png","1","10","56"
"","2317","singlestim-multichoice-slider","15","42696","0.0-3.0-0.12","A39LVL4A92K88X","1641413182431","img/04.png","3","10","65"
"","5992","singlestim-multichoice-slider","16","48700","0.0-3.0-0.13","A39LVL4A92K88X","1641413182431","img/11.png","2","10","52"
"","2147","singlestim-multichoice-slider","17","50858","0.0-3.0-0.14","A39LVL4A92K88X","1641413182431","img/03.png","2","10","54"
"","1911","singlestim-multichoice-slider","18","52783","0.0-3.0-0.15","A39LVL4A92K88X","1641413182431","img/06.png","3","10","65"
"","2111","singlestim-multichoice-slider","19","54906","0.0-3.0-0.16","A39LVL4A92K88X","1641413182431","img/02.png","2","10","89"
"","2341","singlestim-multichoice-slider","20","57258","0.0-3.0-0.17","A39LVL4A92K88X","1641413182431","img/14.png","1","10","59"
"[{""page_index"":0,""viewing_time"":1440}]","1441","instructions","21","58700","0.0-4.0","A39LVL4A92K88X","1641413182431","","","",""
