"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":902555}]","902556","instructions","0","902559","0.0-0.0","A3IHS667I3J5UV","1641429794900","","","",""
"[{""page_index"":0,""viewing_time"":3176},{""page_index"":1,""viewing_time"":2002}]","5179","instructions","1","907739","0.0-1.0","A3IHS667I3J5UV","1641429794900","","","",""
"[{""page_index"":0,""viewing_time"":2237}]","2238","instructions","2","909978","0.0-2.0","A3IHS667I3J5UV","1641429794900","","","",""
"","9486","singlestim-multichoice-slider","3","919475","0.0-3.0-0.0","A3IHS667I3J5UV","1641429794900","img/16.png","1","10","72"
"","7899","singlestim-multichoice-slider","4","927381","0.0-3.0-0.1","A3IHS667I3J5UV","1641429794900","img/03.png","2","10","73"
"","5096","singlestim-multichoice-slider","5","932483","0.0-3.0-0.2","A3IHS667I3J5UV","1641429794900","img/15.png","1","10","83"
"","4753","singlestim-multichoice-slider","6","937246","0.0-3.0-0.3","A3IHS667I3J5UV","1641429794900","img/07.png","1","10","85"
"","7617","singlestim-multichoice-slider","7","944869","0.0-3.0-0.4","A3IHS667I3J5UV","1641429794900","img/10.png","2","10","80"
"","6152","singlestim-multichoice-slider","8","951034","0.0-3.0-0.5","A3IHS667I3J5UV","1641429794900","img/01.png","1","10","86"
"","6563","singlestim-multichoice-slider","9","957619","0.0-3.0-0.6","A3IHS667I3J5UV","1641429794900","img/08.png","3","10","93"
"","6277","singlestim-multichoice-slider","10","963920","0.0-3.0-0.7","A3IHS667I3J5UV","1641429794900","img/02.png","3","10","82"
"","20302","singlestim-multichoice-slider","11","984229","0.0-3.0-0.8","A3IHS667I3J5UV","1641429794900","img/13.png","1","10","55"
"","10286","singlestim-multichoice-slider","12","994522","0.0-3.0-0.9","A3IHS667I3J5UV","1641429794900","img/06.png","1","10","75"
"","9485","singlestim-multichoice-slider","13","1004013","0.0-3.0-0.10","A3IHS667I3J5UV","1641429794900","img/04.png","1","10","83"
"","7008","singlestim-multichoice-slider","14","1011028","0.0-3.0-0.11","A3IHS667I3J5UV","1641429794900","img/17.png","2","10","80"
"","6333","singlestim-multichoice-slider","15","1017368","0.0-3.0-0.12","A3IHS667I3J5UV","1641429794900","img/09.png","2","10","77"
"","6027","singlestim-multichoice-slider","16","1023402","0.0-3.0-0.13","A3IHS667I3J5UV","1641429794900","img/11.png","1","10","74"
"","6037","singlestim-multichoice-slider","17","1029446","0.0-3.0-0.14","A3IHS667I3J5UV","1641429794900","img/05.png","2","10","76"
"","5769","singlestim-multichoice-slider","18","1035220","0.0-3.0-0.15","A3IHS667I3J5UV","1641429794900","img/12.png","1","10","76"
"","28200","singlestim-multichoice-slider","19","1063427","0.0-3.0-0.16","A3IHS667I3J5UV","1641429794900","img/14.png","1","10","76"
"","9879","singlestim-multichoice-slider","20","1073325","0.0-3.0-0.17","A3IHS667I3J5UV","1641429794900","img/18.png","3","10","66"
"[{""page_index"":0,""viewing_time"":7731}]","7733","instructions","21","1081059","0.0-4.0","A3IHS667I3J5UV","1641429794900","","","",""
