"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2694}]","2694","instructions","0","2695","0.0-0.0","ACYRD9VZV2H8","1641412550546","","","",""
"[{""page_index"":0,""viewing_time"":2617},{""page_index"":1,""viewing_time"":1493}]","4111","instructions","1","6806","0.0-1.0","ACYRD9VZV2H8","1641412550546","","","",""
"[{""page_index"":0,""viewing_time"":1108}]","1108","instructions","2","7915","0.0-2.0","ACYRD9VZV2H8","1641412550546","","","",""
"","3033","singlestim-multichoice-slider","3","10952","0.0-3.0-0.0","ACYRD9VZV2H8","1641412550546","img/06.png","2","10","42"
"","4012","singlestim-multichoice-slider","4","14967","0.0-3.0-0.1","ACYRD9VZV2H8","1641412550546","img/03.png","3","10","50"
"","3167","singlestim-multichoice-slider","5","18137","0.0-3.0-0.2","ACYRD9VZV2H8","1641412550546","img/08.png","2","10","47"
"","2604","singlestim-multichoice-slider","6","20744","0.0-3.0-0.3","ACYRD9VZV2H8","1641412550546","img/05.png","1","10","44"
"","3023","singlestim-multichoice-slider","7","23769","0.0-3.0-0.4","ACYRD9VZV2H8","1641412550546","img/12.png","2","10","43"
"","5675","singlestim-multichoice-slider","8","29448","0.0-3.0-0.5","ACYRD9VZV2H8","1641412550546","img/02.png","1","10","39"
"","4038","singlestim-multichoice-slider","9","33488","0.0-3.0-0.6","ACYRD9VZV2H8","1641412550546","img/07.png","2","10","51"
"","5799","singlestim-multichoice-slider","10","39290","0.0-3.0-0.7","ACYRD9VZV2H8","1641412550546","img/04.png","2","10","38"
"","3062","singlestim-multichoice-slider","11","42355","0.0-3.0-0.8","ACYRD9VZV2H8","1641412550546","img/11.png","2","10","45"
"","4333","singlestim-multichoice-slider","12","46692","0.0-3.0-0.9","ACYRD9VZV2H8","1641412550546","img/09.png","1","10","59"
"","3121","singlestim-multichoice-slider","13","49816","0.0-3.0-0.10","ACYRD9VZV2H8","1641412550546","img/18.png","2","10","63"
"","2926","singlestim-multichoice-slider","14","52745","0.0-3.0-0.11","ACYRD9VZV2H8","1641412550546","img/13.png","3","10","43"
"","4321","singlestim-multichoice-slider","15","57069","0.0-3.0-0.12","ACYRD9VZV2H8","1641412550546","img/14.png","1","10","52"
"","3674","singlestim-multichoice-slider","16","60747","0.0-3.0-0.13","ACYRD9VZV2H8","1641412550546","img/17.png","2","10","48"
"","2343","singlestim-multichoice-slider","17","63094","0.0-3.0-0.14","ACYRD9VZV2H8","1641412550546","img/16.png","3","10","58"
"","3491","singlestim-multichoice-slider","18","66589","0.0-3.0-0.15","ACYRD9VZV2H8","1641412550546","img/10.png","2","10","48"
"","2284","singlestim-multichoice-slider","19","68877","0.0-3.0-0.16","ACYRD9VZV2H8","1641412550546","img/01.png","1","10","74"
"","3818","singlestim-multichoice-slider","20","72699","0.0-3.0-0.17","ACYRD9VZV2H8","1641412550546","img/15.png","2","10","61"
"[{""page_index"":0,""viewing_time"":1696}]","1696","instructions","21","74396","0.0-4.0","ACYRD9VZV2H8","1641412550546","","","",""
