"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7581}]","7582","instructions","0","7585","0.0-0.0","ASV5AV9SSO4CI","1641411408997","","","",""
"[{""page_index"":0,""viewing_time"":11150},{""page_index"":1,""viewing_time"":8544}]","19694","instructions","1","27280","0.0-1.0","ASV5AV9SSO4CI","1641411408997","","","",""
"[{""page_index"":0,""viewing_time"":13155}]","13156","instructions","2","40436","0.0-2.0","ASV5AV9SSO4CI","1641411408997","","","",""
"","17464","singlestim-multichoice-slider","3","57905","0.0-3.0-0.0","ASV5AV9SSO4CI","1641411408997","img/10.png","3","10","96"
"","14811","singlestim-multichoice-slider","4","72721","0.0-3.0-0.1","ASV5AV9SSO4CI","1641411408997","img/01.png","2","10","87"
"","6218","singlestim-multichoice-slider","5","78942","0.0-3.0-0.2","ASV5AV9SSO4CI","1641411408997","img/09.png","2","10","82"
"","8142","singlestim-multichoice-slider","6","87089","0.0-3.0-0.3","ASV5AV9SSO4CI","1641411408997","img/11.png","3","10","90"
"","5680","singlestim-multichoice-slider","7","92773","0.0-3.0-0.4","ASV5AV9SSO4CI","1641411408997","img/14.png","3","10","94"
"","8075","singlestim-multichoice-slider","8","100853","0.0-3.0-0.5","ASV5AV9SSO4CI","1641411408997","img/08.png","1","10","86"
"","6734","singlestim-multichoice-slider","9","107590","0.0-3.0-0.6","ASV5AV9SSO4CI","1641411408997","img/03.png","1","10","77"
"","5580","singlestim-multichoice-slider","10","113176","0.0-3.0-0.7","ASV5AV9SSO4CI","1641411408997","img/13.png","2","10","84"
"","6437","singlestim-multichoice-slider","11","119618","0.0-3.0-0.8","ASV5AV9SSO4CI","1641411408997","img/17.png","1","10","90"
"","9700","singlestim-multichoice-slider","12","129322","0.0-3.0-0.9","ASV5AV9SSO4CI","1641411408997","img/07.png","1","10","84"
"","9681","singlestim-multichoice-slider","13","139007","0.0-3.0-0.10","ASV5AV9SSO4CI","1641411408997","img/12.png","3","10","89"
"","7586","singlestim-multichoice-slider","14","146601","0.0-3.0-0.11","ASV5AV9SSO4CI","1641411408997","img/15.png","3","10","81"
"","5139","singlestim-multichoice-slider","15","151746","0.0-3.0-0.12","ASV5AV9SSO4CI","1641411408997","img/02.png","2","10","83"
"","6715","singlestim-multichoice-slider","16","158469","0.0-3.0-0.13","ASV5AV9SSO4CI","1641411408997","img/05.png","2","10","90"
"","31573","singlestim-multichoice-slider","17","190047","0.0-3.0-0.14","ASV5AV9SSO4CI","1641411408997","img/18.png","3","10","88"
"","4731","singlestim-multichoice-slider","18","194787","0.0-3.0-0.15","ASV5AV9SSO4CI","1641411408997","img/16.png","3","10","86"
"","8727","singlestim-multichoice-slider","19","203519","0.0-3.0-0.16","ASV5AV9SSO4CI","1641411408997","img/06.png","3","10","99"
"","7861","singlestim-multichoice-slider","20","211383","0.0-3.0-0.17","ASV5AV9SSO4CI","1641411408997","img/04.png","1","10","82"
"[{""page_index"":0,""viewing_time"":8072}]","8072","instructions","21","219455","0.0-4.0","ASV5AV9SSO4CI","1641411408997","","","",""
