"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":17154}]","17155","instructions","0","17157","0.0-0.0","A1I7H6RDJS4EKN","1641412041518","","","",""
"[{""page_index"":0,""viewing_time"":34285},{""page_index"":1,""viewing_time"":24682}]","58968","instructions","1","76126","0.0-1.0","A1I7H6RDJS4EKN","1641412041518","","","",""
"[{""page_index"":0,""viewing_time"":74187}]","74188","instructions","2","150316","0.0-2.0","A1I7H6RDJS4EKN","1641412041518","","","",""
"","51186","singlestim-multichoice-slider","3","201527","0.0-3.0-0.0","A1I7H6RDJS4EKN","1641412041518","img/03.png","2","10","100"
"","67599","singlestim-multichoice-slider","4","269135","0.0-3.0-0.1","A1I7H6RDJS4EKN","1641412041518","img/06.png","1","10","33"
"","16880","singlestim-multichoice-slider","5","286019","0.0-3.0-0.2","A1I7H6RDJS4EKN","1641412041518","img/04.png","1","10","100"
"","32197","singlestim-multichoice-slider","6","318222","0.0-3.0-0.3","A1I7H6RDJS4EKN","1641412041518","img/13.png","2","10","100"
"","24835","singlestim-multichoice-slider","7","343066","0.0-3.0-0.4","A1I7H6RDJS4EKN","1641412041518","img/10.png","3","10","100"
"","29854","singlestim-multichoice-slider","8","372927","0.0-3.0-0.5","A1I7H6RDJS4EKN","1641412041518","img/17.png","1","10","33"
"","45063","singlestim-multichoice-slider","9","417996","0.0-3.0-0.6","A1I7H6RDJS4EKN","1641412041518","img/12.png","2","10","33"
"","39478","singlestim-multichoice-slider","10","457480","0.0-3.0-0.7","A1I7H6RDJS4EKN","1641412041518","img/05.png","3","10","50"
"","33494","singlestim-multichoice-slider","11","490983","0.0-3.0-0.8","A1I7H6RDJS4EKN","1641412041518","img/18.png","2","10","50"
"","82682","singlestim-multichoice-slider","12","573670","0.0-3.0-0.9","A1I7H6RDJS4EKN","1641412041518","img/01.png","3","10","50"
"","101577","singlestim-multichoice-slider","13","675254","0.0-3.0-0.10","A1I7H6RDJS4EKN","1641412041518","img/09.png","3","10","50"
"","17144","singlestim-multichoice-slider","14","692407","0.0-3.0-0.11","A1I7H6RDJS4EKN","1641412041518","img/16.png","1","10","100"
"","42062","singlestim-multichoice-slider","15","734474","0.0-3.0-0.12","A1I7H6RDJS4EKN","1641412041518","img/07.png","3","10","50"
"","26582","singlestim-multichoice-slider","16","761062","0.0-3.0-0.13","A1I7H6RDJS4EKN","1641412041518","img/02.png","3","10","100"
"","25423","singlestim-multichoice-slider","17","786492","0.0-3.0-0.14","A1I7H6RDJS4EKN","1641412041518","img/15.png","3","10","50"
"","18822","singlestim-multichoice-slider","18","805322","0.0-3.0-0.15","A1I7H6RDJS4EKN","1641412041518","img/08.png","1","10","100"
"","39852","singlestim-multichoice-slider","19","845180","0.0-3.0-0.16","A1I7H6RDJS4EKN","1641412041518","img/11.png","3","10","50"
"","58191","singlestim-multichoice-slider","20","903378","0.0-3.0-0.17","A1I7H6RDJS4EKN","1641412041518","img/14.png","2","10","100"
"[{""page_index"":0,""viewing_time"":9859}]","9860","instructions","21","913239","0.0-4.0","A1I7H6RDJS4EKN","1641412041518","","","",""
