"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5091}]","5092","instructions","0","5093","0.0-0.0","A2APG8MSLJ6G2K","1641411005247","","","",""
"[{""page_index"":0,""viewing_time"":18877},{""page_index"":1,""viewing_time"":7220}]","26097","instructions","1","31190","0.0-1.0","A2APG8MSLJ6G2K","1641411005247","","","",""
"[{""page_index"":0,""viewing_time"":6470}]","6470","instructions","2","37660","0.0-2.0","A2APG8MSLJ6G2K","1641411005247","","","",""
"","22651","singlestim-multichoice-slider","3","60315","0.0-3.0-0.0","A2APG8MSLJ6G2K","1641411005247","img/01.png","2","10","74"
"","15496","singlestim-multichoice-slider","4","75812","0.0-3.0-0.1","A2APG8MSLJ6G2K","1641411005247","img/10.png","3","10","84"
"","12230","singlestim-multichoice-slider","5","88044","0.0-3.0-0.2","A2APG8MSLJ6G2K","1641411005247","img/03.png","3","10","90"
"","30320","singlestim-multichoice-slider","6","118366","0.0-3.0-0.3","A2APG8MSLJ6G2K","1641411005247","img/15.png","3","10","18"
"","17506","singlestim-multichoice-slider","7","135874","0.0-3.0-0.4","A2APG8MSLJ6G2K","1641411005247","img/08.png","1","10","94"
"","15238","singlestim-multichoice-slider","8","151114","0.0-3.0-0.5","A2APG8MSLJ6G2K","1641411005247","img/11.png","2","10","10"
"","10320","singlestim-multichoice-slider","9","161436","0.0-3.0-0.6","A2APG8MSLJ6G2K","1641411005247","img/14.png","2","10","59"
"","10294","singlestim-multichoice-slider","10","171732","0.0-3.0-0.7","A2APG8MSLJ6G2K","1641411005247","img/02.png","3","10","74"
"","43336","singlestim-multichoice-slider","11","215069","0.0-3.0-0.8","A2APG8MSLJ6G2K","1641411005247","img/06.png","2","10","10"
"","12132","singlestim-multichoice-slider","12","227203","0.0-3.0-0.9","A2APG8MSLJ6G2K","1641411005247","img/12.png","3","10","25"
"","18133","singlestim-multichoice-slider","13","245337","0.0-3.0-0.10","A2APG8MSLJ6G2K","1641411005247","img/17.png","1","10","10"
"","7798","singlestim-multichoice-slider","14","253137","0.0-3.0-0.11","A2APG8MSLJ6G2K","1641411005247","img/18.png","1","10","24"
"","9594","singlestim-multichoice-slider","15","262733","0.0-3.0-0.12","A2APG8MSLJ6G2K","1641411005247","img/04.png","1","10","66"
"","13876","singlestim-multichoice-slider","16","276611","0.0-3.0-0.13","A2APG8MSLJ6G2K","1641411005247","img/09.png","3","10","88"
"","18172","singlestim-multichoice-slider","17","294785","0.0-3.0-0.14","A2APG8MSLJ6G2K","1641411005247","img/05.png","1","10","32"
"","8227","singlestim-multichoice-slider","18","303013","0.0-3.0-0.15","A2APG8MSLJ6G2K","1641411005247","img/16.png","1","10","39"
"","9006","singlestim-multichoice-slider","19","312021","0.0-3.0-0.16","A2APG8MSLJ6G2K","1641411005247","img/07.png","1","10","81"
"","18038","singlestim-multichoice-slider","20","330061","0.0-3.0-0.17","A2APG8MSLJ6G2K","1641411005247","img/13.png","2","10","39"
"[{""page_index"":0,""viewing_time"":4369}]","4369","instructions","21","334431","0.0-4.0","A2APG8MSLJ6G2K","1641411005247","","","",""
