"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1790}]","1791","instructions","0","1793","0.0-0.0","A2C8MIOP1NRD4U","1641411277634","","","",""
"[{""page_index"":0,""viewing_time"":4357},{""page_index"":1,""viewing_time"":4768}]","9126","instructions","1","10920","0.0-1.0","A2C8MIOP1NRD4U","1641411277634","","","",""
"[{""page_index"":0,""viewing_time"":1175}]","1176","instructions","2","12096","0.0-2.0","A2C8MIOP1NRD4U","1641411277634","","","",""
"","3020","singlestim-multichoice-slider","3","15119","0.0-3.0-0.0","A2C8MIOP1NRD4U","1641411277634","img/02.png","2","10","51"
"","2454","singlestim-multichoice-slider","4","17576","0.0-3.0-0.1","A2C8MIOP1NRD4U","1641411277634","img/05.png","3","10","49"
"","3142","singlestim-multichoice-slider","5","20722","0.0-3.0-0.2","A2C8MIOP1NRD4U","1641411277634","img/16.png","2","10","51"
"","2691","singlestim-multichoice-slider","6","23416","0.0-3.0-0.3","A2C8MIOP1NRD4U","1641411277634","img/06.png","3","10","38"
"","2550","singlestim-multichoice-slider","7","25969","0.0-3.0-0.4","A2C8MIOP1NRD4U","1641411277634","img/03.png","2","10","37"
"","2339","singlestim-multichoice-slider","8","28312","0.0-3.0-0.5","A2C8MIOP1NRD4U","1641411277634","img/15.png","1","10","55"
"","2606","singlestim-multichoice-slider","9","30921","0.0-3.0-0.6","A2C8MIOP1NRD4U","1641411277634","img/18.png","2","10","44"
"","2187","singlestim-multichoice-slider","10","33113","0.0-3.0-0.7","A2C8MIOP1NRD4U","1641411277634","img/08.png","3","10","48"
"","3219","singlestim-multichoice-slider","11","36335","0.0-3.0-0.8","A2C8MIOP1NRD4U","1641411277634","img/17.png","2","10","80"
"","3725","singlestim-multichoice-slider","12","40064","0.0-3.0-0.9","A2C8MIOP1NRD4U","1641411277634","img/10.png","2","10","49"
"","3032","singlestim-multichoice-slider","13","43100","0.0-3.0-0.10","A2C8MIOP1NRD4U","1641411277634","img/12.png","3","10","49"
"","3312","singlestim-multichoice-slider","14","46415","0.0-3.0-0.11","A2C8MIOP1NRD4U","1641411277634","img/01.png","2","10","50"
"","3205","singlestim-multichoice-slider","15","49623","0.0-3.0-0.12","A2C8MIOP1NRD4U","1641411277634","img/14.png","1","10","78"
"","3129","singlestim-multichoice-slider","16","52756","0.0-3.0-0.13","A2C8MIOP1NRD4U","1641411277634","img/13.png","2","10","51"
"","3805","singlestim-multichoice-slider","17","56567","0.0-3.0-0.14","A2C8MIOP1NRD4U","1641411277634","img/07.png","3","10","53"
"","2877","singlestim-multichoice-slider","18","59448","0.0-3.0-0.15","A2C8MIOP1NRD4U","1641411277634","img/11.png","2","10","78"
"","3695","singlestim-multichoice-slider","19","63146","0.0-3.0-0.16","A2C8MIOP1NRD4U","1641411277634","img/09.png","1","10","76"
"","1929","singlestim-multichoice-slider","20","65080","0.0-3.0-0.17","A2C8MIOP1NRD4U","1641411277634","img/04.png","3","10","52"
"[{""page_index"":0,""viewing_time"":2417}]","2418","instructions","21","67498","0.0-4.0","A2C8MIOP1NRD4U","1641411277634","","","",""
