"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2170}]","2170","instructions","0","2198","0.0-0.0","A2WHTNOMVOM4DA","1641410958813","","","",""
"[{""page_index"":0,""viewing_time"":1550},{""page_index"":1,""viewing_time"":2704}]","4255","instructions","1","6454","0.0-1.0","A2WHTNOMVOM4DA","1641410958813","","","",""
"[{""page_index"":0,""viewing_time"":1257}]","1257","instructions","2","7711","0.0-2.0","A2WHTNOMVOM4DA","1641410958813","","","",""
"","5547","singlestim-multichoice-slider","3","13263","0.0-3.0-0.0","A2WHTNOMVOM4DA","1641410958813","img/11.png","2","10","89"
"","2802","singlestim-multichoice-slider","4","16070","0.0-3.0-0.1","A2WHTNOMVOM4DA","1641410958813","img/18.png","3","10","44"
"","3125","singlestim-multichoice-slider","5","19198","0.0-3.0-0.2","A2WHTNOMVOM4DA","1641410958813","img/16.png","2","10","20"
"","3413","singlestim-multichoice-slider","6","22614","0.0-3.0-0.3","A2WHTNOMVOM4DA","1641410958813","img/13.png","1","10","57"
"","2652","singlestim-multichoice-slider","7","25269","0.0-3.0-0.4","A2WHTNOMVOM4DA","1641410958813","img/14.png","2","10","66"
"","2462","singlestim-multichoice-slider","8","27734","0.0-3.0-0.5","A2WHTNOMVOM4DA","1641410958813","img/02.png","3","10","70"
"","2717","singlestim-multichoice-slider","9","30455","0.0-3.0-0.6","A2WHTNOMVOM4DA","1641410958813","img/05.png","2","10","58"
"","2532","singlestim-multichoice-slider","10","32990","0.0-3.0-0.7","A2WHTNOMVOM4DA","1641410958813","img/04.png","1","10","39"
"","2686","singlestim-multichoice-slider","11","35680","0.0-3.0-0.8","A2WHTNOMVOM4DA","1641410958813","img/07.png","2","10","81"
"","2298","singlestim-multichoice-slider","12","37983","0.0-3.0-0.9","A2WHTNOMVOM4DA","1641410958813","img/08.png","3","10","47"
"","4467","singlestim-multichoice-slider","13","42454","0.0-3.0-0.10","A2WHTNOMVOM4DA","1641410958813","img/12.png","1","10","58"
"","2597","singlestim-multichoice-slider","14","45055","0.0-3.0-0.11","A2WHTNOMVOM4DA","1641410958813","img/09.png","2","10","40"
"","2780","singlestim-multichoice-slider","15","47838","0.0-3.0-0.12","A2WHTNOMVOM4DA","1641410958813","img/01.png","3","10","47"
"","3321","singlestim-multichoice-slider","16","51165","0.0-3.0-0.13","A2WHTNOMVOM4DA","1641410958813","img/10.png","2","10","72"
"","2908","singlestim-multichoice-slider","17","54078","0.0-3.0-0.14","A2WHTNOMVOM4DA","1641410958813","img/17.png","1","10","45"
"","3107","singlestim-multichoice-slider","18","57189","0.0-3.0-0.15","A2WHTNOMVOM4DA","1641410958813","img/15.png","2","10","65"
"","2372","singlestim-multichoice-slider","19","59565","0.0-3.0-0.16","A2WHTNOMVOM4DA","1641410958813","img/06.png","3","10","39"
"","2772","singlestim-multichoice-slider","20","62341","0.0-3.0-0.17","A2WHTNOMVOM4DA","1641410958813","img/03.png","2","10","52"
"[{""page_index"":0,""viewing_time"":1280}]","1280","instructions","21","63621","0.0-4.0","A2WHTNOMVOM4DA","1641410958813","","","",""
