"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1581}]","1582","instructions","0","1585","0.0-0.0","A39LVL4A92K88X","1641413085758","","","",""
"[{""page_index"":0,""viewing_time"":2366},{""page_index"":1,""viewing_time"":1418}]","3785","instructions","1","5371","0.0-1.0","A39LVL4A92K88X","1641413085758","","","",""
"[{""page_index"":0,""viewing_time"":1591}]","1592","instructions","2","6964","0.0-2.0","A39LVL4A92K88X","1641413085758","","","",""
"","5138","singlestim-multichoice-slider","3","12113","0.0-3.0-0.0","A39LVL4A92K88X","1641413085758","img/16.png","1","10","40"
"","2890","singlestim-multichoice-slider","4","15012","0.0-3.0-0.1","A39LVL4A92K88X","1641413085758","img/02.png","2","10","54"
"","4075","singlestim-multichoice-slider","5","19096","0.0-3.0-0.2","A39LVL4A92K88X","1641413085758","img/07.png","2","10","51"
"","3318","singlestim-multichoice-slider","6","22422","0.0-3.0-0.3","A39LVL4A92K88X","1641413085758","img/05.png","3","10","65"
"","2964","singlestim-multichoice-slider","7","25393","0.0-3.0-0.4","A39LVL4A92K88X","1641413085758","img/01.png","2","10","48"
"","2752","singlestim-multichoice-slider","8","28155","0.0-3.0-0.5","A39LVL4A92K88X","1641413085758","img/08.png","1","10","65"
"","2450","singlestim-multichoice-slider","9","30614","0.0-3.0-0.6","A39LVL4A92K88X","1641413085758","img/04.png","3","10","89"
"","2907","singlestim-multichoice-slider","10","33530","0.0-3.0-0.7","A39LVL4A92K88X","1641413085758","img/14.png","2","10","59"
"","2667","singlestim-multichoice-slider","11","36208","0.0-3.0-0.8","A39LVL4A92K88X","1641413085758","img/18.png","2","10","46"
"","2511","singlestim-multichoice-slider","12","38734","0.0-3.0-0.9","A39LVL4A92K88X","1641413085758","img/15.png","1","10","79"
"","5485","singlestim-multichoice-slider","13","44232","0.0-3.0-0.10","A39LVL4A92K88X","1641413085758","img/13.png","3","10","53"
"","2802","singlestim-multichoice-slider","14","47045","0.0-3.0-0.11","A39LVL4A92K88X","1641413085758","img/06.png","2","10","46"
"","8615","singlestim-multichoice-slider","15","55671","0.0-3.0-0.12","A39LVL4A92K88X","1641413085758","img/17.png","2","10","63"
"","3750","singlestim-multichoice-slider","16","59494","0.0-3.0-0.13","A39LVL4A92K88X","1641413085758","img/10.png","1","10","78"
"","5356","singlestim-multichoice-slider","17","64862","0.0-3.0-0.14","A39LVL4A92K88X","1641413085758","img/11.png","3","10","58"
"","2293","singlestim-multichoice-slider","18","67165","0.0-3.0-0.15","A39LVL4A92K88X","1641413085758","img/12.png","2","10","58"
"","2833","singlestim-multichoice-slider","19","70011","0.0-3.0-0.16","A39LVL4A92K88X","1641413085758","img/09.png","2","10","56"
"","3169","singlestim-multichoice-slider","20","73188","0.0-3.0-0.17","A39LVL4A92K88X","1641413085758","img/03.png","3","10","74"
"[{""page_index"":0,""viewing_time"":12253}]","12254","instructions","21","85443","0.0-4.0","A39LVL4A92K88X","1641413085758","","","",""
