"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":39749}]","39750","instructions","0","39752","0.0-0.0","A39VVWV1GHLMFD","1641415921344","","","",""
"[{""page_index"":0,""viewing_time"":20435},{""page_index"":1,""viewing_time"":8324}]","28760","instructions","1","68513","0.0-1.0","A39VVWV1GHLMFD","1641415921344","","","",""
"[{""page_index"":0,""viewing_time"":102401}]","102401","instructions","2","170914","0.0-2.0","A39VVWV1GHLMFD","1641415921344","","","",""
"","58818","singlestim-multichoice-slider","3","229739","0.0-3.0-0.0","A39VVWV1GHLMFD","1641415921344","img/03.png","2","10","60"
"","58312","singlestim-multichoice-slider","4","288055","0.0-3.0-0.1","A39VVWV1GHLMFD","1641415921344","img/06.png","3","10","58"
"","10118","singlestim-multichoice-slider","5","298178","0.0-3.0-0.2","A39VVWV1GHLMFD","1641415921344","img/07.png","3","10","90"
"","21274","singlestim-multichoice-slider","6","319456","0.0-3.0-0.3","A39VVWV1GHLMFD","1641415921344","img/12.png","3","10","58"
"","5545","singlestim-multichoice-slider","7","325009","0.0-3.0-0.4","A39VVWV1GHLMFD","1641415921344","img/10.png","3","10","70"
"","8573","singlestim-multichoice-slider","8","333588","0.0-3.0-0.5","A39VVWV1GHLMFD","1641415921344","img/08.png","3","10","56"
"","11781","singlestim-multichoice-slider","9","345374","0.0-3.0-0.6","A39VVWV1GHLMFD","1641415921344","img/18.png","1","10","77"
"","7848","singlestim-multichoice-slider","10","353231","0.0-3.0-0.7","A39VVWV1GHLMFD","1641415921344","img/14.png","3","10","52"
"","22010","singlestim-multichoice-slider","11","375248","0.0-3.0-0.8","A39VVWV1GHLMFD","1641415921344","img/05.png","1","10","67"
"","26276","singlestim-multichoice-slider","12","401529","0.0-3.0-0.9","A39VVWV1GHLMFD","1641415921344","img/11.png","2","10","67"
"","5116","singlestim-multichoice-slider","13","406649","0.0-3.0-0.10","A39VVWV1GHLMFD","1641415921344","img/15.png","1","10","61"
"","4771","singlestim-multichoice-slider","14","411425","0.0-3.0-0.11","A39VVWV1GHLMFD","1641415921344","img/16.png","3","10","60"
"","5473","singlestim-multichoice-slider","15","416905","0.0-3.0-0.12","A39VVWV1GHLMFD","1641415921344","img/13.png","1","10","66"
"","15308","singlestim-multichoice-slider","16","432219","0.0-3.0-0.13","A39VVWV1GHLMFD","1641415921344","img/17.png","1","10","68"
"","19904","singlestim-multichoice-slider","17","452129","0.0-3.0-0.14","A39VVWV1GHLMFD","1641415921344","img/09.png","2","10","73"
"","13080","singlestim-multichoice-slider","18","465216","0.0-3.0-0.15","A39VVWV1GHLMFD","1641415921344","img/04.png","3","10","66"
"","5777","singlestim-multichoice-slider","19","470999","0.0-3.0-0.16","A39VVWV1GHLMFD","1641415921344","img/01.png","3","10","59"
"","10305","singlestim-multichoice-slider","20","481309","0.0-3.0-0.17","A39VVWV1GHLMFD","1641415921344","img/02.png","3","10","64"
"[{""page_index"":0,""viewing_time"":24195}]","24197","instructions","21","505506","0.0-4.0","A39VVWV1GHLMFD","1641415921344","","","",""
