"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2079}]","2079","instructions","0","2081","0.0-0.0","A3GQR89E66AQJY","1641411420784","","","",""
"[{""page_index"":0,""viewing_time"":2519},{""page_index"":1,""viewing_time"":4355}]","6875","instructions","1","8957","0.0-1.0","A3GQR89E66AQJY","1641411420784","","","",""
"[{""page_index"":0,""viewing_time"":124332}]","124333","instructions","2","133290","0.0-2.0","A3GQR89E66AQJY","1641411420784","","","",""
"","27176","singlestim-multichoice-slider","3","160471","0.0-3.0-0.0","A3GQR89E66AQJY","1641411420784","img/10.png","3","10","30"
"","38085","singlestim-multichoice-slider","4","198558","0.0-3.0-0.1","A3GQR89E66AQJY","1641411420784","img/13.png","3","10","35"
"","18443","singlestim-multichoice-slider","5","217006","0.0-3.0-0.2","A3GQR89E66AQJY","1641411420784","img/11.png","1","10","33"
"","8257","singlestim-multichoice-slider","6","225271","0.0-3.0-0.3","A3GQR89E66AQJY","1641411420784","img/03.png","3","10","34"
"","9659","singlestim-multichoice-slider","7","234935","0.0-3.0-0.4","A3GQR89E66AQJY","1641411420784","img/05.png","1","10","26"
"","7203","singlestim-multichoice-slider","8","242145","0.0-3.0-0.5","A3GQR89E66AQJY","1641411420784","img/08.png","1","10","100"
"","44298","singlestim-multichoice-slider","9","286448","0.0-3.0-0.6","A3GQR89E66AQJY","1641411420784","img/02.png","3","10","44"
"","9059","singlestim-multichoice-slider","10","295512","0.0-3.0-0.7","A3GQR89E66AQJY","1641411420784","img/04.png","1","10","100"
"","6887","singlestim-multichoice-slider","11","302404","0.0-3.0-0.8","A3GQR89E66AQJY","1641411420784","img/14.png","2","10","100"
"","6155","singlestim-multichoice-slider","12","308563","0.0-3.0-0.9","A3GQR89E66AQJY","1641411420784","img/01.png","3","10","32"
"","7273","singlestim-multichoice-slider","13","315841","0.0-3.0-0.10","A3GQR89E66AQJY","1641411420784","img/16.png","1","10","100"
"","10465","singlestim-multichoice-slider","14","326314","0.0-3.0-0.11","A3GQR89E66AQJY","1641411420784","img/17.png","2","10","35"
"","9617","singlestim-multichoice-slider","15","335937","0.0-3.0-0.12","A3GQR89E66AQJY","1641411420784","img/09.png","3","10","29"
"","7683","singlestim-multichoice-slider","16","343626","0.0-3.0-0.13","A3GQR89E66AQJY","1641411420784","img/12.png","3","10","29"
"","8876","singlestim-multichoice-slider","17","352509","0.0-3.0-0.14","A3GQR89E66AQJY","1641411420784","img/18.png","2","10","30"
"","5631","singlestim-multichoice-slider","18","358147","0.0-3.0-0.15","A3GQR89E66AQJY","1641411420784","img/07.png","3","10","33"
"","6559","singlestim-multichoice-slider","19","364710","0.0-3.0-0.16","A3GQR89E66AQJY","1641411420784","img/15.png","3","10","32"
"","5971","singlestim-multichoice-slider","20","370685","0.0-3.0-0.17","A3GQR89E66AQJY","1641411420784","img/06.png","1","10","38"
"[{""page_index"":0,""viewing_time"":3679}]","3680","instructions","21","374365","0.0-4.0","A3GQR89E66AQJY","1641411420784","","","",""
