"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2000}]","2003","instructions","0","2006","0.0-0.0","A3K9GTQBOI7O5A","1641410981297","","","",""
"[{""page_index"":0,""viewing_time"":3183},{""page_index"":1,""viewing_time"":4235}]","7419","instructions","1","9427","0.0-1.0","A3K9GTQBOI7O5A","1641410981297","","","",""
"[{""page_index"":0,""viewing_time"":6176}]","6177","instructions","2","15605","0.0-2.0","A3K9GTQBOI7O5A","1641410981297","","","",""
"","16255","singlestim-multichoice-slider","3","31869","0.0-3.0-0.0","A3K9GTQBOI7O5A","1641410981297","img/10.png","3","10","48"
"","10827","singlestim-multichoice-slider","4","42701","0.0-3.0-0.1","A3K9GTQBOI7O5A","1641410981297","img/01.png","2","10","67"
"","38775","singlestim-multichoice-slider","5","81482","0.0-3.0-0.2","A3K9GTQBOI7O5A","1641410981297","img/09.png","2","10","29"
"","23065","singlestim-multichoice-slider","6","104553","0.0-3.0-0.3","A3K9GTQBOI7O5A","1641410981297","img/05.png","1","10","33"
"","5127","singlestim-multichoice-slider","7","109685","0.0-3.0-0.4","A3K9GTQBOI7O5A","1641410981297","img/11.png","2","10","26"
"","4762","singlestim-multichoice-slider","8","114454","0.0-3.0-0.5","A3K9GTQBOI7O5A","1641410981297","img/08.png","3","10","44"
"","9048","singlestim-multichoice-slider","9","123509","0.0-3.0-0.6","A3K9GTQBOI7O5A","1641410981297","img/04.png","3","10","39"
"","4457","singlestim-multichoice-slider","10","127973","0.0-3.0-0.7","A3K9GTQBOI7O5A","1641410981297","img/16.png","3","10","53"
"","9948","singlestim-multichoice-slider","11","137930","0.0-3.0-0.8","A3K9GTQBOI7O5A","1641410981297","img/03.png","3","10","59"
"","12708","singlestim-multichoice-slider","12","150643","0.0-3.0-0.9","A3K9GTQBOI7O5A","1641410981297","img/06.png","3","10","73"
"","9431","singlestim-multichoice-slider","13","160081","0.0-3.0-0.10","A3K9GTQBOI7O5A","1641410981297","img/14.png","2","10","64"
"","8802","singlestim-multichoice-slider","14","168892","0.0-3.0-0.11","A3K9GTQBOI7O5A","1641410981297","img/12.png","3","10","62"
"","9206","singlestim-multichoice-slider","15","178101","0.0-3.0-0.12","A3K9GTQBOI7O5A","1641410981297","img/18.png","3","10","65"
"","4263","singlestim-multichoice-slider","16","182372","0.0-3.0-0.13","A3K9GTQBOI7O5A","1641410981297","img/07.png","3","10","65"
"","7253","singlestim-multichoice-slider","17","189629","0.0-3.0-0.14","A3K9GTQBOI7O5A","1641410981297","img/13.png","2","10","67"
"","6352","singlestim-multichoice-slider","18","195989","0.0-3.0-0.15","A3K9GTQBOI7O5A","1641410981297","img/17.png","2","10","59"
"","4884","singlestim-multichoice-slider","19","200878","0.0-3.0-0.16","A3K9GTQBOI7O5A","1641410981297","img/02.png","3","10","73"
"","5553","singlestim-multichoice-slider","20","206437","0.0-3.0-0.17","A3K9GTQBOI7O5A","1641410981297","img/15.png","3","10","66"
"[{""page_index"":0,""viewing_time"":2744}]","2745","instructions","21","209183","0.0-4.0","A3K9GTQBOI7O5A","1641410981297","","","",""
