"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":18324}]","18326","instructions","0","18329","0.0-0.0","A72LC42LU78IP","1641411106140","","","",""
"[{""page_index"":0,""viewing_time"":12076},{""page_index"":1,""viewing_time"":30576}]","42653","instructions","1","60985","0.0-1.0","A72LC42LU78IP","1641411106140","","","",""
"[{""page_index"":0,""viewing_time"":106074}]","106074","instructions","2","167065","0.0-2.0","A72LC42LU78IP","1641411106140","","","",""
"","51482","singlestim-multichoice-slider","3","218554","0.0-3.0-0.0","A72LC42LU78IP","1641411106140","img/11.png","3","10","35"
"","13952","singlestim-multichoice-slider","4","232522","0.0-3.0-0.1","A72LC42LU78IP","1641411106140","img/07.png","1","10","52"
"","6832","singlestim-multichoice-slider","5","239358","0.0-3.0-0.2","A72LC42LU78IP","1641411106140","img/08.png","1","10","95"
"","11348","singlestim-multichoice-slider","6","250715","0.0-3.0-0.3","A72LC42LU78IP","1641411106140","img/17.png","3","10","31"
"","9558","singlestim-multichoice-slider","7","260279","0.0-3.0-0.4","A72LC42LU78IP","1641411106140","img/09.png","3","10","83"
"","10585","singlestim-multichoice-slider","8","270878","0.0-3.0-0.5","A72LC42LU78IP","1641411106140","img/14.png","2","10","45"
"","7433","singlestim-multichoice-slider","9","278336","0.0-3.0-0.6","A72LC42LU78IP","1641411106140","img/02.png","3","10","79"
"","11789","singlestim-multichoice-slider","10","290133","0.0-3.0-0.7","A72LC42LU78IP","1641411106140","img/12.png","3","10","83"
"","35762","singlestim-multichoice-slider","11","325899","0.0-3.0-0.8","A72LC42LU78IP","1641411106140","img/05.png","3","10","23"
"","7994","singlestim-multichoice-slider","12","333897","0.0-3.0-0.9","A72LC42LU78IP","1641411106140","img/16.png","1","10","75"
"","6917","singlestim-multichoice-slider","13","340818","0.0-3.0-0.10","A72LC42LU78IP","1641411106140","img/10.png","3","10","81"
"","7395","singlestim-multichoice-slider","14","348225","0.0-3.0-0.11","A72LC42LU78IP","1641411106140","img/03.png","3","10","74"
"","4892","singlestim-multichoice-slider","15","353129","0.0-3.0-0.12","A72LC42LU78IP","1641411106140","img/04.png","1","10","99"
"","6366","singlestim-multichoice-slider","16","359500","0.0-3.0-0.13","A72LC42LU78IP","1641411106140","img/01.png","3","10","62"
"","23184","singlestim-multichoice-slider","17","382687","0.0-3.0-0.14","A72LC42LU78IP","1641411106140","img/06.png","3","10","55"
"","12197","singlestim-multichoice-slider","18","394895","0.0-3.0-0.15","A72LC42LU78IP","1641411106140","img/18.png","1","10","49"
"","29548","singlestim-multichoice-slider","19","424459","0.0-3.0-0.16","A72LC42LU78IP","1641411106140","img/15.png","3","10","26"
"","63027","singlestim-multichoice-slider","20","487506","0.0-3.0-0.17","A72LC42LU78IP","1641411106140","img/13.png","3","10","52"
"[{""page_index"":0,""viewing_time"":4857}]","4857","instructions","21","492364","0.0-4.0","A72LC42LU78IP","1641411106140","","","",""
