"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2144}]","2144","instructions","0","2146","0.0-0.0","A7SXWHGK8B40R","1641410698293","","","",""
"[{""page_index"":0,""viewing_time"":1675},{""page_index"":1,""viewing_time"":1339}]","3014","instructions","1","5161","0.0-1.0","A7SXWHGK8B40R","1641410698293","","","",""
"[{""page_index"":0,""viewing_time"":3290}]","3290","instructions","2","8452","0.0-2.0","A7SXWHGK8B40R","1641410698293","","","",""
"","19647","singlestim-multichoice-slider","3","28102","0.0-3.0-0.0","A7SXWHGK8B40R","1641410698293","img/05.png","2","10","80"
"","6945","singlestim-multichoice-slider","4","35051","0.0-3.0-0.1","A7SXWHGK8B40R","1641410698293","img/14.png","3","10","86"
"","10856","singlestim-multichoice-slider","5","45910","0.0-3.0-0.2","A7SXWHGK8B40R","1641410698293","img/03.png","2","10","84"
"","3484","singlestim-multichoice-slider","6","49397","0.0-3.0-0.3","A7SXWHGK8B40R","1641410698293","img/12.png","3","10","77"
"","3568","singlestim-multichoice-slider","7","52969","0.0-3.0-0.4","A7SXWHGK8B40R","1641410698293","img/09.png","2","10","80"
"","7005","singlestim-multichoice-slider","8","59977","0.0-3.0-0.5","A7SXWHGK8B40R","1641410698293","img/01.png","3","10","95"
"","3159","singlestim-multichoice-slider","9","63140","0.0-3.0-0.6","A7SXWHGK8B40R","1641410698293","img/10.png","3","10","69"
"","3654","singlestim-multichoice-slider","10","66798","0.0-3.0-0.7","A7SXWHGK8B40R","1641410698293","img/06.png","3","10","78"
"","4862","singlestim-multichoice-slider","11","71663","0.0-3.0-0.8","A7SXWHGK8B40R","1641410698293","img/15.png","1","10","79"
"","2378","singlestim-multichoice-slider","12","74043","0.0-3.0-0.9","A7SXWHGK8B40R","1641410698293","img/13.png","2","10","85"
"","2775","singlestim-multichoice-slider","13","76820","0.0-3.0-0.10","A7SXWHGK8B40R","1641410698293","img/04.png","1","10","80"
"","6067","singlestim-multichoice-slider","14","82890","0.0-3.0-0.11","A7SXWHGK8B40R","1641410698293","img/16.png","3","10","85"
"","3418","singlestim-multichoice-slider","15","86311","0.0-3.0-0.12","A7SXWHGK8B40R","1641410698293","img/08.png","1","10","75"
"","2710","singlestim-multichoice-slider","16","89024","0.0-3.0-0.13","A7SXWHGK8B40R","1641410698293","img/18.png","3","10","79"
"","3836","singlestim-multichoice-slider","17","92861","0.0-3.0-0.14","A7SXWHGK8B40R","1641410698293","img/07.png","3","10","80"
"","2781","singlestim-multichoice-slider","18","95644","0.0-3.0-0.15","A7SXWHGK8B40R","1641410698293","img/17.png","2","10","70"
"","2988","singlestim-multichoice-slider","19","98635","0.0-3.0-0.16","A7SXWHGK8B40R","1641410698293","img/02.png","3","10","80"
"","5446","singlestim-multichoice-slider","20","104084","0.0-3.0-0.17","A7SXWHGK8B40R","1641410698293","img/11.png","2","10","81"
"[{""page_index"":0,""viewing_time"":5456}]","5457","instructions","21","109541","0.0-4.0","A7SXWHGK8B40R","1641410698293","","","",""
