"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1446}]","1446","instructions","0","1447","0.0-0.0","AAQREZOK13OV7","1641413645827","","","",""
"[{""page_index"":0,""viewing_time"":2262},{""page_index"":1,""viewing_time"":4082}]","6344","instructions","1","7791","0.0-1.0","AAQREZOK13OV7","1641413645827","","","",""
"[{""page_index"":0,""viewing_time"":1932}]","1933","instructions","2","9724","0.0-2.0","AAQREZOK13OV7","1641413645827","","","",""
"","10027","singlestim-multichoice-slider","3","19754","0.0-3.0-0.0","AAQREZOK13OV7","1641413645827","img/09.png","3","10","23"
"","4813","singlestim-multichoice-slider","4","24569","0.0-3.0-0.1","AAQREZOK13OV7","1641413645827","img/15.png","3","10","30"
"","5781","singlestim-multichoice-slider","5","30351","0.0-3.0-0.2","AAQREZOK13OV7","1641413645827","img/16.png","1","10","82"
"","5234","singlestim-multichoice-slider","6","35587","0.0-3.0-0.3","AAQREZOK13OV7","1641413645827","img/10.png","3","10","81"
"","4459","singlestim-multichoice-slider","7","40048","0.0-3.0-0.4","AAQREZOK13OV7","1641413645827","img/02.png","3","10","79"
"","4843","singlestim-multichoice-slider","8","44893","0.0-3.0-0.5","AAQREZOK13OV7","1641413645827","img/07.png","3","10","25"
"","4804","singlestim-multichoice-slider","9","49699","0.0-3.0-0.6","AAQREZOK13OV7","1641413645827","img/04.png","1","10","87"
"","6755","singlestim-multichoice-slider","10","56456","0.0-3.0-0.7","AAQREZOK13OV7","1641413645827","img/01.png","3","10","35"
"","11140","singlestim-multichoice-slider","11","67597","0.0-3.0-0.8","AAQREZOK13OV7","1641413645827","img/17.png","2","10","23"
"","11282","singlestim-multichoice-slider","12","78882","0.0-3.0-0.9","AAQREZOK13OV7","1641413645827","img/06.png","2","10","46"
"","4162","singlestim-multichoice-slider","13","83046","0.0-3.0-0.10","AAQREZOK13OV7","1641413645827","img/18.png","1","10","78"
"","3994","singlestim-multichoice-slider","14","87041","0.0-3.0-0.11","AAQREZOK13OV7","1641413645827","img/08.png","1","10","79"
"","6944","singlestim-multichoice-slider","15","93988","0.0-3.0-0.12","AAQREZOK13OV7","1641413645827","img/11.png","1","10","50"
"","7082","singlestim-multichoice-slider","16","101071","0.0-3.0-0.13","AAQREZOK13OV7","1641413645827","img/12.png","3","10","36"
"","3773","singlestim-multichoice-slider","17","104847","0.0-3.0-0.14","AAQREZOK13OV7","1641413645827","img/14.png","2","10","86"
"","8086","singlestim-multichoice-slider","18","112934","0.0-3.0-0.15","AAQREZOK13OV7","1641413645827","img/05.png","2","10","51"
"","5780","singlestim-multichoice-slider","19","118715","0.0-3.0-0.16","AAQREZOK13OV7","1641413645827","img/13.png","3","10","51"
"","14723","singlestim-multichoice-slider","20","133440","0.0-3.0-0.17","AAQREZOK13OV7","1641413645827","img/03.png","2","10","57"
"[{""page_index"":0,""viewing_time"":1744}]","1744","instructions","21","135184","0.0-4.0","AAQREZOK13OV7","1641413645827","","","",""
