"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":10414}]","10415","instructions","0","10416","0.0-0.0","AF7GYFMN3AD52","1641411879430","","","",""
"[{""page_index"":0,""viewing_time"":12428},{""page_index"":1,""viewing_time"":4000}]","16428","instructions","1","26844","0.0-1.0","AF7GYFMN3AD52","1641411879430","","","",""
"[{""page_index"":0,""viewing_time"":2579}]","2580","instructions","2","29424","0.0-2.0","AF7GYFMN3AD52","1641411879430","","","",""
"","22337","singlestim-multichoice-slider","3","51764","0.0-3.0-0.0","AF7GYFMN3AD52","1641411879430","img/05.png","2","10","77"
"","23097","singlestim-multichoice-slider","4","74864","0.0-3.0-0.1","AF7GYFMN3AD52","1641411879430","img/07.png","1","10","90"
"","15158","singlestim-multichoice-slider","5","90024","0.0-3.0-0.2","AF7GYFMN3AD52","1641411879430","img/03.png","2","10","73"
"","12938","singlestim-multichoice-slider","6","102964","0.0-3.0-0.3","AF7GYFMN3AD52","1641411879430","img/14.png","1","10","90"
"","8618","singlestim-multichoice-slider","7","111583","0.0-3.0-0.4","AF7GYFMN3AD52","1641411879430","img/10.png","2","10","82"
"","7078","singlestim-multichoice-slider","8","118663","0.0-3.0-0.5","AF7GYFMN3AD52","1641411879430","img/01.png","1","10","87"
"","126315","singlestim-multichoice-slider","9","244985","0.0-3.0-0.6","AF7GYFMN3AD52","1641411879430","img/06.png","3","10","82"
"","12598","singlestim-multichoice-slider","10","257584","0.0-3.0-0.7","AF7GYFMN3AD52","1641411879430","img/09.png","2","10","95"
"","10358","singlestim-multichoice-slider","11","267944","0.0-3.0-0.8","AF7GYFMN3AD52","1641411879430","img/12.png","2","10","77"
"","11518","singlestim-multichoice-slider","12","279464","0.0-3.0-0.9","AF7GYFMN3AD52","1641411879430","img/11.png","2","10","78"
"","17418","singlestim-multichoice-slider","13","296884","0.0-3.0-0.10","AF7GYFMN3AD52","1641411879430","img/16.png","2","10","90"
"","31757","singlestim-multichoice-slider","14","328644","0.0-3.0-0.11","AF7GYFMN3AD52","1641411879430","img/04.png","2","10","84"
"","7817","singlestim-multichoice-slider","15","336464","0.0-3.0-0.12","AF7GYFMN3AD52","1641411879430","img/15.png","2","10","74"
"","440569","singlestim-multichoice-slider","16","777045","0.0-3.0-0.13","AF7GYFMN3AD52","1641411879430","img/13.png","1","10","87"
"","4807","singlestim-multichoice-slider","17","781855","0.0-3.0-0.14","AF7GYFMN3AD52","1641411879430","img/18.png","2","10","73"
"","5968","singlestim-multichoice-slider","18","787824","0.0-3.0-0.15","AF7GYFMN3AD52","1641411879430","img/02.png","1","10","73"
"","4528","singlestim-multichoice-slider","19","792354","0.0-3.0-0.16","AF7GYFMN3AD52","1641411879430","img/08.png","1","10","82"
"","7198","singlestim-multichoice-slider","20","799554","0.0-3.0-0.17","AF7GYFMN3AD52","1641411879430","img/17.png","2","10","68"
"[{""page_index"":0,""viewing_time"":3250}]","3250","instructions","21","802804","0.0-4.0","AF7GYFMN3AD52","1641411879430","","","",""
