"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3142}]","3143","instructions","0","3144","0.0-0.0","ANVAFB99K5RKP","1641412037288","","","",""
"[{""page_index"":0,""viewing_time"":3110},{""page_index"":1,""viewing_time"":3769}]","6879","instructions","1","10024","0.0-1.0","ANVAFB99K5RKP","1641412037288","","","",""
"[{""page_index"":0,""viewing_time"":23535}]","23536","instructions","2","33560","0.0-2.0","ANVAFB99K5RKP","1641412037288","","","",""
"","42028","singlestim-multichoice-slider","3","75593","0.0-3.0-0.0","ANVAFB99K5RKP","1641412037288","img/13.png","2","10","85"
"","11564","singlestim-multichoice-slider","4","87160","0.0-3.0-0.1","ANVAFB99K5RKP","1641412037288","img/03.png","1","10","56"
"","7252","singlestim-multichoice-slider","5","94416","0.0-3.0-0.2","ANVAFB99K5RKP","1641412037288","img/10.png","3","10","74"
"","16861","singlestim-multichoice-slider","6","111280","0.0-3.0-0.3","ANVAFB99K5RKP","1641412037288","img/02.png","3","10","73"
"","8324","singlestim-multichoice-slider","7","119608","0.0-3.0-0.4","ANVAFB99K5RKP","1641412037288","img/01.png","3","10","68"
"","11548","singlestim-multichoice-slider","8","131160","0.0-3.0-0.5","ANVAFB99K5RKP","1641412037288","img/05.png","1","10","39"
"","7181","singlestim-multichoice-slider","9","138344","0.0-3.0-0.6","ANVAFB99K5RKP","1641412037288","img/07.png","3","10","60"
"","4605","singlestim-multichoice-slider","10","142952","0.0-3.0-0.7","ANVAFB99K5RKP","1641412037288","img/14.png","2","10","76"
"","3709","singlestim-multichoice-slider","11","146664","0.0-3.0-0.8","ANVAFB99K5RKP","1641412037288","img/08.png","1","10","83"
"","7044","singlestim-multichoice-slider","12","153712","0.0-3.0-0.9","ANVAFB99K5RKP","1641412037288","img/06.png","3","10","36"
"","3709","singlestim-multichoice-slider","13","157424","0.0-3.0-0.10","ANVAFB99K5RKP","1641412037288","img/04.png","1","10","73"
"","5324","singlestim-multichoice-slider","14","162752","0.0-3.0-0.11","ANVAFB99K5RKP","1641412037288","img/16.png","1","10","90"
"","6325","singlestim-multichoice-slider","15","169080","0.0-3.0-0.12","ANVAFB99K5RKP","1641412037288","img/17.png","1","10","45"
"","5525","singlestim-multichoice-slider","16","174608","0.0-3.0-0.13","ANVAFB99K5RKP","1641412037288","img/09.png","2","10","43"
"","7612","singlestim-multichoice-slider","17","182225","0.0-3.0-0.14","ANVAFB99K5RKP","1641412037288","img/11.png","2","10","40"
"","5803","singlestim-multichoice-slider","18","188033","0.0-3.0-0.15","ANVAFB99K5RKP","1641412037288","img/15.png","2","10","57"
"","4629","singlestim-multichoice-slider","19","192665","0.0-3.0-0.16","ANVAFB99K5RKP","1641412037288","img/18.png","1","10","76"
"","5412","singlestim-multichoice-slider","20","198081","0.0-3.0-0.17","ANVAFB99K5RKP","1641412037288","img/12.png","2","10","39"
"[{""page_index"":0,""viewing_time"":123895}]","123896","instructions","21","321978","0.0-4.0","ANVAFB99K5RKP","1641412037288","","","",""
