"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7527}]","7528","instructions","0","7533","0.0-0.0","APVJEN2541WFB","1641415486157","","","",""
"[{""page_index"":0,""viewing_time"":7741},{""page_index"":1,""viewing_time"":14063}]","21804","instructions","1","29339","0.0-1.0","APVJEN2541WFB","1641415486157","","","",""
"[{""page_index"":0,""viewing_time"":150533}]","150534","instructions","2","179876","0.0-2.0","APVJEN2541WFB","1641415486157","","","",""
"","29555","singlestim-multichoice-slider","3","209467","0.0-3.0-0.0","APVJEN2541WFB","1641415486157","img/01.png","3","10","81"
"","20320","singlestim-multichoice-slider","4","229794","0.0-3.0-0.1","APVJEN2541WFB","1641415486157","img/13.png","3","10","28"
"","19175","singlestim-multichoice-slider","5","248975","0.0-3.0-0.2","APVJEN2541WFB","1641415486157","img/09.png","3","10","72"
"","10826","singlestim-multichoice-slider","6","259808","0.0-3.0-0.3","APVJEN2541WFB","1641415486157","img/07.png","1","10","85"
"","8723","singlestim-multichoice-slider","7","268538","0.0-3.0-0.4","APVJEN2541WFB","1641415486157","img/03.png","3","10","53"
"","19477","singlestim-multichoice-slider","8","288023","0.0-3.0-0.5","APVJEN2541WFB","1641415486157","img/06.png","3","10","33"
"","9081","singlestim-multichoice-slider","9","297113","0.0-3.0-0.6","APVJEN2541WFB","1641415486157","img/10.png","3","10","56"
"","41971","singlestim-multichoice-slider","10","339098","0.0-3.0-0.7","APVJEN2541WFB","1641415486157","img/05.png","2","10","24"
"","9513","singlestim-multichoice-slider","11","348649","0.0-3.0-0.8","APVJEN2541WFB","1641415486157","img/12.png","3","10","7"
"","13533","singlestim-multichoice-slider","12","362205","0.0-3.0-0.9","APVJEN2541WFB","1641415486157","img/16.png","3","10","38"
"","7809","singlestim-multichoice-slider","13","370024","0.0-3.0-0.10","APVJEN2541WFB","1641415486157","img/04.png","1","10","70"
"","7527","singlestim-multichoice-slider","14","377561","0.0-3.0-0.11","APVJEN2541WFB","1641415486157","img/02.png","3","10","71"
"","9924","singlestim-multichoice-slider","15","387495","0.0-3.0-0.12","APVJEN2541WFB","1641415486157","img/17.png","1","10","54"
"","9776","singlestim-multichoice-slider","16","397282","0.0-3.0-0.13","APVJEN2541WFB","1641415486157","img/18.png","3","10","23"
"","9900","singlestim-multichoice-slider","17","407193","0.0-3.0-0.14","APVJEN2541WFB","1641415486157","img/08.png","1","10","68"
"","7534","singlestim-multichoice-slider","18","414742","0.0-3.0-0.15","APVJEN2541WFB","1641415486157","img/15.png","3","10","61"
"","7568","singlestim-multichoice-slider","19","422324","0.0-3.0-0.16","APVJEN2541WFB","1641415486157","img/14.png","2","10","48"
"","14923","singlestim-multichoice-slider","20","437254","0.0-3.0-0.17","APVJEN2541WFB","1641415486157","img/11.png","1","10","48"
"[{""page_index"":0,""viewing_time"":7186}]","7187","instructions","21","444441","0.0-4.0","APVJEN2541WFB","1641415486157","","","",""
