"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4804}]","4805","instructions","0","4806","0.0-0.0","A12VDN3TJJCAQQ","1641413646499","","","",""
"[{""page_index"":0,""viewing_time"":1846},{""page_index"":1,""viewing_time"":2494}]","4340","instructions","1","9146","0.0-1.0","A12VDN3TJJCAQQ","1641413646499","","","",""
"[{""page_index"":0,""viewing_time"":4773}]","4773","instructions","2","13920","0.0-2.0","A12VDN3TJJCAQQ","1641413646499","","","",""
"","27109","singlestim-multichoice-slider","3","41031","0.0-3.0-0.0","A12VDN3TJJCAQQ","1641413646499","img/01.png","3","10","18"
"","29397","singlestim-multichoice-slider","4","70429","0.0-3.0-0.1","A12VDN3TJJCAQQ","1641413646499","img/06.png","3","10","10"
"","13016","singlestim-multichoice-slider","5","83446","0.0-3.0-0.2","A12VDN3TJJCAQQ","1641413646499","img/13.png","3","10","22"
"","6890","singlestim-multichoice-slider","6","90338","0.0-3.0-0.3","A12VDN3TJJCAQQ","1641413646499","img/18.png","1","10","35"
"","13358","singlestim-multichoice-slider","7","103698","0.0-3.0-0.4","A12VDN3TJJCAQQ","1641413646499","img/17.png","2","10","10"
"","6107","singlestim-multichoice-slider","8","109806","0.0-3.0-0.5","A12VDN3TJJCAQQ","1641413646499","img/05.png","1","10","16"
"","10248","singlestim-multichoice-slider","9","120056","0.0-3.0-0.6","A12VDN3TJJCAQQ","1641413646499","img/02.png","3","10","28"
"","22545","singlestim-multichoice-slider","10","142603","0.0-3.0-0.7","A12VDN3TJJCAQQ","1641413646499","img/12.png","1","10","10"
"","6434","singlestim-multichoice-slider","11","149039","0.0-3.0-0.8","A12VDN3TJJCAQQ","1641413646499","img/07.png","3","10","48"
"","8945","singlestim-multichoice-slider","12","157986","0.0-3.0-0.9","A12VDN3TJJCAQQ","1641413646499","img/16.png","1","10","46"
"","5604","singlestim-multichoice-slider","13","163591","0.0-3.0-0.10","A12VDN3TJJCAQQ","1641413646499","img/09.png","3","10","54"
"","11329","singlestim-multichoice-slider","14","174922","0.0-3.0-0.11","A12VDN3TJJCAQQ","1641413646499","img/03.png","3","10","10"
"","10232","singlestim-multichoice-slider","15","185156","0.0-3.0-0.12","A12VDN3TJJCAQQ","1641413646499","img/10.png","3","10","20"
"","9177","singlestim-multichoice-slider","16","194335","0.0-3.0-0.13","A12VDN3TJJCAQQ","1641413646499","img/08.png","1","10","67"
"","7842","singlestim-multichoice-slider","17","202179","0.0-3.0-0.14","A12VDN3TJJCAQQ","1641413646499","img/14.png","2","10","50"
"","13247","singlestim-multichoice-slider","18","215428","0.0-3.0-0.15","A12VDN3TJJCAQQ","1641413646499","img/11.png","1","10","25"
"","5603","singlestim-multichoice-slider","19","221033","0.0-3.0-0.16","A12VDN3TJJCAQQ","1641413646499","img/15.png","3","10","35"
"","7258","singlestim-multichoice-slider","20","228293","0.0-3.0-0.17","A12VDN3TJJCAQQ","1641413646499","img/04.png","1","10","62"
"[{""page_index"":0,""viewing_time"":3238}]","3238","instructions","21","231531","0.0-4.0","A12VDN3TJJCAQQ","1641413646499","","","",""
