"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":9544}]","9545","instructions","0","9546","0.0-0.0","A1ET0GNQV21YJJ","1641415668193","","","",""
"[{""page_index"":0,""viewing_time"":9997},{""page_index"":1,""viewing_time"":36001}]","45999","instructions","1","55546","0.0-1.0","A1ET0GNQV21YJJ","1641415668193","","","",""
"[{""page_index"":0,""viewing_time"":56629}]","56629","instructions","2","112175","0.0-2.0","A1ET0GNQV21YJJ","1641415668193","","","",""
"","24407","singlestim-multichoice-slider","3","136586","0.0-3.0-0.0","A1ET0GNQV21YJJ","1641415668193","img/14.png","2","10","91"
"","16185","singlestim-multichoice-slider","4","152775","0.0-3.0-0.1","A1ET0GNQV21YJJ","1641415668193","img/06.png","1","10","100"
"","15496","singlestim-multichoice-slider","5","168275","0.0-3.0-0.2","A1ET0GNQV21YJJ","1641415668193","img/17.png","2","10","100"
"","12626","singlestim-multichoice-slider","6","180905","0.0-3.0-0.3","A1ET0GNQV21YJJ","1641415668193","img/01.png","2","10","56"
"","139676","singlestim-multichoice-slider","7","320586","0.0-3.0-0.4","A1ET0GNQV21YJJ","1641415668193","img/04.png","2","10","99"
"","9866","singlestim-multichoice-slider","8","330455","0.0-3.0-0.5","A1ET0GNQV21YJJ","1641415668193","img/10.png","1","10","93"
"","18515","singlestim-multichoice-slider","9","348974","0.0-3.0-0.6","A1ET0GNQV21YJJ","1641415668193","img/11.png","2","10","68"
"","7199","singlestim-multichoice-slider","10","356176","0.0-3.0-0.7","A1ET0GNQV21YJJ","1641415668193","img/18.png","2","10","71"
"","6996","singlestim-multichoice-slider","11","363175","0.0-3.0-0.8","A1ET0GNQV21YJJ","1641415668193","img/05.png","1","10","94"
"","6539","singlestim-multichoice-slider","12","369715","0.0-3.0-0.9","A1ET0GNQV21YJJ","1641415668193","img/08.png","2","10","97"
"","28047","singlestim-multichoice-slider","13","397765","0.0-3.0-0.10","A1ET0GNQV21YJJ","1641415668193","img/16.png","3","10","68"
"","23746","singlestim-multichoice-slider","14","421515","0.0-3.0-0.11","A1ET0GNQV21YJJ","1641415668193","img/09.png","1","10","72"
"","30766","singlestim-multichoice-slider","15","452284","0.0-3.0-0.12","A1ET0GNQV21YJJ","1641415668193","img/12.png","1","10","45"
"","8838","singlestim-multichoice-slider","16","461125","0.0-3.0-0.13","A1ET0GNQV21YJJ","1641415668193","img/07.png","2","10","96"
"","6496","singlestim-multichoice-slider","17","467625","0.0-3.0-0.14","A1ET0GNQV21YJJ","1641415668193","img/15.png","1","10","90"
"","14516","singlestim-multichoice-slider","18","482145","0.0-3.0-0.15","A1ET0GNQV21YJJ","1641415668193","img/13.png","1","10","68"
"","25797","singlestim-multichoice-slider","19","507946","0.0-3.0-0.16","A1ET0GNQV21YJJ","1641415668193","img/02.png","2","10","92"
"","6787","singlestim-multichoice-slider","20","514736","0.0-3.0-0.17","A1ET0GNQV21YJJ","1641415668193","img/03.png","1","10","60"
"[{""page_index"":0,""viewing_time"":8409}]","8409","instructions","21","523145","0.0-4.0","A1ET0GNQV21YJJ","1641415668193","","","",""
