"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6227}]","6228","instructions","0","6230","0.0-0.0","A2R8IV2PWFTY00","1641411043666","","","",""
"[{""page_index"":0,""viewing_time"":11118},{""page_index"":1,""viewing_time"":4224}]","15342","instructions","1","21573","0.0-1.0","A2R8IV2PWFTY00","1641411043666","","","",""
"[{""page_index"":0,""viewing_time"":26271}]","26271","instructions","2","47845","0.0-2.0","A2R8IV2PWFTY00","1641411043666","","","",""
"","29724","singlestim-multichoice-slider","3","77574","0.0-3.0-0.0","A2R8IV2PWFTY00","1641411043666","img/08.png","1","10","98"
"","39660","singlestim-multichoice-slider","4","117237","0.0-3.0-0.1","A2R8IV2PWFTY00","1641411043666","img/06.png","1","10","43"
"","24405","singlestim-multichoice-slider","5","141644","0.0-3.0-0.2","A2R8IV2PWFTY00","1641411043666","img/12.png","3","10","74"
"","8005","singlestim-multichoice-slider","6","149652","0.0-3.0-0.3","A2R8IV2PWFTY00","1641411043666","img/01.png","2","10","89"
"","33357","singlestim-multichoice-slider","7","183012","0.0-3.0-0.4","A2R8IV2PWFTY00","1641411043666","img/05.png","3","10","42"
"","8373","singlestim-multichoice-slider","8","191388","0.0-3.0-0.5","A2R8IV2PWFTY00","1641411043666","img/18.png","1","10","87"
"","10333","singlestim-multichoice-slider","9","201724","0.0-3.0-0.6","A2R8IV2PWFTY00","1641411043666","img/13.png","3","10","64"
"","12645","singlestim-multichoice-slider","10","214371","0.0-3.0-0.7","A2R8IV2PWFTY00","1641411043666","img/03.png","3","10","83"
"","16925","singlestim-multichoice-slider","11","231299","0.0-3.0-0.8","A2R8IV2PWFTY00","1641411043666","img/10.png","3","10","69"
"","30117","singlestim-multichoice-slider","12","261420","0.0-3.0-0.9","A2R8IV2PWFTY00","1641411043666","img/11.png","3","10","20"
"","18157","singlestim-multichoice-slider","13","279580","0.0-3.0-0.10","A2R8IV2PWFTY00","1641411043666","img/14.png","2","10","74"
"","16916","singlestim-multichoice-slider","14","296499","0.0-3.0-0.11","A2R8IV2PWFTY00","1641411043666","img/16.png","1","10","81"
"","12596","singlestim-multichoice-slider","15","309099","0.0-3.0-0.12","A2R8IV2PWFTY00","1641411043666","img/09.png","3","10","83"
"","8556","singlestim-multichoice-slider","16","317659","0.0-3.0-0.13","A2R8IV2PWFTY00","1641411043666","img/02.png","3","10","69"
"","22851","singlestim-multichoice-slider","17","340515","0.0-3.0-0.14","A2R8IV2PWFTY00","1641411043666","img/07.png","1","10","35"
"","16867","singlestim-multichoice-slider","18","357387","0.0-3.0-0.15","A2R8IV2PWFTY00","1641411043666","img/15.png","3","10","40"
"","11037","singlestim-multichoice-slider","19","368427","0.0-3.0-0.16","A2R8IV2PWFTY00","1641411043666","img/17.png","1","10","57"
"","6901","singlestim-multichoice-slider","20","375331","0.0-3.0-0.17","A2R8IV2PWFTY00","1641411043666","img/04.png","1","10","70"
"[{""page_index"":0,""viewing_time"":5943}]","5944","instructions","21","381275","0.0-4.0","A2R8IV2PWFTY00","1641411043666","","","",""
