"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":9555}]","9556","instructions","0","9559","0.0-0.0","A2ZXAOOHUVU1YG","1641412042947","","","",""
"[{""page_index"":0,""viewing_time"":10013},{""page_index"":1,""viewing_time"":1512}]","11525","instructions","1","21084","0.0-1.0","A2ZXAOOHUVU1YG","1641412042947","","","",""
"[{""page_index"":0,""viewing_time"":89418}]","89419","instructions","2","110507","0.0-2.0","A2ZXAOOHUVU1YG","1641412042947","","","",""
"","6221","singlestim-multichoice-slider","3","116735","0.0-3.0-0.0","A2ZXAOOHUVU1YG","1641412042947","img/04.png","2","10","89"
"","9922","singlestim-multichoice-slider","4","126661","0.0-3.0-0.1","A2ZXAOOHUVU1YG","1641412042947","img/14.png","1","10","78"
"","22016","singlestim-multichoice-slider","5","148682","0.0-3.0-0.2","A2ZXAOOHUVU1YG","1641412042947","img/17.png","3","10","90"
"","14161","singlestim-multichoice-slider","6","162849","0.0-3.0-0.3","A2ZXAOOHUVU1YG","1641412042947","img/15.png","2","10","88"
"","6835","singlestim-multichoice-slider","7","169690","0.0-3.0-0.4","A2ZXAOOHUVU1YG","1641412042947","img/12.png","3","10","54"
"","9200","singlestim-multichoice-slider","8","178898","0.0-3.0-0.5","A2ZXAOOHUVU1YG","1641412042947","img/11.png","1","10","77"
"","112676","singlestim-multichoice-slider","9","291585","0.0-3.0-0.6","A2ZXAOOHUVU1YG","1641412042947","img/01.png","1","10","76"
"","7448","singlestim-multichoice-slider","10","299040","0.0-3.0-0.7","A2ZXAOOHUVU1YG","1641412042947","img/03.png","2","10","50"
"","23369","singlestim-multichoice-slider","11","322413","0.0-3.0-0.8","A2ZXAOOHUVU1YG","1641412042947","img/10.png","1","10","68"
"","9068","singlestim-multichoice-slider","12","331484","0.0-3.0-0.9","A2ZXAOOHUVU1YG","1641412042947","img/16.png","1","10","32"
"","4699","singlestim-multichoice-slider","13","336188","0.0-3.0-0.10","A2ZXAOOHUVU1YG","1641412042947","img/09.png","3","10","77"
"","5490","singlestim-multichoice-slider","14","341682","0.0-3.0-0.11","A2ZXAOOHUVU1YG","1641412042947","img/13.png","1","10","88"
"","19090","singlestim-multichoice-slider","15","360778","0.0-3.0-0.12","A2ZXAOOHUVU1YG","1641412042947","img/06.png","2","10","67"
"","50647","singlestim-multichoice-slider","16","411429","0.0-3.0-0.13","A2ZXAOOHUVU1YG","1641412042947","img/02.png","3","10","66"
"","6577","singlestim-multichoice-slider","17","418015","0.0-3.0-0.14","A2ZXAOOHUVU1YG","1641412042947","img/08.png","3","10","66"
"","5762","singlestim-multichoice-slider","18","423784","0.0-3.0-0.15","A2ZXAOOHUVU1YG","1641412042947","img/07.png","2","10","54"
"","4678","singlestim-multichoice-slider","19","428469","0.0-3.0-0.16","A2ZXAOOHUVU1YG","1641412042947","img/05.png","1","10","55"
"","5565","singlestim-multichoice-slider","20","434037","0.0-3.0-0.17","A2ZXAOOHUVU1YG","1641412042947","img/18.png","3","10","75"
"[{""page_index"":0,""viewing_time"":3647}]","3648","instructions","21","437685","0.0-4.0","A2ZXAOOHUVU1YG","1641412042947","","","",""
