"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4113}]","4113","instructions","0","4116","0.0-0.0","A31SXIXOSI9KF6","1641411160481","","","",""
"[{""page_index"":0,""viewing_time"":1475},{""page_index"":1,""viewing_time"":1272}]","2747","instructions","1","6865","0.0-1.0","A31SXIXOSI9KF6","1641411160481","","","",""
"[{""page_index"":0,""viewing_time"":1157}]","1158","instructions","2","8023","0.0-2.0","A31SXIXOSI9KF6","1641411160481","","","",""
"","3128","singlestim-multichoice-slider","3","11159","0.0-3.0-0.0","A31SXIXOSI9KF6","1641411160481","img/16.png","2","10","58"
"","2462","singlestim-multichoice-slider","4","13626","0.0-3.0-0.1","A31SXIXOSI9KF6","1641411160481","img/05.png","3","10","33"
"","3013","singlestim-multichoice-slider","5","16648","0.0-3.0-0.2","A31SXIXOSI9KF6","1641411160481","img/14.png","1","10","73"
"","3208","singlestim-multichoice-slider","6","19866","0.0-3.0-0.3","A31SXIXOSI9KF6","1641411160481","img/10.png","2","10","36"
"","2583","singlestim-multichoice-slider","7","22458","0.0-3.0-0.4","A31SXIXOSI9KF6","1641411160481","img/08.png","3","10","54"
"","2518","singlestim-multichoice-slider","8","24982","0.0-3.0-0.5","A31SXIXOSI9KF6","1641411160481","img/03.png","2","10","56"
"","2335","singlestim-multichoice-slider","9","27326","0.0-3.0-0.6","A31SXIXOSI9KF6","1641411160481","img/02.png","1","10","73"
"","4681","singlestim-multichoice-slider","10","32015","0.0-3.0-0.7","A31SXIXOSI9KF6","1641411160481","img/13.png","3","10","82"
"","2201","singlestim-multichoice-slider","11","34222","0.0-3.0-0.8","A31SXIXOSI9KF6","1641411160481","img/06.png","2","10","33"
"","4883","singlestim-multichoice-slider","12","39112","0.0-3.0-0.9","A31SXIXOSI9KF6","1641411160481","img/07.png","2","10","72"
"","2341","singlestim-multichoice-slider","13","41463","0.0-3.0-0.10","A31SXIXOSI9KF6","1641411160481","img/15.png","3","10","52"
"","2710","singlestim-multichoice-slider","14","44182","0.0-3.0-0.11","A31SXIXOSI9KF6","1641411160481","img/11.png","2","10","71"
"","2822","singlestim-multichoice-slider","15","47016","0.0-3.0-0.12","A31SXIXOSI9KF6","1641411160481","img/04.png","1","10","52"
"","3151","singlestim-multichoice-slider","16","50186","0.0-3.0-0.13","A31SXIXOSI9KF6","1641411160481","img/12.png","2","10","37"
"","3212","singlestim-multichoice-slider","17","53408","0.0-3.0-0.14","A31SXIXOSI9KF6","1641411160481","img/01.png","1","10","72"
"","3294","singlestim-multichoice-slider","18","56709","0.0-3.0-0.15","A31SXIXOSI9KF6","1641411160481","img/09.png","2","10","50"
"","2514","singlestim-multichoice-slider","19","59238","0.0-3.0-0.16","A31SXIXOSI9KF6","1641411160481","img/17.png","3","10","53"
"","1985","singlestim-multichoice-slider","20","61232","0.0-3.0-0.17","A31SXIXOSI9KF6","1641411160481","img/18.png","2","10","89"
"[{""page_index"":0,""viewing_time"":1604}]","1605","instructions","21","62837","0.0-4.0","A31SXIXOSI9KF6","1641411160481","","","",""
