"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1930}]","1930","instructions","0","1932","0.0-0.0","A351T7YA1YGHCE","1641411720257","","","",""
"[{""page_index"":0,""viewing_time"":2975},{""page_index"":1,""viewing_time"":1518}]","4494","instructions","1","6429","0.0-1.0","A351T7YA1YGHCE","1641411720257","","","",""
"[{""page_index"":0,""viewing_time"":1960}]","1960","instructions","2","8391","0.0-2.0","A351T7YA1YGHCE","1641411720257","","","",""
"","19273","singlestim-multichoice-slider","3","27696","0.0-3.0-0.0","A351T7YA1YGHCE","1641411720257","img/12.png","3","10","83"
"","8222","singlestim-multichoice-slider","4","35935","0.0-3.0-0.1","A351T7YA1YGHCE","1641411720257","img/17.png","1","10","67"
"","8455","singlestim-multichoice-slider","5","44400","0.0-3.0-0.2","A351T7YA1YGHCE","1641411720257","img/03.png","1","10","100"
"","14001","singlestim-multichoice-slider","6","58414","0.0-3.0-0.3","A351T7YA1YGHCE","1641411720257","img/14.png","3","10","100"
"","24232","singlestim-multichoice-slider","7","82661","0.0-3.0-0.4","A351T7YA1YGHCE","1641411720257","img/06.png","3","10","60"
"","4959","singlestim-multichoice-slider","8","87632","0.0-3.0-0.5","A351T7YA1YGHCE","1641411720257","img/18.png","1","10","43"
"","4811","singlestim-multichoice-slider","9","92455","0.0-3.0-0.6","A351T7YA1YGHCE","1641411720257","img/01.png","2","10","56"
"","4128","singlestim-multichoice-slider","10","96598","0.0-3.0-0.7","A351T7YA1YGHCE","1641411720257","img/16.png","1","10","0"
"","4026","singlestim-multichoice-slider","11","100635","0.0-3.0-0.8","A351T7YA1YGHCE","1641411720257","img/10.png","2","10","77"
"","4608","singlestim-multichoice-slider","12","105252","0.0-3.0-0.9","A351T7YA1YGHCE","1641411720257","img/13.png","3","10","78"
"","4685","singlestim-multichoice-slider","13","109949","0.0-3.0-0.10","A351T7YA1YGHCE","1641411720257","img/15.png","2","10","73"
"","4573","singlestim-multichoice-slider","14","114530","0.0-3.0-0.11","A351T7YA1YGHCE","1641411720257","img/02.png","3","10","60"
"","4431","singlestim-multichoice-slider","15","118972","0.0-3.0-0.12","A351T7YA1YGHCE","1641411720257","img/09.png","1","10","51"
"","5914","singlestim-multichoice-slider","16","124899","0.0-3.0-0.13","A351T7YA1YGHCE","1641411720257","img/05.png","1","10","39"
"","4783","singlestim-multichoice-slider","17","129704","0.0-3.0-0.14","A351T7YA1YGHCE","1641411720257","img/07.png","3","10","28"
"","4982","singlestim-multichoice-slider","18","134697","0.0-3.0-0.15","A351T7YA1YGHCE","1641411720257","img/08.png","1","10","47"
"","4158","singlestim-multichoice-slider","19","138864","0.0-3.0-0.16","A351T7YA1YGHCE","1641411720257","img/04.png","1","10","45"
"","4830","singlestim-multichoice-slider","20","143706","0.0-3.0-0.17","A351T7YA1YGHCE","1641411720257","img/11.png","3","10","49"
"[{""page_index"":0,""viewing_time"":4383}]","4383","instructions","21","148089","0.0-4.0","A351T7YA1YGHCE","1641411720257","","","",""
