"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7146}]","7147","instructions","0","7148","0.0-0.0","A39YIWM61A3P4R","1641411051879","","","",""
"[{""page_index"":0,""viewing_time"":18974},{""page_index"":1,""viewing_time"":3267}]","22241","instructions","1","29390","0.0-1.0","A39YIWM61A3P4R","1641411051879","","","",""
"[{""page_index"":0,""viewing_time"":5013}]","5014","instructions","2","34404","0.0-2.0","A39YIWM61A3P4R","1641411051879","","","",""
"","7525","singlestim-multichoice-slider","3","41935","0.0-3.0-0.0","A39YIWM61A3P4R","1641411051879","img/08.png","1","10","76"
"","5384","singlestim-multichoice-slider","4","47322","0.0-3.0-0.1","A39YIWM61A3P4R","1641411051879","img/18.png","1","10","91"
"","3797","singlestim-multichoice-slider","5","51123","0.0-3.0-0.2","A39YIWM61A3P4R","1641411051879","img/07.png","1","10","72"
"","4067","singlestim-multichoice-slider","6","55193","0.0-3.0-0.3","A39YIWM61A3P4R","1641411051879","img/13.png","2","10","100"
"","4387","singlestim-multichoice-slider","7","59583","0.0-3.0-0.4","A39YIWM61A3P4R","1641411051879","img/05.png","3","10","40"
"","5048","singlestim-multichoice-slider","8","64633","0.0-3.0-0.5","A39YIWM61A3P4R","1641411051879","img/11.png","1","10","27"
"","4407","singlestim-multichoice-slider","9","69043","0.0-3.0-0.6","A39YIWM61A3P4R","1641411051879","img/01.png","2","10","96"
"","3895","singlestim-multichoice-slider","10","72941","0.0-3.0-0.7","A39YIWM61A3P4R","1641411051879","img/09.png","2","10","100"
"","3780","singlestim-multichoice-slider","11","76725","0.0-3.0-0.8","A39YIWM61A3P4R","1641411051879","img/12.png","3","10","86"
"","4358","singlestim-multichoice-slider","12","81085","0.0-3.0-0.9","A39YIWM61A3P4R","1641411051879","img/03.png","1","10","67"
"","4627","singlestim-multichoice-slider","13","85715","0.0-3.0-0.10","A39YIWM61A3P4R","1641411051879","img/14.png","2","10","87"
"","4549","singlestim-multichoice-slider","14","90267","0.0-3.0-0.11","A39YIWM61A3P4R","1641411051879","img/15.png","1","10","68"
"","3609","singlestim-multichoice-slider","15","93883","0.0-3.0-0.12","A39YIWM61A3P4R","1641411051879","img/06.png","2","10","70"
"","4377","singlestim-multichoice-slider","16","98262","0.0-3.0-0.13","A39YIWM61A3P4R","1641411051879","img/04.png","1","10","82"
"","5688","singlestim-multichoice-slider","17","103954","0.0-3.0-0.14","A39YIWM61A3P4R","1641411051879","img/17.png","2","10","94"
"","3846","singlestim-multichoice-slider","18","107804","0.0-3.0-0.15","A39YIWM61A3P4R","1641411051879","img/02.png","2","10","100"
"","5480","singlestim-multichoice-slider","19","113288","0.0-3.0-0.16","A39YIWM61A3P4R","1641411051879","img/10.png","2","10","100"
"","3990","singlestim-multichoice-slider","20","117282","0.0-3.0-0.17","A39YIWM61A3P4R","1641411051879","img/16.png","1","10","100"
"[{""page_index"":0,""viewing_time"":4357}]","4357","instructions","21","121640","0.0-4.0","A39YIWM61A3P4R","1641411051879","","","",""
