"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2353}]","2353","instructions","0","2354","0.0-0.0","AU34T9OMHN4Z4","1641411616417","","","",""
"[{""page_index"":0,""viewing_time"":2427},{""page_index"":1,""viewing_time"":3780}]","6207","instructions","1","8562","0.0-1.0","AU34T9OMHN4Z4","1641411616417","","","",""
"[{""page_index"":0,""viewing_time"":22779}]","22780","instructions","2","31343","0.0-2.0","AU34T9OMHN4Z4","1641411616417","","","",""
"","22322","singlestim-multichoice-slider","3","53667","0.0-3.0-0.0","AU34T9OMHN4Z4","1641411616417","img/16.png","1","10","100"
"","12036","singlestim-multichoice-slider","4","65706","0.0-3.0-0.1","AU34T9OMHN4Z4","1641411616417","img/08.png","1","10","100"
"","10960","singlestim-multichoice-slider","5","76669","0.0-3.0-0.2","AU34T9OMHN4Z4","1641411616417","img/10.png","3","10","100"
"","15097","singlestim-multichoice-slider","6","91768","0.0-3.0-0.3","AU34T9OMHN4Z4","1641411616417","img/02.png","3","10","49"
"","19813","singlestim-multichoice-slider","7","111583","0.0-3.0-0.4","AU34T9OMHN4Z4","1641411616417","img/01.png","3","10","50"
"","50411","singlestim-multichoice-slider","8","161998","0.0-3.0-0.5","AU34T9OMHN4Z4","1641411616417","img/06.png","2","10","22"
"","14028","singlestim-multichoice-slider","9","176028","0.0-3.0-0.6","AU34T9OMHN4Z4","1641411616417","img/12.png","3","10","42"
"","19846","singlestim-multichoice-slider","10","195876","0.0-3.0-0.7","AU34T9OMHN4Z4","1641411616417","img/05.png","2","10","18"
"","8182","singlestim-multichoice-slider","11","204060","0.0-3.0-0.8","AU34T9OMHN4Z4","1641411616417","img/17.png","2","10","23"
"","11037","singlestim-multichoice-slider","12","215100","0.0-3.0-0.9","AU34T9OMHN4Z4","1641411616417","img/07.png","3","10","22"
"","51826","singlestim-multichoice-slider","13","266930","0.0-3.0-0.10","AU34T9OMHN4Z4","1641411616417","img/09.png","3","10","19"
"","10646","singlestim-multichoice-slider","14","277578","0.0-3.0-0.11","AU34T9OMHN4Z4","1641411616417","img/11.png","1","10","20"
"","4545","singlestim-multichoice-slider","15","282125","0.0-3.0-0.12","AU34T9OMHN4Z4","1641411616417","img/18.png","3","10","19"
"","15000","singlestim-multichoice-slider","16","297130","0.0-3.0-0.13","AU34T9OMHN4Z4","1641411616417","img/04.png","1","10","38"
"","11489","singlestim-multichoice-slider","17","308622","0.0-3.0-0.14","AU34T9OMHN4Z4","1641411616417","img/03.png","3","10","33"
"","8044","singlestim-multichoice-slider","18","316668","0.0-3.0-0.15","AU34T9OMHN4Z4","1641411616417","img/15.png","3","10","40"
"","12439","singlestim-multichoice-slider","19","329110","0.0-3.0-0.16","AU34T9OMHN4Z4","1641411616417","img/14.png","2","10","72"
"","11159","singlestim-multichoice-slider","20","340271","0.0-3.0-0.17","AU34T9OMHN4Z4","1641411616417","img/13.png","3","10","21"
"[{""page_index"":0,""viewing_time"":4565}]","4566","instructions","21","344837","0.0-4.0","AU34T9OMHN4Z4","1641411616417","","","",""
