"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":1766},{""page_index"":1,""viewing_time"":2160},{""page_index"":2,""viewing_time"":3177}]","7103","instructions","0","7104","0.0-0.0","A1F1BIPJR11LSR","1649939183726","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11817},{""page_index"":1,""viewing_time"":9154},{""page_index"":2,""viewing_time"":8285},{""page_index"":3,""viewing_time"":10197},{""page_index"":4,""viewing_time"":5142},{""page_index"":5,""viewing_time"":3499},{""page_index"":6,""viewing_time"":6039},{""page_index"":7,""viewing_time"":7012},{""page_index"":8,""viewing_time"":3079}]","64224","instructions","1","71328","0.0-1.0","A1F1BIPJR11LSR","1649939183726","","","","","","","","","","","","","","","","",""
"","33052","darkroom-dig","2","104382","0.0-2.0-0.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R1-X1-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","22318","darkroom-dig","3","126700","0.0-2.0-1.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y1"",""clickable-R0-X0-Y2"",""clickable-R1-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","21652","darkroom-dig","4","148352","0.0-2.0-2.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","20463","darkroom-dig","5","168816","0.0-2.0-3.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R0-X2-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","15642","darkroom-dig","6","184458","0.0-2.0-4.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","18870","darkroom-dig","7","203330","0.0-2.0-5.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","17933","darkroom-dig","8","221263","0.0-2.0-6.0","A1F1BIPJR11LSR","1649939183726","[""clickable-R1-X0-Y1"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","16864","darkroom-dig","9","238127","0.0-2.0-7.0","A1F1BIPJR11LSR","1649939183726","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":2459}]","2459","instructions","10","240587","0.0-3.0","A1F1BIPJR11LSR","1649939183726","","","","","","","","","","","","","","","","",""
