"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":6695},{""page_index"":1,""viewing_time"":3731},{""page_index"":2,""viewing_time"":3034}]","13460","instructions","0","13460","0.0-0.0","A1OQIXAU1SEJ4P","1649939297047","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12793},{""page_index"":1,""viewing_time"":14535},{""page_index"":2,""viewing_time"":10621},{""page_index"":3,""viewing_time"":11913},{""page_index"":4,""viewing_time"":8147},{""page_index"":5,""viewing_time"":8014},{""page_index"":6,""viewing_time"":8331},{""page_index"":7,""viewing_time"":11426},{""page_index"":8,""viewing_time"":2432}]","88212","instructions","1","101672","0.0-1.0","A1OQIXAU1SEJ4P","1649939297047","","","","","","","","","","","","","","","","",""
"","55839","darkroom-dig","2","157513","0.0-2.0-0.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","29469","darkroom-dig","3","186982","0.0-2.0-1.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","26999","darkroom-dig","4","213981","0.0-2.0-2.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","33279","darkroom-dig","5","247261","0.0-2.0-3.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","34867","darkroom-dig","6","282128","0.0-2.0-4.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","39023","darkroom-dig","7","321153","0.0-2.0-5.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","37788","darkroom-dig","8","358942","0.0-2.0-6.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","27831","darkroom-dig","9","386774","0.0-2.0-7.0","A1OQIXAU1SEJ4P","1649939297047","[""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
