"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":5274},{""page_index"":1,""viewing_time"":3444},{""page_index"":2,""viewing_time"":1007}]","9726","instructions","0","9727","0.0-0.0","A2BW6WD7LZ9EGV","1649939440816","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4522},{""page_index"":1,""viewing_time"":7841},{""page_index"":2,""viewing_time"":5320},{""page_index"":3,""viewing_time"":12299},{""page_index"":4,""viewing_time"":3329},{""page_index"":5,""viewing_time"":4348},{""page_index"":6,""viewing_time"":7704},{""page_index"":7,""viewing_time"":3531},{""page_index"":8,""viewing_time"":1586}]","50481","instructions","1","60208","0.0-1.0","A2BW6WD7LZ9EGV","1649939440816","","","","","","","","","","","","","","","","",""
"","40929","darkroom-dig","2","101139","0.0-2.0-0.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","24939","darkroom-dig","3","126079","0.0-2.0-1.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X1-Y0"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X1-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","43244","darkroom-dig","4","169324","0.0-2.0-2.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X0-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y1"",""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","25009","darkroom-dig","5","194333","0.0-2.0-3.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X2-Y2"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","20079","darkroom-dig","6","214413","0.0-2.0-4.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X0-Y1"",""clickable-R0-X2-Y1"",""clickable-R1-X0-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","23161","darkroom-dig","7","237574","0.0-2.0-5.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png""]","false","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","20673","darkroom-dig","8","258248","0.0-2.0-6.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map5.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","16623","darkroom-dig","9","274871","0.0-2.0-7.0","A2BW6WD7LZ9EGV","1649939440816","[""clickable-R0-X1-Y0"",""clickable-R0-X2-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
