"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":3892},{""page_index"":1,""viewing_time"":3578},{""page_index"":2,""viewing_time"":2204}]","9674","instructions","0","9675","0.0-0.0","A2NA2OJT15COZY","1649899217128","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10749},{""page_index"":1,""viewing_time"":12030},{""page_index"":2,""viewing_time"":15900},{""page_index"":3,""viewing_time"":9156},{""page_index"":4,""viewing_time"":8860},{""page_index"":5,""viewing_time"":7579},{""page_index"":6,""viewing_time"":11188},{""page_index"":7,""viewing_time"":34874},{""page_index"":8,""viewing_time"":3045}]","113382","instructions","1","123057","0.0-1.0","A2NA2OJT15COZY","1649899217128","","","","","","","","","","","","","","","","",""
"","35788","darkroom-dig","2","158845","0.0-2.0-0.0","A2NA2OJT15COZY","1649899217128","[""clickable-R0-X1-Y0"",""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","28631","darkroom-dig","3","187477","0.0-2.0-1.0","A2NA2OJT15COZY","1649899217128","[""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","41953","darkroom-dig","4","229431","0.0-2.0-2.0","A2NA2OJT15COZY","1649899217128","[""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X2-Y0"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","34803","darkroom-dig","5","264235","0.0-2.0-3.0","A2NA2OJT15COZY","1649899217128","[""clickable-R1-X2-Y1"",""clickable-R1-X1-Y2"",""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","21748","darkroom-dig","6","285983","0.0-2.0-4.0","A2NA2OJT15COZY","1649899217128","[""clickable-R1-X0-Y2"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y2"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","25906","darkroom-dig","7","311889","0.0-2.0-5.0","A2NA2OJT15COZY","1649899217128","[""clickable-R1-X2-Y1"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y1"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","21695","darkroom-dig","8","333585","0.0-2.0-6.0","A2NA2OJT15COZY","1649899217128","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","19233","darkroom-dig","9","352819","0.0-2.0-7.0","A2NA2OJT15COZY","1649899217128","[""clickable-R1-X1-Y0"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
