"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":204765},{""page_index"":1,""viewing_time"":4206},{""page_index"":2,""viewing_time"":2981}]","211952","instructions","0","211953","0.0-0.0","A320QA9HJFUOZO","1649427287000","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":21239},{""page_index"":1,""viewing_time"":4514},{""page_index"":2,""viewing_time"":5600},{""page_index"":3,""viewing_time"":8889},{""page_index"":4,""viewing_time"":3667},{""page_index"":5,""viewing_time"":2840},{""page_index"":6,""viewing_time"":20517},{""page_index"":7,""viewing_time"":3345},{""page_index"":8,""viewing_time"":1483},{""page_index"":7,""viewing_time"":6276},{""page_index"":6,""viewing_time"":2622},{""page_index"":7,""viewing_time"":819},{""page_index"":8,""viewing_time"":1155}]","82966","instructions","1","294921","0.0-1.0","A320QA9HJFUOZO","1649427287000","","","","","","","","","","","","","","","","",""
"","28826","darkroom-dig","2","323747","0.0-2.0-0.0","A320QA9HJFUOZO","1649427287000","[""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","31087","darkroom-dig","3","354835","0.0-2.0-1.0","A320QA9HJFUOZO","1649427287000","[""clickable-R1-X0-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","16677","darkroom-dig","4","371512","0.0-2.0-2.0","A320QA9HJFUOZO","1649427287000","[""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","19748","darkroom-dig","5","391260","0.0-2.0-3.0","A320QA9HJFUOZO","1649427287000","[""clickable-R1-X2-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","21786","darkroom-dig","6","413047","0.0-2.0-4.0","A320QA9HJFUOZO","1649427287000","[""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","18545","darkroom-dig","7","431593","0.0-2.0-5.0","A320QA9HJFUOZO","1649427287000","[""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","9235","darkroom-dig","8","440829","0.0-2.0-6.0","A320QA9HJFUOZO","1649427287000","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","6788","darkroom-dig","9","447618","0.0-2.0-7.0","A320QA9HJFUOZO","1649427287000","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
