"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":8250},{""page_index"":1,""viewing_time"":5876},{""page_index"":2,""viewing_time"":3000}]","17127","instructions","0","17127","0.0-0.0","A3E8SXH0BAYG85","1649897334446","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13279},{""page_index"":1,""viewing_time"":13476},{""page_index"":2,""viewing_time"":69294},{""page_index"":3,""viewing_time"":39572},{""page_index"":4,""viewing_time"":16014},{""page_index"":5,""viewing_time"":10132},{""page_index"":6,""viewing_time"":11586},{""page_index"":7,""viewing_time"":11452},{""page_index"":8,""viewing_time"":3414}]","188219","instructions","1","205346","0.0-1.0","A3E8SXH0BAYG85","1649897334446","","","","","","","","","","","","","","","","",""
"","52699","darkroom-dig","2","258047","0.0-2.0-0.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","24223","darkroom-dig","3","282271","0.0-2.0-1.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","32661","darkroom-dig","4","314933","0.0-2.0-2.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","25115","darkroom-dig","5","340049","0.0-2.0-3.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","27590","darkroom-dig","6","367640","0.0-2.0-4.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","29817","darkroom-dig","7","397458","0.0-2.0-5.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R0-X0-Y0"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","25013","darkroom-dig","8","422472","0.0-2.0-6.0","A3E8SXH0BAYG85","1649897334446","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","11701","darkroom-dig","9","434174","0.0-2.0-7.0","A3E8SXH0BAYG85","1649897334446","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
