"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sonaID","ExpEndTime","clicks","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir"
"[{""page_index"":0,""viewing_time"":2524},{""page_index"":1,""viewing_time"":17210},{""page_index"":2,""viewing_time"":4728}]","24462","instructions","0","24463","0.0-0.0","38009","1539196987034","","","","","","","","","","",""
"","43370","darkroom","1","67837","0.0-1.0-0.0","38009","1539196987034","[""clickable-R0-X1-Y2"",""clickable-R0-X5-Y5"",""clickable-R0-X2-Y5"",""clickable-R1-X3-Y3"",""clickable-R0-X4-Y2"",""clickable-R0-X7-Y0"",""clickable-R1-X1-Y5"",""clickable-R1-X4-Y6"",""clickable-R1-X6-Y2"",""clickable-R1-X3-Y1"",""clickable-R1-X1-Y2"",""clickable-R0-X2-Y0"",""clickable-R0-X0-Y7"",""clickable-R0-X0-Y7""]","true","[0,7]","[1,7]","8","8","1","200000","5000","1000","2"
"","41061","darkroom","2","108899","0.0-1.0-1.0","38009","1539196987034","[""clickable-R0-X0-Y0"",""clickable-R0-X7-Y7"",""clickable-R0-X7-Y0"",""clickable-R0-X0-Y7"",""clickable-R0-X4-Y3"",""clickable-R0-X2-Y5"",""clickable-R0-X6-Y1"",""clickable-R0-X1-Y2"",""clickable-R0-X6-Y4"",""clickable-R0-X4-Y6"",""clickable-R0-X3-Y1"",""clickable-R0-X1-Y4"",""clickable-R0-X3-Y4"",""clickable-R0-X2-Y1"",""clickable-R0-X5-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X4-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X3-Y7"",""clickable-R0-X1-Y7"",""clickable-R0-X0-Y5"",""clickable-R0-X0-Y3"",""clickable-R0-X0-Y2"",""clickable-R0-X7-Y3"",""clickable-R0-X7-Y5"",""clickable-R0-X6-Y6"",""clickable-R0-X5-Y5"",""clickable-R0-X4-Y4"",""clickable-R0-X4-Y4""]","true","[4,4]","[4,5]","8","8","1","200000","5000","1000","2"
"","17061","darkroom","3","125961","0.0-1.0-2.0","38009","1539196987034","[""clickable-R0-X1-Y2"",""clickable-R0-X5-Y5"",""clickable-R0-X7-Y7"",""clickable-R0-X0-Y0"",""clickable-R0-X7-Y0"",""clickable-R0-X0-Y7"",""clickable-R0-X2-Y4"",""clickable-R0-X2-Y6"",""clickable-R0-X2-Y7"",""clickable-R0-X4-Y7"",""clickable-R0-X4-Y4"",""clickable-R0-X3-Y3"",""clickable-R0-X3-Y1"",""clickable-R0-X4-Y1"",""clickable-R0-X5-Y3"",""clickable-R0-X6-Y4"",""clickable-R0-X7-Y4"",""clickable-R0-X6-Y6"",""clickable-R0-X0-Y4"",""clickable-R0-X0-Y5"",""clickable-R0-X0-Y5""]","false","[0,5]","[4,5]","8","8","1","200000","5000","1000","2"
"[{""page_index"":0,""viewing_time"":6961},{""page_index"":1,""viewing_time"":17241},{""page_index"":2,""viewing_time"":11127},{""page_index"":3,""viewing_time"":7723},{""page_index"":4,""viewing_time"":7085},{""page_index"":5,""viewing_time"":2847}]","52984","instructions","4","178945","0.0-2.0","38009","1539196987034","","","","","","","","","","",""
"","29687","darkroom","5","208633","0.0-3.0-0.0","38009","1539196987034","[""clickable-R1-X3-Y4"",""clickable-R1-X7-Y7"",""clickable-R1-X4-Y6"",""clickable-R1-X3-Y7"",""clickable-R1-X0-Y7"",""clickable-R1-X0-Y4"",""clickable-R1-X0-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X5-Y2"",""clickable-R1-X7-Y5"",""clickable-R1-X4-Y4"",""clickable-R1-X5-Y5"",""clickable-R1-X6-Y0"",""clickable-R1-X7-Y0"",""clickable-R1-X4-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X2-Y1"",""clickable-R1-X2-Y5"",""clickable-R1-X1-Y6"",""clickable-R1-X1-Y5"",""clickable-R1-X2-Y3"",""clickable-R1-X4-Y3"",""clickable-R1-X6-Y4"",""clickable-R1-X7-Y3"",""clickable-R1-X6-Y2"",""clickable-R1-X6-Y1"",""clickable-R1-X3-Y2"",""clickable-R1-X4-Y1"",""clickable-R1-X3-Y1"",""clickable-R1-X3-Y0"",""clickable-R1-X5-Y0"",""clickable-R1-X5-Y1"",""clickable-R1-X5-Y4"",""clickable-R1-X6-Y7"",""clickable-R1-X5-Y7"",""clickable-R1-X4-Y7"",""clickable-R1-X2-Y7"",""clickable-R1-X1-Y7"",""clickable-R1-X0-Y6"",""clickable-R1-X0-Y5"",""clickable-R1-X2-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X4-Y2"",""clickable-R1-X5-Y3"",""clickable-R1-X3-Y6"",""clickable-R1-X3-Y5"",""clickable-R1-X4-Y5"",""clickable-R0-X4-Y6"",""clickable-R0-X4-Y6""]","true","[4,6]","[4,5]","8","8","1","200000","5000","1000","2"
"","30784","darkroom","6","239419","0.0-3.0-1.0","38009","1539196987034","[""clickable-R1-X2-Y4"",""clickable-R1-X5-Y2"",""clickable-R1-X5-Y6"",""clickable-R1-X6-Y4"",""clickable-R1-X6-Y2"",""clickable-R1-X7-Y0"",""clickable-R1-X3-Y2"",""clickable-R1-X2-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X0-Y7"",""clickable-R1-X0-Y5"",""clickable-R1-X0-Y3"",""clickable-R1-X0-Y2"",""clickable-R1-X4-Y0"",""clickable-R1-X5-Y0"",""clickable-R1-X4-Y2"",""clickable-R1-X4-Y3"",""clickable-R1-X4-Y5"",""clickable-R1-X4-Y7"",""clickable-R1-X2-Y7"",""clickable-R1-X2-Y5"",""clickable-R1-X2-Y2"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X1-Y2"",""clickable-R1-X1-Y4"",""clickable-R1-X1-Y6"",""clickable-R1-X1-Y7"",""clickable-R1-X7-Y7"",""clickable-R1-X7-Y5"",""clickable-R1-X7-Y3"",""clickable-R1-X7-Y1"",""clickable-R1-X5-Y1"",""clickable-R1-X4-Y1"",""clickable-R1-X3-Y6"",""clickable-R1-X5-Y4"",""clickable-R1-X3-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X2-Y3"",""clickable-R1-X1-Y3"",""clickable-R0-X2-Y3"",""clickable-R0-X2-Y4"",""clickable-R0-X1-Y3"",""clickable-R0-X1-Y3""]","true","[1,3]","[1,3]","8","8","1","200000","5000","1000","2"
"","35244","darkroom","7","274664","0.0-3.0-2.0","38009","1539196987034","[""clickable-R1-X4-Y3"",""clickable-R1-X4-Y5"",""clickable-R1-X6-Y6"",""clickable-R1-X7-Y7"",""clickable-R1-X1-Y7"",""clickable-R1-X1-Y3"",""clickable-R1-X1-Y5"",""clickable-R1-X4-Y0"",""clickable-R1-X6-Y1"",""clickable-R1-X7-Y4"",""clickable-R1-X1-Y2"",""clickable-R1-X2-Y1"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y4"",""clickable-R1-X0-Y4"",""clickable-R1-X0-Y3"",""clickable-R1-X2-Y3"",""clickable-R1-X3-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X6-Y5"",""clickable-R1-X6-Y3"",""clickable-R1-X4-Y2"",""clickable-R1-X3-Y1"",""clickable-R1-X3-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X3-Y6"",""clickable-R1-X3-Y5"",""clickable-R1-X2-Y5"",""clickable-R1-X2-Y4"",""clickable-R1-X5-Y4"",""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X3-Y2"",""clickable-R1-X5-Y6"",""clickable-R1-X4-Y7"",""clickable-R1-X2-Y7"",""clickable-R1-X5-Y7"",""clickable-R1-X6-Y7"",""clickable-R1-X0-Y7"",""clickable-R1-X0-Y6"",""clickable-R0-X1-Y6"",""clickable-R0-X0-Y5"",""clickable-R0-X0-Y7"",""clickable-R0-X0-Y6"",""clickable-R0-X0-Y6""]","true","[0,6]","[0,6]","8","8","1","200000","5000","1000","2"
"","55875","darkroom","8","330541","0.0-3.0-3.0","38009","1539196987034","[""clickable-R1-X4-Y3"",""clickable-R1-X4-Y5"",""clickable-R1-X4-Y7"",""clickable-R1-X2-Y7"",""clickable-R1-X2-Y5"",""clickable-R1-X2-Y3"",""clickable-R1-X2-Y1"",""clickable-R1-X4-Y1"",""clickable-R1-X0-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X4-Y0"",""clickable-R1-X6-Y0"",""clickable-R1-X7-Y2"",""clickable-R1-X7-Y4"",""clickable-R1-X7-Y6"",""clickable-R1-X0-Y2"",""clickable-R1-X0-Y3"",""clickable-R1-X0-Y5"",""clickable-R1-X0-Y7"",""clickable-R1-X1-Y1"",""clickable-R1-X1-Y3"",""clickable-R1-X1-Y5"",""clickable-R1-X1-Y7"",""clickable-R1-X5-Y5"",""clickable-R1-X5-Y4"",""clickable-R1-X5-Y3"",""clickable-R1-X5-Y2"",""clickable-R1-X5-Y0"",""clickable-R1-X6-Y5"",""clickable-R1-X6-Y6"",""clickable-R1-X6-Y7"",""clickable-R1-X5-Y6"",""clickable-R1-X6-Y3"",""clickable-R1-X6-Y1"",""clickable-R1-X7-Y0"",""clickable-R1-X1-Y4"",""clickable-R1-X3-Y4"",""clickable-R1-X3-Y6"",""clickable-R1-X0-Y6"",""clickable-R1-X1-Y6"",""clickable-R1-X5-Y7"",""clickable-R1-X7-Y7"",""clickable-R1-X7-Y5"",""clickable-R1-X7-Y3"",""clickable-R1-X6-Y2"",""clickable-R1-X3-Y2"",""clickable-R1-X3-Y1"",""clickable-R1-X3-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X2-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X4-Y2"",""clickable-R1-X4-Y4"",""clickable-R1-X3-Y5"",""clickable-R0-X0-Y2"",""clickable-R0-X0-Y2""]","true","[0,2]","[0,2]","8","8","1","200000","5000","1000","2"
"","57857","darkroom","9","388403","0.0-3.0-4.0","38009","1539196987034","[""clickable-R1-X0-Y0"",""clickable-R1-X7-Y7"",""clickable-R1-X7-Y0"",""clickable-R1-X0-Y7"",""clickable-R1-X0-Y4"",""clickable-R1-X0-Y3"",""clickable-R1-X7-Y3"",""clickable-R1-X7-Y4"",""clickable-R1-X6-Y3"",""clickable-R1-X5-Y3"",""clickable-R1-X4-Y3"",""clickable-R1-X2-Y3"",""clickable-R1-X1-Y3"",""clickable-R1-X1-Y4"",""clickable-R1-X2-Y4"",""clickable-R1-X3-Y4"",""clickable-R1-X4-Y4"",""clickable-R1-X5-Y4"",""clickable-R1-X6-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X0-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X3-Y3"",""clickable-R0-X3-Y2"",""clickable-R0-X3-Y1"",""clickable-R0-X2-Y3"",""clickable-R0-X1-Y3"",""clickable-R0-X0-Y3"",""clickable-R0-X0-Y0"",""clickable-R0-X4-Y0"",""clickable-R0-X3-Y0"",""clickable-R0-X4-Y1"",""clickable-R0-X4-Y2"",""clickable-R0-X4-Y3"",""clickable-R0-X3-Y4"",""clickable-R0-X1-Y4"",""clickable-R0-X2-Y4"",""clickable-R0-X0-Y4"",""clickable-R0-X4-Y4"",""clickable-R0-X5-Y3"",""clickable-R0-X7-Y7"",""clickable-R0-X5-Y6"",""clickable-R0-X5-Y7"",""clickable-R0-X6-Y7"",""clickable-R0-X2-Y7"",""clickable-R0-X1-Y7"",""clickable-R0-X1-Y6"",""clickable-R0-X0-Y6"",""clickable-R0-X6-Y1"",""clickable-R0-X7-Y1""]","false","[6,6]","[1,1]","8","8","1","200000","5000","1000","2"
