"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":7794},{""page_index"":1,""viewing_time"":7936},{""page_index"":2,""viewing_time"":3104}]","18834","instructions","0","18834","0.0-0.0","A13VIJ7G997ZCY","1650917316203","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":14096},{""page_index"":1,""viewing_time"":13841},{""page_index"":2,""viewing_time"":12936},{""page_index"":3,""viewing_time"":24265},{""page_index"":4,""viewing_time"":11023},{""page_index"":5,""viewing_time"":10232},{""page_index"":6,""viewing_time"":14504},{""page_index"":7,""viewing_time"":6448},{""page_index"":8,""viewing_time"":3832}]","111177","instructions","1","130011","0.0-1.0","A13VIJ7G997ZCY","1650917316203","","","","","","","","","","","","","","","","",""
"","41263","darkroom-dig","2","171276","0.0-2.0-0.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R0-X2-Y0"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y0"",""clickable-R1-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","21903","darkroom-dig","3","193179","0.0-2.0-1.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y0"",""clickable-R0-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","21599","darkroom-dig","4","214779","0.0-2.0-2.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R0-X1-Y1"",""clickable-R0-X2-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","29831","darkroom-dig","5","244611","0.0-2.0-3.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R0-X1-Y1"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y1"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","26039","darkroom-dig","6","270651","0.0-2.0-4.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","27487","darkroom-dig","7","298139","0.0-2.0-5.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X2-Y0"",""clickable-R1-X1-Y1"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","14360","darkroom-dig","8","312499","0.0-2.0-6.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","16607","darkroom-dig","9","329107","0.0-2.0-7.0","A13VIJ7G997ZCY","1650917316203","[""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
