"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":59192},{""page_index"":1,""viewing_time"":2448},{""page_index"":2,""viewing_time"":14799}]","76439","instructions","0","76439","0.0-0.0","A18G2CLYSTENK","1650919324623","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5639},{""page_index"":1,""viewing_time"":9961},{""page_index"":2,""viewing_time"":13311},{""page_index"":3,""viewing_time"":34149},{""page_index"":4,""viewing_time"":5662},{""page_index"":5,""viewing_time"":7296},{""page_index"":6,""viewing_time"":5327},{""page_index"":7,""viewing_time"":16003},{""page_index"":8,""viewing_time"":129848}]","227196","instructions","1","303636","0.0-1.0","A18G2CLYSTENK","1650919324623","","","","","","","","","","","","","","","","",""
"","16370","darkroom-dig","2","320006","0.0-2.0-0.0","A18G2CLYSTENK","1650919324623","[""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","23699","darkroom-dig","3","343706","0.0-2.0-1.0","A18G2CLYSTENK","1650919324623","[""clickable-R1-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","33644","darkroom-dig","4","377350","0.0-2.0-2.0","A18G2CLYSTENK","1650919324623","[""clickable-R1-X1-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X2-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","9688","darkroom-dig","5","387038","0.0-2.0-3.0","A18G2CLYSTENK","1650919324623","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","11699","darkroom-dig","6","398737","0.0-2.0-4.0","A18G2CLYSTENK","1650919324623","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","8638","darkroom-dig","7","407376","0.0-2.0-5.0","A18G2CLYSTENK","1650919324623","[""clickable-R1-X0-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","11165","darkroom-dig","8","418541","0.0-2.0-6.0","A18G2CLYSTENK","1650919324623","[""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","5011","darkroom-dig","9","423554","0.0-2.0-7.0","A18G2CLYSTENK","1650919324623","[""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":4071}]","4071","instructions","10","427625","0.0-3.0","A18G2CLYSTENK","1650919324623","","","","","","","","","","","","","","","","",""
