"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":1299},{""page_index"":1,""viewing_time"":1420},{""page_index"":2,""viewing_time"":868}]","3588","instructions","0","3588","0.0-0.0","A1NZFJHVJ9CNTO","1649902814337","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1095},{""page_index"":1,""viewing_time"":607},{""page_index"":2,""viewing_time"":4130},{""page_index"":3,""viewing_time"":3033},{""page_index"":4,""viewing_time"":511},{""page_index"":5,""viewing_time"":1143},{""page_index"":6,""viewing_time"":1359},{""page_index"":7,""viewing_time"":2690},{""page_index"":8,""viewing_time"":1008}]","15577","instructions","1","19165","0.0-1.0","A1NZFJHVJ9CNTO","1649902814337","","","","","","","","","","","","","","","","",""
"","4088","darkroom-dig","2","23255","0.0-2.0-0.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","6601","darkroom-dig","3","29857","0.0-2.0-1.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","24042","darkroom-dig","4","53900","0.0-2.0-2.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","8519","darkroom-dig","5","62420","0.0-2.0-3.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","8207","darkroom-dig","6","70628","0.0-2.0-4.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","29776","darkroom-dig","7","100404","0.0-2.0-5.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","12093","darkroom-dig","8","112499","0.0-2.0-6.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","6581","darkroom-dig","9","119081","0.0-2.0-7.0","A1NZFJHVJ9CNTO","1649902814337","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
