"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":10156},{""page_index"":1,""viewing_time"":1752},{""page_index"":2,""viewing_time"":1544}]","13452","instructions","0","13452","0.0-0.0","A1V2H0UF94ATWY","1650921094659","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1224},{""page_index"":1,""viewing_time"":1057},{""page_index"":2,""viewing_time"":1207},{""page_index"":3,""viewing_time"":4240},{""page_index"":4,""viewing_time"":2552},{""page_index"":5,""viewing_time"":1848},{""page_index"":6,""viewing_time"":4128},{""page_index"":7,""viewing_time"":5120},{""page_index"":8,""viewing_time"":1360}]","22736","instructions","1","36188","0.0-1.0","A1V2H0UF94ATWY","1650921094659","","","","","","","","","","","","","","","","",""
"","17103","darkroom-dig","2","53293","0.0-2.0-0.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","20567","darkroom-dig","3","73860","0.0-2.0-1.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","15543","darkroom-dig","4","89405","0.0-2.0-2.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","15943","darkroom-dig","5","105348","0.0-2.0-3.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","14191","darkroom-dig","6","119540","0.0-2.0-4.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","9040","darkroom-dig","7","128581","0.0-2.0-5.0","A1V2H0UF94ATWY","1650921094659","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","15151","darkroom-dig","8","143733","0.0-2.0-6.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","20824","darkroom-dig","9","164557","0.0-2.0-7.0","A1V2H0UF94ATWY","1650921094659","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":7655}]","7656","instructions","10","172213","0.0-3.0","A1V2H0UF94ATWY","1650921094659","","","","","","","","","","","","","","","","",""
