"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":120975},{""page_index"":1,""viewing_time"":3063},{""page_index"":2,""viewing_time"":3560}]","127599","instructions","0","127599","0.0-0.0","A24LUXW1DB1QI5","1650917983047","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":28920},{""page_index"":1,""viewing_time"":17206},{""page_index"":2,""viewing_time"":25136},{""page_index"":3,""viewing_time"":22872},{""page_index"":4,""viewing_time"":12712},{""page_index"":5,""viewing_time"":15559},{""page_index"":6,""viewing_time"":17521},{""page_index"":7,""viewing_time"":17063},{""page_index"":8,""viewing_time"":2048}]","159038","instructions","1","286638","0.0-1.0","A24LUXW1DB1QI5","1650917983047","","","","","","","","","","","","","","","","",""
"","34191","darkroom-dig","2","320831","0.0-2.0-0.0","A24LUXW1DB1QI5","1650917983047","[""clickable-R0-X2-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","18191","darkroom-dig","3","339022","0.0-2.0-1.0","A24LUXW1DB1QI5","1650917983047","[""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","16703","darkroom-dig","4","355726","0.0-2.0-2.0","A24LUXW1DB1QI5","1650917983047","[""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","19487","darkroom-dig","5","375214","0.0-2.0-3.0","A24LUXW1DB1QI5","1650917983047","[""clickable-R0-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","17671","darkroom-dig","6","392886","0.0-2.0-4.0","A24LUXW1DB1QI5","1650917983047","[""clickable-R0-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","19551","darkroom-dig","7","412438","0.0-2.0-5.0","A24LUXW1DB1QI5","1650917983047","[""clickable-R0-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","7479","darkroom-dig","8","419918","0.0-2.0-6.0","A24LUXW1DB1QI5","1650917983047","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","7511","darkroom-dig","9","427430","0.0-2.0-7.0","A24LUXW1DB1QI5","1650917983047","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":2183}]","2184","instructions","10","429614","0.0-3.0","A24LUXW1DB1QI5","1650917983047","","","","","","","","","","","","","","","","",""
