"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":2648},{""page_index"":1,""viewing_time"":3191},{""page_index"":2,""viewing_time"":3928}]","9768","instructions","0","9768","0.0-0.0","A2R8IV2PWFTY00","1650917933663","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15574},{""page_index"":1,""viewing_time"":15176},{""page_index"":2,""viewing_time"":23688},{""page_index"":3,""viewing_time"":20760},{""page_index"":4,""viewing_time"":10304},{""page_index"":5,""viewing_time"":8912},{""page_index"":6,""viewing_time"":9304},{""page_index"":7,""viewing_time"":15000},{""page_index"":8,""viewing_time"":3704}]","122422","instructions","1","132191","0.0-1.0","A2R8IV2PWFTY00","1650917933663","","","","","","","","","","","","","","","","",""
"","28399","darkroom-dig","2","160592","0.0-2.0-0.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R1-X2-Y0"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","17078","darkroom-dig","3","177671","0.0-2.0-1.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R0-X2-Y2"",""clickable-R0-X1-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","18287","darkroom-dig","4","195959","0.0-2.0-2.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","14175","darkroom-dig","5","210135","0.0-2.0-3.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R1-X2-Y0"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","11543","darkroom-dig","6","221679","0.0-2.0-4.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R0-X1-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","14111","darkroom-dig","7","235791","0.0-2.0-5.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R1-X2-Y2"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","18727","darkroom-dig","8","254519","0.0-2.0-6.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R1-X1-Y1"",""clickable-R1-X2-Y0"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","12511","darkroom-dig","9","267031","0.0-2.0-7.0","A2R8IV2PWFTY00","1650917933663","[""clickable-R1-X1-Y2"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":5805}]","5806","instructions","10","272838","0.0-3.0","A2R8IV2PWFTY00","1650917933663","","","","","","","","","","","","","","","","",""
