"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":3303},{""page_index"":1,""viewing_time"":6575},{""page_index"":2,""viewing_time"":2104}]","11983","instructions","0","11983","0.0-0.0","A31XT6RPLN6359","1650918110855","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":30648},{""page_index"":1,""viewing_time"":17760},{""page_index"":2,""viewing_time"":20680},{""page_index"":3,""viewing_time"":24152},{""page_index"":4,""viewing_time"":13792},{""page_index"":5,""viewing_time"":8936},{""page_index"":6,""viewing_time"":5671},{""page_index"":7,""viewing_time"":11609},{""page_index"":8,""viewing_time"":3920}]","137168","instructions","1","149151","0.0-1.0","A31XT6RPLN6359","1650918110855","","","","","","","","","","","","","","","","",""
"","48614","darkroom-dig","2","197768","0.0-2.0-0.0","A31XT6RPLN6359","1650918110855","[""clickable-R0-X2-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","30222","darkroom-dig","3","227991","0.0-2.0-1.0","A31XT6RPLN6359","1650918110855","[""clickable-R0-X1-Y0"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R1-X2-Y0"",""clickable-R0-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","34447","darkroom-dig","4","262439","0.0-2.0-2.0","A31XT6RPLN6359","1650918110855","[""clickable-R0-X1-Y1"",""clickable-R0-X0-Y0"",""clickable-R0-X2-Y2"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","20144","darkroom-dig","5","282583","0.0-2.0-3.0","A31XT6RPLN6359","1650918110855","[""clickable-R1-X2-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","12455","darkroom-dig","6","295039","0.0-2.0-4.0","A31XT6RPLN6359","1650918110855","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","21400","darkroom-dig","7","316440","0.0-2.0-5.0","A31XT6RPLN6359","1650918110855","[""clickable-R1-X1-Y0"",""clickable-R1-X0-Y2"",""clickable-R1-X2-Y1"",""clickable-R1-X0-Y0"",""clickable-R0-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","24238","darkroom-dig","8","340679","0.0-2.0-6.0","A31XT6RPLN6359","1650918110855","[""clickable-R0-X1-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","8200","darkroom-dig","9","348880","0.0-2.0-7.0","A31XT6RPLN6359","1650918110855","[""clickable-R1-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
