"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":5943},{""page_index"":1,""viewing_time"":5754},{""page_index"":2,""viewing_time"":2576}]","14274","instructions","0","14275","0.0-0.0","A341XKSRZ58FJK","1650928231237","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11422},{""page_index"":1,""viewing_time"":14904},{""page_index"":2,""viewing_time"":11447},{""page_index"":3,""viewing_time"":13945},{""page_index"":4,""viewing_time"":11862},{""page_index"":5,""viewing_time"":10766},{""page_index"":6,""viewing_time"":9252},{""page_index"":7,""viewing_time"":11844},{""page_index"":6,""viewing_time"":1099},{""page_index"":5,""viewing_time"":1040},{""page_index"":4,""viewing_time"":1310},{""page_index"":3,""viewing_time"":1632},{""page_index"":2,""viewing_time"":3076},{""page_index"":1,""viewing_time"":2960},{""page_index"":2,""viewing_time"":1194},{""page_index"":3,""viewing_time"":3546},{""page_index"":4,""viewing_time"":1280},{""page_index"":5,""viewing_time"":1578},{""page_index"":6,""viewing_time"":2708},{""page_index"":7,""viewing_time"":1788},{""page_index"":8,""viewing_time"":2414}]","121068","instructions","1","135343","0.0-1.0","A341XKSRZ58FJK","1650928231237","","","","","","","","","","","","","","","","",""
"","27748","darkroom-dig","2","163093","0.0-2.0-0.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","27078","darkroom-dig","3","190171","0.0-2.0-1.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","58000","darkroom-dig","4","248173","0.0-2.0-2.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","16451","darkroom-dig","5","264625","0.0-2.0-3.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","14419","darkroom-dig","6","279044","0.0-2.0-4.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","15006","darkroom-dig","7","294052","0.0-2.0-5.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","10493","darkroom-dig","8","304546","0.0-2.0-6.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","22977","darkroom-dig","9","327524","0.0-2.0-7.0","A341XKSRZ58FJK","1650928231237","[""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":5376}]","5377","instructions","10","332902","0.0-3.0","A341XKSRZ58FJK","1650928231237","","","","","","","","","","","","","","","","",""
