"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":5553},{""page_index"":1,""viewing_time"":4030},{""page_index"":2,""viewing_time"":2604}]","12188","instructions","0","12189","0.0-0.0","A37S96RT1P1IT2","1650917609641","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8687},{""page_index"":1,""viewing_time"":6796},{""page_index"":2,""viewing_time"":15304},{""page_index"":3,""viewing_time"":8758},{""page_index"":4,""viewing_time"":11504},{""page_index"":5,""viewing_time"":3174},{""page_index"":6,""viewing_time"":8161},{""page_index"":7,""viewing_time"":7166},{""page_index"":8,""viewing_time"":2977}]","72527","instructions","1","84716","0.0-1.0","A37S96RT1P1IT2","1650917609641","","","","","","","","","","","","","","","","",""
"","21247","darkroom-dig","2","105963","0.0-2.0-0.0","A37S96RT1P1IT2","1650917609641","[""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","15006","darkroom-dig","3","120969","0.0-2.0-1.0","A37S96RT1P1IT2","1650917609641","[""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","23067","darkroom-dig","4","144036","0.0-2.0-2.0","A37S96RT1P1IT2","1650917609641","[""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","11642","darkroom-dig","5","155678","0.0-2.0-3.0","A37S96RT1P1IT2","1650917609641","[""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","10841","darkroom-dig","6","166519","0.0-2.0-4.0","A37S96RT1P1IT2","1650917609641","[""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","7255","darkroom-dig","7","173774","0.0-2.0-5.0","A37S96RT1P1IT2","1650917609641","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","8095","darkroom-dig","8","181870","0.0-2.0-6.0","A37S96RT1P1IT2","1650917609641","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","7754","darkroom-dig","9","189624","0.0-2.0-7.0","A37S96RT1P1IT2","1650917609641","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":4372}]","4372","instructions","10","193996","0.0-3.0","A37S96RT1P1IT2","1650917609641","","","","","","","","","","","","","","","","",""
