"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":247621},{""page_index"":1,""viewing_time"":13799},{""page_index"":2,""viewing_time"":1976}]","263397","instructions","0","263398","0.0-0.0","A3EG4C9T4F5DUR","1650927593287","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":35334},{""page_index"":1,""viewing_time"":19920},{""page_index"":2,""viewing_time"":10207},{""page_index"":3,""viewing_time"":9352},{""page_index"":4,""viewing_time"":3504},{""page_index"":5,""viewing_time"":5984},{""page_index"":6,""viewing_time"":6122},{""page_index"":7,""viewing_time"":12719},{""page_index"":6,""viewing_time"":3503},{""page_index"":7,""viewing_time"":8424},{""page_index"":8,""viewing_time"":2200}]","117270","instructions","1","380668","0.0-1.0","A3EG4C9T4F5DUR","1650927593287","","","","","","","","","","","","","","","","",""
"","45933","darkroom-dig","2","426603","0.0-2.0-0.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R0-X0-Y2"",""clickable-R0-X0-Y1"",""clickable-R0-X1-Y1"",""clickable-R0-X1-Y2"",""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","25919","darkroom-dig","3","452522","0.0-2.0-1.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","28391","darkroom-dig","4","480914","0.0-2.0-2.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","21518","darkroom-dig","5","502434","0.0-2.0-3.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","15239","darkroom-dig","6","517674","0.0-2.0-4.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","8479","darkroom-dig","7","526154","0.0-2.0-5.0","A3EG4C9T4F5DUR","1650927593287","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","13950","darkroom-dig","8","540105","0.0-2.0-6.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","13576","darkroom-dig","9","553681","0.0-2.0-7.0","A3EG4C9T4F5DUR","1650927593287","[""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
